CSV Report,2023-11-01_RNA_melting_HEPES_NaCl.csv
,46,0.417237022824382,65,0.479195821692294,46,0.418629625674843,65,0.480118144113483,46,0.344510765531564,65,0.36505540809234,46,0.358277932437159,65,0.3792518372386,46,0.333595909702829,65,0.343802586660451,46,0.346148619795182,65,0.35763737031204,46,0.329162979965137,65,0.339511060601792,46,0.336681457270881,65,0.349913655207481,46,0.0255805240093527,65,0.0252776218686274,46,0.0247699406829169,65,0.0244397457476794,46,0.00997263589418331,65,0.0104095544413778,46,0.00920519574698912,65,0.0095909955399856,46,0.00502396062166988,65,0.00505825027389066,46,0.00441756241654647,65,0.00430887429023593,46,0.0268024558802283,65,0.0268118841478108,46,0.0260670437114114,65,0.0260291794877523
,45,0.413608176369029,66,0.482637973039339,45,0.415215831377935,66,0.48366793812649,45,0.343167594876868,66,0.366025193668053,45,0.356946166981241,66,0.380205497951922,45,0.33297888230098,66,0.34439770438737,45,0.345554586173155,66,0.358102400782695,45,0.328484657117912,66,0.339764605855408,45,0.335715457317096,66,0.350256799898149,45,0.0255929415438752,66,0.0252684083570233,45,0.0247861580019132,66,0.0244451602216169,45,0.00998279245066383,66,0.0103919930099845,45,0.00920263956568667,66,0.00958061283594299,45,0.00501341293292088,66,0.00504129155598112,45,0.00440298255919111,66,0.00432649296249588,45,0.0267835186685347,66,0.0267931293983109,45,0.0260429585801822,66,0.0260419983455915
,44,0.410164651950292,67,0.486022338986398,44,0.411895044260771,67,0.487080278243127,44,0.341696705358905,67,0.366935723932342,44,0.35549740713827,67,0.381121428062509,44,0.332319029003755,67,0.34502384212504,44,0.344899456416558,67,0.358552036542024,44,0.327747140871137,67,0.340012595359683,44,0.334761517936454,67,0.350579398198305,44,0.0255748201422158,67,0.0252805731545589,44,0.0247763193790944,67,0.0244574214495238,44,0.00999617351293362,67,0.0103985756458837,44,0.00919996806420793,67,0.00957672942765975,44,0.00501223216029825,67,0.00506015885795271,44,0.00438784426952774,67,0.0043466754452983,44,0.0267840179382747,67,0.0267822438776745,44,0.0260347307308198,67,0.026076244886298
,43,0.406752647891066,68,0.489449356398732,43,0.408496336462125,68,0.490695601119967,43,0.340191429092855,68,0.36786011944967,43,0.353925881653939,68,0.382100517455471,43,0.331618043791585,68,0.34565164625727,43,0.344144629931943,68,0.359050339641795,43,0.326941076868102,68,0.340246922489404,43,0.333714263986649,68,0.350921519286504,43,0.0256095056569443,68,0.0253021688263083,43,0.0247762108272711,68,0.0244746816750649,43,0.0100002466433403,68,0.010405731076637,43,0.00921956878014865,68,0.00957568068200496,43,0.00501558888280541,68,0.00510200654055917,43,0.00438127663903323,68,0.0043692207056069,43,0.026796810845051,68,0.0267962776792834,43,0.026049841192421,68,0.0260732855192859
,42,0.403484523861469,69,0.493063413403971,42,0.405169461466437,69,0.494566280918182,42,0.338665052864973,69,0.368824550480893,42,0.352319528598791,69,0.383088206026298,42,0.330887794076723,69,0.346229255038241,42,0.343370156107843,69,0.359569560170938,42,0.326111908158371,69,0.340487820419983,42,0.332704183401733,69,0.351270442339859,42,0.0256307680471625,69,0.02528141099816,42,0.024775899555091,69,0.0244641340251519,42,0.0100082158713543,69,0.0103918963426443,42,0.00923562284294046,69,0.00957939325051086,42,0.00502149698475434,69,0.00511815734180643,42,0.00437032546839371,69,0.0043586258530033,42,0.0268071902987636,69,0.0268143627965516,42,0.026036380505268,69,0.0260571735244019
,41,0.400216566408383,70,0.496575251467463,41,0.40192511065314,70,0.497965048255916,41,0.337079916953448,70,0.369774086967859,41,0.350713215993921,70,0.384038045501578,41,0.330096859977998,70,0.346691239261611,41,0.34254115436257,70,0.360123584620722,41,0.325248486801647,70,0.340696251298086,41,0.331684896940046,70,0.351581877594855,41,0.0256122387873961,70,0.0252746840289469,41,0.0247637771658783,70,0.0244204488805642,41,0.010025378190012,70,0.0103793063909003,41,0.00922775921993607,70,0.00956093881976342,41,0.00499856685094135,70,0.00511057487524529,41,0.0043509079710339,70,0.00432990790138127,41,0.0268079297893405,70,0.0268216325283546,41,0.026015032882812,70,0.0260288996338153
,40,0.396954563320853,71,0.500100716172913,40,0.398650501931462,71,0.501725361962267,40,0.335558225124746,71,0.370704775254454,40,0.34909878769017,71,0.385027232062221,40,0.329268208042011,71,0.347035441343754,40,0.341674526360421,71,0.360707342282226,40,0.324337377919834,71,0.340934196388066,40,0.330692724043244,71,0.351878573116758,40,0.025599965145034,71,0.0252763351160624,40,0.0247707937132475,71,0.0244388325942238,40,0.0100230844651104,71,0.0103872618461312,40,0.00925681270919666,71,0.00954434292292108,40,0.00497666710867579,71,0.00509950573123433,40,0.00436354686510025,71,0.00436346943880956,40,0.0267886496619413,71,0.0268211512633975,40,0.0260480055528656,71,0.0260480910377053
,39,0.393951874269665,72,0.503615507938681,39,0.395623727771247,72,0.505545148176169,39,0.333973783542834,72,0.371643872270713,39,0.347530761211117,72,0.386078335726601,39,0.328371547090267,72,0.347331096883042,39,0.340762638001149,72,0.361233140680014,39,0.32340614220113,72,0.341245919979206,39,0.329766032516848,72,0.352181467220982,39,0.0256027862603009,72,0.0252852280500519,39,0.0247955988550009,72,0.0245059875528345,39,0.0100199696101316,72,0.0104104972970764,39,0.00926982619225556,72,0.00955414924473225,39,0.00498980921886762,72,0.0051156246094941,39,0.00436810283961879,72,0.00440602694406136,39,0.0267867314981386,72,0.0268400197591792,39,0.0260738367751506,72,0.0260888882612495
,38,0.390856792027404,73,0.507049434440847,38,0.392638923686382,73,0.509337665267386,38,0.332486459436221,73,0.372551273586456,38,0.345930732104936,73,0.387218142993644,38,0.32743383768816,73,0.347573282369888,38,0.3397706887104,73,0.361691043598489,38,0.32245744804647,73,0.341566402451342,38,0.328821120037642,73,0.352567477583109,38,0.0256373650033193,73,0.025280364694804,38,0.0247936147486827,73,0.0245070639183405,38,0.0100468523467163,73,0.0104266992426173,38,0.00927366830647432,73,0.00956548937324201,38,0.00500457370996708,73,0.00511019989526924,38,0.00435404039784953,73,0.00441313199531842,38,0.0268068327165423,73,0.0268371771136369,38,0.0260525059504827,73,0.0260822179586319
,37,0.387809004073596,74,0.510459977262399,37,0.389581672673637,74,0.513087996539362,37,0.33100872924972,74,0.373429555242308,37,0.344433739784864,74,0.388377206803801,37,0.326399081813041,74,0.347843861106809,37,0.338724430825866,74,0.362008520263304,37,0.321468987269279,74,0.341864968051707,37,0.327890782726883,74,0.35299812479587,37,0.0256309659779234,74,0.0252994321598216,37,0.0247897954635868,74,0.0244592486156307,37,0.0100506662389288,74,0.0104215628999908,37,0.00926845889194037,74,0.00958162233240137,37,0.00501878319259953,74,0.00512261527766321,37,0.00435221884133644,74,0.00438450197635774,37,0.0267910910166364,74,0.0268345972357964,37,0.0260122738494665,74,0.0260527849627353
,36,0.384841846466045,75,0.514030212843244,36,0.38648091833331,75,0.516912478760072,36,0.329598814995391,75,0.374369907156059,36,0.342892755593665,75,0.389501501393033,36,0.325263888621276,75,0.348183441039259,36,0.337520279069601,75,0.36226234103259,36,0.320522764672283,75,0.342213905559507,36,0.326965743419752,75,0.353456602480286,36,0.0256331711076855,75,0.0253115583785485,36,0.0248112051358138,75,0.0244345053264688,36,0.0100519154941866,75,0.0104058480864835,36,0.00925263097722076,75,0.00958218147574799,36,0.00499488783033274,75,0.00515558812303577,36,0.00435268371959897,75,0.00439307763583598,36,0.0267695573682043,75,0.0268327798276623,36,0.026049686220138,75,0.0260379613920844
,35,0.38194484618255,76,0.517422737391567,35,0.383494738247666,76,0.520737789999208,35,0.32819983667558,76,0.375358073104955,35,0.341501024101926,76,0.39052361615297,35,0.324069790450531,76,0.348493169465749,35,0.33635352934306,76,0.362559434118031,35,0.319571664235378,76,0.342592095586798,35,0.326035921550169,76,0.353895148830914,35,0.0255964002446911,76,0.0252961655957935,35,0.0248044802161543,76,0.024469905404947,35,0.0100504027309742,76,0.0103882390681098,35,0.0092866003706229,76,0.00957194093755726,35,0.00496622219451936,76,0.00515468223171869,35,0.00434080526550385,76,0.004430185200452,35,0.0267622052310021,76,0.0268141104018856,35,0.0260423637794138,76,0.0260707072253198
,34,0.379016926132759,77,0.520636569210705,34,0.380771275942676,77,0.52465652311943,34,0.326846831015768,77,0.376293624968275,34,0.34008712048433,77,0.391521185120402,34,0.322950081524978,77,0.348865093203308,34,0.335178987459751,77,0.362931607611775,34,0.318679801571872,77,0.342959897035244,34,0.325200787272365,77,0.354267045338442,34,0.0256007561956661,77,0.0252836757217751,34,0.0247710933947949,77,0.0245133786710126,34,0.0100431638953721,77,0.0103673046491846,34,0.00926783741181642,77,0.00957976161543813,34,0.0049814440408642,77,0.00514294018405013,34,0.00431386031570245,77,0.00446775770572359,34,0.0267622963138799,77,0.0268161927448455,34,0.0260071733826804,77,0.0260990240817903
,33,0.376182560801125,78,0.524187069653879,33,0.377868352980715,78,0.527486030809319,33,0.325479786903415,78,0.377392453406998,33,0.338675012064956,78,0.392480448631913,33,0.321750832147845,78,0.349436632573929,33,0.333925742649917,78,0.363453438939534,33,0.31781268292299,78,0.343322795977522,33,0.324331170459125,78,0.354605774173983,33,0.0256253194663012,78,0.0252806523885229,33,0.0247550195487978,78,0.0244765945900815,33,0.0100571991162693,78,0.0103761769582227,33,0.00928152073219385,78,0.00956823935781303,33,0.00497407624209052,78,0.00515304491774786,33,0.00430026199889084,78,0.0044384442157692,33,0.0267746614535154,78,0.0268342937459756,33,0.0260001408077048,78,0.0260773372572459
,32,0.373422294134818,79,0.527702203082142,32,0.375024641132678,79,0.529780814714136,32,0.324182377749703,79,0.378502553785062,32,0.337273749004911,79,0.39345121096362,32,0.320620775697027,79,0.350113100496993,32,0.332734502668534,79,0.364162392910055,32,0.316983806188685,79,0.343639554897762,32,0.32347111001385,79,0.354970160367854,32,0.0256732776244645,79,0.0252997097023224,32,0.0247813033875084,79,0.0244507039609829,32,0.0100657216246133,79,0.0103939826438043,32,0.0092583499060784,79,0.009548762221766,32,0.00499301218815681,79,0.00519008727952672,32,0.00431594317865031,79,0.00441812184929978,32,0.0267948548340152,79,0.0268593538123038,32,0.026035435778039,79,0.0260668302273044
,31,0.370689113993944,80,0.531171196823708,31,0.372324443646707,80,0.533280197976564,31,0.322831915045694,80,0.379509106616038,31,0.335868683489419,80,0.394481885513919,31,0.319461087908597,80,0.35099313082357,31,0.331568588505007,80,0.364928851730989,31,0.316120179970137,80,0.343941591004813,31,0.32260929093781,80,0.355308369622519,31,0.0256853826305984,80,0.0252982300926517,31,0.0248173022514469,80,0.0244494756558186,31,0.0100690459631779,80,0.0103834745585715,31,0.00929095709930354,80,0.00955953179490158,31,0.00500804445002201,80,0.00517725582564635,31,0.00434153434618363,80,0.00442930660882806,31,0.0268082753508142,80,0.0268561369796213,31,0.0260338983442091,80,0.0260842519091314
,30,0.367805860146256,81,0.534608578044706,30,0.369509654268861,81,0.537140924603267,30,0.321474378379476,81,0.380499204393288,30,0.334451370196448,81,0.395582327896287,30,0.318310659540392,81,0.352586884950312,30,0.330402617935518,81,0.365493919876597,30,0.315327906669871,81,0.344194769548183,30,0.321668438025013,81,0.355584779970127,30,0.0256667270046348,81,0.0252851130171444,30,0.0247828370621605,81,0.0244503941036707,30,0.0100741350036682,81,0.0103866189857071,30,0.00928896433285351,81,0.00957463616742738,30,0.00500005962702104,81,0.00516876039334441,30,0.00430405333670195,81,0.00445966454655545,30,0.0268145763594725,81,0.0268362146956449,30,0.026009827401391,81,0.0260995658278498
,29,0.36506818014144,82,0.538077681835782,29,0.366744365842555,82,0.540203561716533,29,0.320090089936265,82,0.381633577082898,29,0.332969422920349,82,0.396622159403734,29,0.317230663347523,82,0.353941565212469,29,0.329251488995687,82,0.365795974838671,29,0.314502936411577,82,0.344539852209092,29,0.320725349058366,82,0.355794566271725,29,0.0256415678199375,82,0.0252863359368673,29,0.0247825668876828,82,0.0244359582979055,29,0.0100873315421874,82,0.0103830761844999,29,0.00929887891790931,82,0.00955602093944427,29,0.00498397721617371,82,0.00518711476221465,29,0.00428125821412249,82,0.00446490045901915,29,0.0267930155560554,82,0.0268541058368155,29,0.0260371742141333,82,0.026106691858245
,28,0.362294132905138,83,0.541871858057542,28,0.364122897111823,83,0.543095117633809,28,0.318637666497552,83,0.382995145415042,28,0.331644725293883,83,0.397738088230503,28,0.316186323512232,83,0.354288613693998,28,0.328391083122832,83,0.365923417829949,28,0.313733896518263,83,0.344926378970851,28,0.319961843718421,83,0.355971530086573,28,0.0256567346357579,83,0.0252670754301181,28,0.0247748118035086,83,0.0244590599582283,28,0.0101070361445802,83,0.0103631586252364,28,0.00929772056418815,83,0.0095200665357527,28,0.00498687240405716,83,0.00519726242862355,28,0.00426755056682904,83,0.00447403781140939,28,0.026781704145678,83,0.0268575632460195,28,0.026031441771001,83,0.0261177005965717
,27,0.359866650427211,84,0.545691614604715,27,0.361722998760759,84,0.546314576306077,27,0.31741590572621,84,0.384178030312413,27,0.330335690812322,84,0.399193175402821,27,0.315389085951314,84,0.354375660859228,27,0.327498287403565,84,0.366152190388534,27,0.313067720514443,84,0.345023378295437,27,0.319024312896512,84,0.356207954663878,27,0.0256651565681682,84,0.025216743486227,27,0.0247407222501639,84,0.024427553797269,27,0.010099873101687,84,0.0102929240705118,27,0.00927665596084196,84,0.00950085650541372,27,0.00499354984088548,84,0.00517031565131469,27,0.00426072582781944,84,0.00446629380128663,27,0.0267803811734865,84,0.0268185677509543,27,0.0259801776612057,84,0.0260856667005465
,26,0.357207323389152,85,0.549732303301882,26,0.359142547492719,85,0.549647707066056,26,0.316023116867803,85,0.385179631197477,26,0.328883914868782,85,0.400556698131947,26,0.314527650311332,85,0.354449543739658,26,0.326532867725104,85,0.366930093270419,26,0.312322087141456,85,0.345227045403393,26,0.318072358767063,85,0.356490962311959,26,0.0256396272830699,85,0.025129258399722,26,0.0247656420251349,85,0.0244144512439272,26,0.0100877412417711,85,0.0101843125462075,26,0.00928406000853479,85,0.00948592034938027,26,0.00498408861262285,85,0.00507797743156146,26,0.00427255614690345,85,0.00444387969156997,26,0.0267852697180137,85,0.0267185781227835,26,0.0259825601917136,85,0.0260711960247531
,25,0.354640245026982,86,0.446518081342243,25,0.35638726980463,86,0.55305964785351,25,0.314556602899006,86,0.261566551457206,25,0.327285860146952,86,0.401503267696823,25,0.313636905486225,86,0.229853301414502,25,0.325528863513023,86,0.368004847351361,25,0.311530103544492,86,0.218743551016509,25,0.316947668789004,86,0.356962493369402,25,0.0256243841874649,86,-0.0701349878987024,25,0.0247852765097263,86,0.0243811069515047,25,0.010100830542843,86,-0.101009128893405,25,0.00930321282541555,86,0.0094663705214923,25,0.00497573956152029,86,-0.10613175029613,25,0.00429040641608754,86,0.00442103018418832,25,0.0267839412848412,86,-0.0864343177881095,25,0.0260046381478733,86,0.0260566449843127
,24,0.351764099460531,87,0.344710258030314,24,0.35343396247653,87,0.556669974302767,24,0.312916507046706,87,0.174208837627804,24,0.32562473731956,87,0.40249219571635,24,0.312672882312117,87,0.141818378769582,24,0.324546864400689,87,0.368648885872341,24,0.310688167391174,87,0.132295159640867,24,0.315786951699903,87,0.357749120006927,24,0.0256392520895801,87,-0.167010865333382,24,0.0247829701687275,87,0.0243962672545986,24,0.0100904149285237,87,-0.182087418471653,24,0.00931922670701435,87,0.00944975299315295,24,0.00496489420183852,87,-0.187142190620323,24,0.00427343605841813,87,0.00445804935560413,24,0.0267535713810695,87,-0.165884206058174,24,0.0259976351435393,87,0.0260698527407838
,23,0.34894930156935,88,0.34634504605583,23,0.350735801118726,88,0.56053838425686,23,0.3114199992794,88,0.172783238969015,23,0.324071757041348,88,0.403754654613708,23,0.311765386471144,88,0.13977072748393,23,0.323650118072099,88,0.368937381753921,23,0.309865494984473,88,0.130637017260366,23,0.314726399838841,88,0.358547654939933,23,0.0256185755655632,88,-0.168705050675489,23,0.0247959225121587,88,0.0243939093805163,23,0.0100648421270891,88,-0.183713487253358,23,0.00931759342632128,88,0.00943602099678658,23,0.00493357021744746,88,-0.188683905850662,23,0.00426554815376879,88,0.00446249989916817,23,0.0267623645073016,88,-0.167043500397846,23,0.0260019042451536,88,0.0261025430760738
,22,0.346487054383597,89,0.355220243570711,22,0.34822170904296,89,0.564353702510636,22,0.309969658727332,89,0.178444004604877,22,0.322570014431405,89,0.405056485808767,22,0.310967059351355,89,0.145320341273432,22,0.322752312120822,89,0.369748130346305,22,0.309061789755911,89,0.135821021579237,22,0.31363161675523,89,0.358922696688527,22,0.0256106296912944,89,-0.165347204291966,22,0.0247919279161067,89,0.0243944903695199,22,0.0100710385224878,89,-0.180412103935963,22,0.00933046599830472,89,0.00941256067875151,22,0.00495736136709441,89,-0.185384758844117,22,0.00427402749898594,89,0.00445992637716765,22,0.0267615285750117,89,-0.163602496860317,22,0.026036555755443,89,0.0261147924351761
,21.2999992370605,0.344946248002721,89.6999969482422,0.36325317986964,21.2999992370605,0.34656854423152,89.6999969482422,0.566990220936757,21.2999992370605,0.309006463173027,89.6999969482422,0.184395523898287,21.2999992370605,0.321527623925107,89.6999969482422,0.405833266525436,21.2999992370605,0.310467630832246,89.6999969482422,0.151397100670557,21.2999992370605,0.322171465001153,89.6999969482422,0.370629589132413,21.2999992370605,0.308534666410544,89.6999969482422,0.141535004954671,21.2999992370605,0.312870974445779,89.6999969482422,0.359088538568529,21.2999992370605,0.0256203062589525,89.6999969482422,-0.161395883464076,21.2999992370605,0.0247767031872972,89.6999969482422,0.0244130269015313,21.2999992370605,0.0100762147158808,89.6999969482422,-0.176297282166175,21.2999992370605,0.00931424267851514,89.6999969482422,0.00939058766433648,21.2999992370605,0.00498078108226499,89.6999969482422,-0.181255045315371,21.2999992370605,0.00427055301960957,89.6999969482422,0.00447968026828012,21.2999992370605,0.0267714492811726,89.6999969482422,-0.159078424871221,21.2999992370605,0.0260157573111128,89.6999969482422,0.0261152736952966
