CSV Report,2024-01-25_RNA_melting_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,26 mM KCl_260.00nm_90.0-21.0C,,26 mM KCl_260.00nm_21.0-90.0C,,26 mM KCl_260.00nm_90.0-21.0C_R1,,26 mM KCl_260.00nm_21.0-90.0C_R1,,21 mM KCl_260.00nm_90.0-21.0C,,21 mM KCl_260.00nm_21.0-90.0C,,21 mM KCl_260.00nm_90.0-21.0C_R1,,21 mM KCl_260.00nm_21.0-90.0C_R1,,17 mM KCl_260.00nm_90.0-21.0C,,17 mM KCl_260.00nm_21.0-90.0C,,17 mM KCl_260.00nm_90.0-21.0C_R1,,17 mM KCl_260.00nm_21.0-90.0C_R1,,8.3 mM KCl_260.00nm_90.0-21.0C,,8.3 mM KCl_260.00nm_21.0-90.0C,,8.3 mM KCl_260.00nm_90.0-21.0C_R1,,8.3 mM KCl_260.00nm_21.0-90.0C_R1,,26 mM KCl_400.00nm_90.0-21.0C,,26 mM KCl_400.00nm_21.0-90.0C,,26 mM KCl_400.00nm_90.0-21.0C_R1,,26 mM KCl_400.00nm_21.0-90.0C_R1,,21 mM KCl_400.00nm_90.0-21.0C,,21 mM KCl_400.00nm_21.0-90.0C,,21 mM KCl_400.00nm_90.0-21.0C_R1,,21 mM KCl_400.00nm_21.0-90.0C_R1,,17 mM KCl_400.00nm_90.0-21.0C,,17 mM KCl_400.00nm_21.0-90.0C,,17 mM KCl_400.00nm_90.0-21.0C_R1,,17 mM KCl_400.00nm_21.0-90.0C_R1,,8.3 mM KCl_400.00nm_90.0-21.0C,,8.3 mM KCl_400.00nm_21.0-90.0C,,8.3 mM KCl_400.00nm_90.0-21.0C_R1,,8.3 mM KCl_400.00nm_21.0-90.0C_R1,
Collection Time,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),,2024-01-25 10:58:32 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.772055305981883,21,0.403588109683206,90,0.811864913078557,21,0.415150074909207,90,0.750401774795043,21,0.380380640500203,90,0.793253400877595,21,0.393480797856932,90,0.75029710570032,21,0.383044730245564,90,0.787261179026375,21,0.397458046820393,90,0.684744120365261,21,0.435582560765761,90,0.722449006549338,21,0.451309725942629,90,0.0296657504454136,21,0.0296023793169272,90,0.0296214277196029,21,0.0295689726670201,90,0.00978689815549236,21,0.00954260759481082,90,0.00940710871013982,21,0.00955678807771317,90,0.00936499295311862,21,0.00910615430251698,90,0.00920424120970855,21,0.00914986656320937,90,0.0327083468564727,21,0.0330134426622301,90,0.0325133826592329,21,0.0328760940819837
,89,0.778087516183513,22,0.40404541132461,89,0.810595087100575,22,0.415522295844958,89,0.755901697089603,22,0.380822301866156,89,0.792108518583757,22,0.393775139645902,89,0.751658171026691,22,0.383793168022111,89,0.787113560700598,22,0.397950240846574,89,0.68816671348279,22,0.436155425078653,89,0.722166887248884,22,0.451701835305484,89,0.0296214817062671,22,0.0295824012016179,89,0.0296202092812707,22,0.0295377810157963,89,0.00977953159239904,22,0.00953264340584488,89,0.00937549043146733,22,0.00953537066100875,89,0.00932923772785508,22,0.00914251434859771,89,0.00925577021666171,22,0.00910350173100825,89,0.03266407818228,22,0.0330148185100196,89,0.0325109381684737,22,0.0328594160746554
,88,0.776981768864819,23,0.405962560180764,88,0.805990074709206,23,0.417242519406272,88,0.759282992975611,23,0.382647118767105,88,0.787460904724723,23,0.395513283183446,88,0.749522650761839,23,0.385744491052624,88,0.783504210201822,23,0.399754211440151,88,0.688863435037023,23,0.437655252239432,88,0.720288878800748,23,0.453119405988735,88,0.0296634757227847,23,0.0295168918901615,88,0.029619941840147,23,0.0295353441651332,88,0.0097355481675543,23,0.0095025274730202,88,0.00939327382212268,23,0.00952597052721187,88,0.00932659260101141,23,0.00912676515699635,88,0.00925882806493519,23,0.00910526842775547,88,0.0326286360890422,23,0.0329894658098189,88,0.032520398431332,23,0.0328549736651356
,87,0.773499904079209,24,0.409414319869367,87,0.800113949646035,24,0.420797897251729,87,0.755394860659102,24,0.386380362749225,87,0.781458746465102,24,0.399198459187121,87,0.746047187458641,24,0.389251424519597,87,0.778096278019026,24,0.40336520299535,87,0.687727474417212,24,0.440518598574438,87,0.717635695285643,24,0.455871128561814,87,0.029593987505321,24,0.0295188693256377,87,0.0296405503438266,24,0.0295459113868256,87,0.00963587810349139,24,0.00949876094427411,87,0.00937106842430732,24,0.00953730892000972,87,0.00931469859868449,24,0.00912704276169453,87,0.00926966130425069,24,0.00911552425240453,87,0.0326291808552416,24,0.0329650585069345,87,0.0325214603115996,24,0.0328825675703136
,86,0.768516520832085,25,0.413075785123396,86,0.793821083100285,25,0.424241894794917,86,0.747301107110717,25,0.390280895383893,86,0.774888541886004,25,0.402960975084799,86,0.740815513339614,25,0.39278635864841,86,0.772036688978829,25,0.406980750345035,86,0.685058845170417,25,0.443438115841561,86,0.713833959835997,25,0.458828101379208,86,0.029561616858401,25,0.0295499545368795,86,0.0296684162276568,25,0.0295277684732655,86,0.00954896540794357,25,0.00949632379532824,86,0.00934702584984935,25,0.00952840877522514,86,0.00924650513564975,25,0.00912124982703649,86,0.0092710922766123,25,0.00909263673304621,86,0.0326385818826759,25,0.0329892537868262,86,0.0325419700451338,25,0.0328631682969514
,85,0.762705529244726,26,0.41647415844009,85,0.786997382238352,26,0.427851723633472,85,0.740700534424661,26,0.393951802327851,85,0.768250928302693,26,0.406743668271583,85,0.734700659345102,26,0.396222981737726,85,0.76519871352891,26,0.410680174608692,85,0.680868442952857,26,0.446101637909229,85,0.7094307704624,26,0.461640782134093,85,0.0295370256727192,26,0.0295409509546458,85,0.0296352186395295,26,0.0295006813611721,85,0.00952487710298975,26,0.00949482884602235,85,0.00935302987174009,26,0.00951899584281014,85,0.00919676521950817,26,0.00912439240458426,85,0.00923792064754725,26,0.00907342568338621,85,0.0326361044182287,26,0.0329779927871723,85,0.0325236960269204,26,0.0328414017455866
,84,0.756172544187967,27,0.419953988847908,84,0.780054029771093,27,0.431486790682156,84,0.733762805172066,27,0.39753798105792,84,0.761193714093931,27,0.410350896560275,84,0.728214596198352,27,0.399840192441686,84,0.758309928487892,27,0.414316137460396,84,0.676543822003774,27,0.448970482300857,84,0.705077775350059,27,0.464677296729659,84,0.029554094998135,27,0.0295422930040733,84,0.0296057394951135,27,0.0295230217068577,84,0.00952795328908227,27,0.00949777048830537,84,0.00937494645778253,27,0.00952350597022281,84,0.00917683282565174,27,0.00911501804330782,84,0.00921062320175808,27,0.00909370098913817,84,0.0326005815327809,27,0.0329732203278197,84,0.0325179209012665,27,0.0328528994273517
,83,0.749686896558349,28,0.423622970652482,83,0.773205516647699,28,0.435343572464411,83,0.72692853256712,28,0.401080565182579,83,0.754284777101575,28,0.414099312929002,83,0.721885100085886,28,0.403542293677618,83,0.751713402492363,28,0.418114809921759,83,0.672708593900739,28,0.452047173307587,83,0.70110714038038,28,0.467847077178081,83,0.0295370298084322,28,0.0295448466239642,83,0.029639259894757,28,0.0295501930892206,83,0.00951956020967831,28,0.00951907734337389,83,0.00940196801764671,28,0.00953404268843055,83,0.00919481544136515,28,0.00908315078841614,83,0.00923429878103025,28,0.00910084952785835,83,0.0325907478007891,28,0.0329779928160955,83,0.0325436636075721,28,0.0328452443292266
,82,0.743373122838031,29,0.427581930179036,82,0.766477401566683,29,0.439303228544105,82,0.720330316636727,29,0.405008292985845,82,0.747575060757602,29,0.418248371720673,82,0.715851861830012,29,0.407423433364578,82,0.745173828974924,29,0.422196978583439,82,0.668839930280868,29,0.455143099664037,82,0.696689005416825,29,0.471108775036164,82,0.0295805137402044,29,0.0295526760852701,82,0.0296576256190389,29,0.0295571697352595,82,0.00950050892382502,29,0.00953126058333188,82,0.00940331066950139,29,0.00951352488256118,82,0.00920369462782378,29,0.0090786161288775,82,0.00924799714883048,29,0.00910294210379019,82,0.0325777256740385,29,0.0329503778520278,82,0.0325340310492499,29,0.0328444407788986
,81,0.737291860052064,30,0.431657796041068,81,0.759605243381085,30,0.443342847883537,81,0.713620671639916,30,0.409333140715687,81,0.740593904944563,30,0.422604647599272,81,0.709652642557757,30,0.411560365353917,81,0.738353097386712,30,0.42644588714964,81,0.664943706567575,30,0.458620454965755,81,0.692262738503473,30,0.474396844462849,81,0.0296182607130563,30,0.0295696404487155,81,0.0296533357882881,30,0.0295479559292231,81,0.00947457189660413,30,0.00952975934884199,81,0.00940582577328746,30,0.00951848404659348,81,0.00916116611316275,30,0.0090986198044205,81,0.00921862611793167,30,0.00911241723748159,81,0.0325543859554972,30,0.0330084949546082,81,0.0325260932395988,30,0.0328515139611594
,80,0.730808164887188,31,0.435794974344674,80,0.752887290318962,31,0.447477428933237,80,0.707074086590311,31,0.413522630463451,80,0.733663695747077,31,0.426959849605409,80,0.703473226450053,31,0.415779457634065,80,0.731597911833455,31,0.430761421311084,80,0.661151344130964,31,0.461923863152167,80,0.688313635602379,31,0.477832895383292,80,0.0296011890684208,31,0.0295677328137836,80,0.0296813700028311,31,0.0295132153812752,80,0.00951226084555911,31,0.0095046448301976,80,0.00941373409811617,31,0.00952270518803831,80,0.00915960908075841,31,0.00909781680221183,80,0.009242258593754,31,0.00910208227741695,80,0.0325950458714481,31,0.0330058342547338,80,0.0325636172760142,31,0.0328359474869112
,79,0.724128965672032,32,0.439822083542787,79,0.746214705851962,32,0.451896513192795,79,0.700671971030208,32,0.417548249773453,79,0.727188818083998,32,0.431492198818387,79,0.697334192371971,32,0.419794857344242,79,0.725235837013146,32,0.435168269173158,79,0.657194578668625,32,0.465073021398894,79,0.684168828935496,32,0.481389144037907,79,0.0296141874330526,32,0.0295782228663773,79,0.0296523684399239,32,0.0295162107678859,79,0.00954341191151822,32,0.00949425773896188,79,0.00938893667162329,32,0.00949771198989187,79,0.00916769017689482,32,0.00910077701588848,79,0.00922757454594984,32,0.00910643033070609,79,0.0326110520125722,32,0.0329379666052879,79,0.0325403674260958,32,0.0328406855166307
,78,0.717819585733958,33,0.444228197178361,78,0.739397585419815,33,0.456551849712582,78,0.694067274327105,33,0.422159073068757,78,0.72044851263962,33,0.436390708127949,78,0.691005120128891,33,0.424276355625424,78,0.718582152754202,33,0.439786726738818,78,0.653495851835603,33,0.468493785757719,78,0.680026331030719,33,0.484846971702628,78,0.0296090248800733,33,0.0295860954687291,78,0.0296402150776901,33,0.0295479462048152,78,0.00950306874618651,33,0.00950671877674108,78,0.00938131723166775,33,0.0095018914098113,78,0.00915381607757904,33,0.00911208949500578,78,0.00922430396878894,33,0.00908702959582005,78,0.0326082307336414,33,0.032945943926721,78,0.0325286175794389,33,0.0328423107809362
,77,0.711445369581086,34,0.44888899087393,77,0.732759715569228,34,0.461063359393886,77,0.687572306997464,34,0.426704370589796,77,0.713821777610186,34,0.441204434902485,77,0.684666629300776,34,0.428844097374086,77,0.712007833420054,34,0.444378468146451,77,0.649660174937616,34,0.471943671295668,77,0.67593190515244,34,0.488255909754487,77,0.02961061100408,34,0.0295744474224976,77,0.0296677694865126,34,0.0295256393809379,77,0.00948258010951808,34,0.00950398665180767,77,0.00939702240184717,34,0.00950905790882664,77,0.00910806856747918,34,0.00911497801780243,77,0.00923168591178304,34,0.00906568096136188,77,0.0325976387361039,34,0.0329431305480456,77,0.0325498501009398,34,0.0328001123672994
,76,0.705246183950354,35,0.453414730579405,76,0.726257185950425,35,0.465787768261182,76,0.681436330014635,35,0.431306038998209,76,0.707147533382594,35,0.446182346445843,76,0.678588654500729,35,0.433258666135018,76,0.705431623002542,35,0.449094088518614,76,0.645847835832725,35,0.475290849517026,76,0.67196226595763,35,0.491884690323689,76,0.0296181923016409,35,0.0295686236010315,76,0.0296902751219898,35,0.0294978263444965,76,0.00947629073093156,35,0.00951177954114218,76,0.0094223443071668,35,0.0094757856514122,76,0.00911640314258829,35,0.00913529741485366,76,0.00922733660771701,35,0.00905446244792784,76,0.0325821038536078,35,0.0329517248321281,76,0.0325698517572336,35,0.0327742491011295
,75,0.69895134820758,36,0.458046068403755,75,0.719438555142928,36,0.47051824392728,75,0.675271889714598,36,0.435996184936495,75,0.700608399096686,36,0.45102312225893,75,0.672473236334711,36,0.437752488310279,75,0.699039952116432,36,0.453691406035212,75,0.641935408935688,36,0.478727912818047,75,0.667825694065883,36,0.495422676706648,75,0.0296162916571909,36,0.0295566757479406,75,0.0296743976297078,36,0.0295076932310326,75,0.0095053197692571,36,0.00951739534160724,75,0.00941162068756827,36,0.0094820342141953,75,0.00913465827813811,36,0.00913744568376106,75,0.00920077271025428,36,0.00907687462138323,75,0.0326123182761561,36,0.0330067330669399,75,0.0325631023309844,36,0.0327862769812064
,74,0.692556837444623,37,0.462754241557182,74,0.712500709914674,37,0.47519609131061,74,0.669007971836703,37,0.440700553164369,74,0.693689848441811,37,0.455846123023768,74,0.666291370534351,37,0.442434596421812,74,0.692245583407862,37,0.458480039407729,74,0.637954570351415,37,0.482245722000114,74,0.663631571823787,37,0.498909852491098,74,0.0296032007412398,37,0.0295601910846018,74,0.0296471500738448,37,0.0295188276399798,74,0.0095206971035992,37,0.00950549879472353,74,0.00940633915978423,37,0.0094934867637303,74,0.00912491986246206,37,0.00912578438205256,74,0.00919846350362969,37,0.00908125841707126,74,0.0326105971787691,37,0.0329913618930404,74,0.0325547400324755,37,0.032789691368402
,73,0.68630070187897,38,0.4675905881677,73,0.706172685386983,38,0.48012167808816,73,0.662933292081064,38,0.445664062471113,73,0.687269549092466,38,0.460700916267795,73,0.660343643030708,38,0.447312386998746,73,0.685912763067944,38,0.46335205484118,73,0.634135105714681,38,0.485634052704203,73,0.659599344154132,38,0.502663321189965,73,0.0296443325811473,38,0.0295838894179831,73,0.0296859101097795,38,0.0295351350785461,73,0.00952015558108218,38,0.00948424175908806,73,0.00942713705188462,38,0.00947295233698127,73,0.00913792832687798,38,0.00913688347560126,73,0.00924337996540397,38,0.00908397066856982,73,0.0326053779641163,38,0.0329351321528727,73,0.0325744575387523,38,0.0327899783048197
