CSV Report,2024-02-14_RNA_melting_MgCl2_only_HEPES.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,5 mM MgCl2_260.00nm_90.0-21.0C,,5 mM MgCl2_260.00nm_21.0-90.0C,,5 mM MgCl2_260.00nm_90.0-21.0C_R1,,5 mM MgCl2_260.00nm_21.0-90.0C_R1,,1 mM MgCl2_260.00nm_90.0-21.0C,,1 mM MgCl2_260.00nm_21.0-90.0C,,1 mM MgCl2_260.00nm_90.0-21.0C_R1,,1 mM MgCl2_260.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_260.00nm_90.0-21.0C,,0.1 mM MgCl2_260.00nm_21.0-90.0C,,0.1 mM MgCl2_260.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_260.00nm_21.0-90.0C_R1,,0 mM MgCl2_260.00nm_90.0-21.0C,,0 mM MgCl2_260.00nm_21.0-90.0C,,0 mM MgCl2_260.00nm_90.0-21.0C_R1,,0 mM MgCl2_260.00nm_21.0-90.0C_R1,,5 mM MgCl2_400.00nm_90.0-21.0C,,5 mM MgCl2_400.00nm_21.0-90.0C,,5 mM MgCl2_400.00nm_90.0-21.0C_R1,,5 mM MgCl2_400.00nm_21.0-90.0C_R1,,1 mM MgCl2_400.00nm_90.0-21.0C,,1 mM MgCl2_400.00nm_21.0-90.0C,,1 mM MgCl2_400.00nm_90.0-21.0C_R1,,1 mM MgCl2_400.00nm_21.0-90.0C_R1,,0.1 mM MgCl2_400.00nm_90.0-21.0C,,0.1 mM MgCl2_400.00nm_21.0-90.0C,,0.1 mM MgCl2_400.00nm_90.0-21.0C_R1,,0.1 mM MgCl2_400.00nm_21.0-90.0C_R1,,0 mM MgCl2_400.00nm_90.0-21.0C,,0 mM MgCl2_400.00nm_21.0-90.0C,,0 mM MgCl2_400.00nm_90.0-21.0C_R1,,0 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),,2024-02-14 09:38:05 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.337224954915906,21,0.282801959967334,90,0.351136452391371,21,0.295338426983596,90,0.326733431229651,21,0.267908031303953,90,0.34241677227622,21,0.280615782718849,90,0.352034207742687,21,0.29013685966612,90,0.370421659752867,21,0.3019624612893,90,0.401868940674041,21,0.351782986285576,90,0.418848167761076,21,0.36109060912062,90,0.0259271066339527,21,0.025701103267445,90,0.0256561641603932,21,0.025560685872405,90,0.0084760046620326,21,0.00809081330605218,90,0.00812243725403138,21,0.00807425193318911,90,0.00753146568560208,21,0.00737754076875618,90,0.00750106785431932,21,0.00735449336419054,90,0.0262326120242642,21,0.0261511964669138,90,0.0260488850965013,21,0.0258952028244178
,89,0.338450841001113,22,0.282871403393197,89,0.351423829780841,22,0.295298181782378,89,0.327187720821505,22,0.267952050767882,89,0.342737695513469,22,0.280628754825679,89,0.353686461663956,22,0.28993618317519,89,0.370812682215754,22,0.301790014842006,89,0.402776753328826,22,0.352067137880507,89,0.419888295729656,22,0.361305339465967,89,0.0259611392105032,22,0.0256926101811552,89,0.0256736365176385,22,0.0255396408130744,89,0.00838693951842573,22,0.00807333736329776,89,0.00811425164395367,22,0.00807436983271817,89,0.00755703467833987,22,0.00739002738455794,89,0.00747530879573059,22,0.0073079677891339,89,0.0262078739404036,22,0.0261363259968231,89,0.0260189657845393,22,0.0258845789408591
,88,0.338928265844475,23,0.283051727421798,88,0.351305546926893,23,0.295416144892158,88,0.327362663504121,23,0.268138861737626,88,0.342816408809307,23,0.280821044039302,88,0.354881662772709,23,0.289961795630861,88,0.371339525831553,23,0.301877756499102,88,0.403361296480419,23,0.352713285376873,88,0.420206073962451,23,0.361904475659665,88,0.0259382272150802,23,0.0257168891803611,88,0.0256514881551031,23,0.0255126729118455,88,0.00833901230425653,23,0.00806390487665454,88,0.00809057322017463,23,0.00807004363085439,88,0.00753087013119706,23,0.00740729385281177,88,0.00745990107764867,23,0.00731692506742909,88,0.0261804847849407,23,0.0261361508669761,88,0.0260061351964296,23,0.0258858297247405
,87,0.338931999987706,24,0.283507835437751,87,0.351030604379675,24,0.295875715413705,87,0.327697156526044,24,0.268489783152345,87,0.34262450916358,24,0.281229083158924,87,0.355179635014657,24,0.290413586048518,87,0.371158243314242,24,0.302305777259862,87,0.403843235737836,24,0.353836900820425,87,0.419753924050874,24,0.363027703790454,87,0.0258279368941864,24,0.025818189626511,87,0.0256347919784073,24,0.0255063633257856,87,0.00828722402912927,24,0.00805254011617717,87,0.00807305428227515,24,0.00805517005456105,87,0.00751457119272655,24,0.00742789873049595,87,0.00743165244767279,24,0.00730705305493952,87,0.0261779075608356,24,0.0261634701045908,87,0.0259864723139698,24,0.0258804490021109
,86,0.338934032109268,25,0.283918360489621,86,0.350515380900463,25,0.296585536385291,86,0.328153437868609,25,0.268834486243533,86,0.342091809805466,25,0.281707665516082,86,0.355544620221546,25,0.291369874173029,86,0.370492613958946,25,0.30304538877268,86,0.403969873149005,25,0.355054189119567,86,0.419252468765854,25,0.364404744729522,86,0.0258320570295356,25,0.025749894370106,86,0.0256371771686668,25,0.0255046526463616,86,0.0082311351321343,25,0.00805851224688193,86,0.00807929800775923,25,0.00804781219190883,86,0.00750963749106942,25,0.00739183064846117,86,0.00742569396948644,25,0.00730238278343441,86,0.0261479182369187,25,0.0261366318601793,86,0.0259597754320354,25,0.0258764124881077
,85,0.338748104751597,26,0.284458644932698,85,0.349879495552088,26,0.297308244904889,85,0.328113576039726,26,0.269165163643501,85,0.341425667208679,26,0.282151797862416,85,0.355642336779824,26,0.292273429420305,85,0.370045279765022,26,0.303612710970903,85,0.403548653678798,26,0.356262451251342,85,0.418718772505352,26,0.365674131488447,85,0.0258908866737819,26,0.0256986059635518,85,0.0256572105309559,26,0.0254968991349416,85,0.00821225641339696,26,0.00808087976636205,85,0.00808854534699406,26,0.00805989378808381,85,0.00752487135900588,26,0.00738020036172219,85,0.00744933009094869,26,0.00728856618137667,85,0.0261470795800265,26,0.0261422121154957,85,0.0259726777827361,26,0.0258875377071908
,84,0.338007163842767,27,0.285073932713751,84,0.34919384930189,27,0.298107156535015,84,0.327333737280594,27,0.269550296551398,84,0.34073984332616,27,0.282603794524809,84,0.355110822366414,27,0.292906726271771,84,0.369724936163559,27,0.304174347030503,84,0.403089088963183,27,0.357476384757726,84,0.418296041152121,27,0.367003450215866,84,0.0259630643846295,27,0.0257093924354277,84,0.0256458990455401,27,0.0254883025514321,84,0.0081834761014864,27,0.00808297852159238,84,0.00808893845971612,27,0.00805558021022605,84,0.00754366187944823,27,0.00738426298981506,84,0.00745052137340571,27,0.0072836179887125,84,0.026159462651267,27,0.026163311819994,84,0.0259718106548796,27,0.0258875652621975
,83,0.337136849505661,28,0.285586403875503,83,0.348592819768159,28,0.298696794881621,83,0.32639137801303,28,0.270068145173823,83,0.339997317331941,28,0.283091207320861,83,0.354611682742545,28,0.293157897149925,83,0.369435254693781,28,0.304532104575612,83,0.40283537882922,28,0.358752796780176,83,0.417940662317063,28,0.3682429426031,83,0.0258655430983616,28,0.0256862016781389,83,0.0256604981604728,28,0.0254809191839588,83,0.0081618898905865,28,0.00807557587854239,83,0.00808633694942455,28,0.0080462866811643,83,0.00752746600732738,28,0.00737316794631279,83,0.00743710009590363,28,0.00728658935519995,83,0.0261559538810415,28,0.0261496188211693,83,0.0259820027722409,28,0.0258862081786005
,82,0.336307098802532,29,0.286049363428879,82,0.34790035731879,29,0.299224528484951,82,0.325522078875323,29,0.270594755011313,82,0.339324585591187,29,0.283638936813137,82,0.354286842401852,29,0.293314499746371,82,0.368952452910531,29,0.304930311183685,82,0.402755921875216,29,0.359899606382586,82,0.417620217688691,29,0.369488614860687,82,0.0258284284102698,29,0.0256856980384145,82,0.0256679655622918,29,0.0255074163898362,82,0.00815505960106749,29,0.00808307037064485,82,0.00810748813224779,29,0.0080544678119651,82,0.00752287593578111,29,0.00738743575987081,82,0.00744818404224626,29,0.00729489113191518,82,0.0261573896137906,29,0.0261424565665705,82,0.0259907689936232,29,0.0258937023608991
,81,0.335438903140464,30,0.286490510603574,81,0.347145502862011,30,0.299802661747154,81,0.324633588466713,30,0.270993085850847,81,0.33846023975625,30,0.284128325266344,81,0.354030654920042,30,0.293946451347386,81,0.368320896223787,30,0.305556627697507,81,0.402679339055675,30,0.361063101611435,81,0.417383525379888,30,0.370752061180393,81,0.0258008665429689,30,0.0257147317817181,81,0.0256359183025645,30,0.0255092162273995,81,0.00813459614580363,30,0.00807965499259829,81,0.00811902990116694,30,0.00807806040174821,81,0.00749416088926436,30,0.00741414889915472,81,0.00743592307939419,30,0.00731022975444566,81,0.0261455123070402,30,0.0261621351430074,81,0.0259729928957814,30,0.0258972144981745
,80,0.334546027128033,31,0.286837771520762,80,0.346294492075083,31,0.300373499935495,80,0.323610314634653,31,0.271281898043536,80,0.337486007401987,31,0.28458425588355,80,0.353684362940519,31,0.294593223214696,80,0.367435695995927,31,0.306134861705271,80,0.402503285721186,31,0.362253375791599,80,0.417117523374912,31,0.372082837305251,80,0.0257707315293984,31,0.0256767274954453,80,0.0256132739767926,31,0.0254840583914327,80,0.00812839205382932,31,0.00805866360440784,80,0.0081028253242658,31,0.00805490079037072,80,0.00745276040798376,31,0.00739858380306327,80,0.00741057658640298,31,0.00730096285728333,80,0.0261352727256615,31,0.0261476384719094,80,0.0259645942284229,31,0.0258822573383324
,79,0.333550703748172,32,0.287284849328424,79,0.345445101414949,32,0.300921417143581,79,0.322535410207347,32,0.271695192562905,79,0.336434229744352,32,0.285114385966739,79,0.353163337729798,32,0.295031826811432,79,0.366352186888893,32,0.306655760267293,79,0.402370840817174,32,0.36342471474869,79,0.416819788390224,32,0.373422232125899,79,0.0258065938637306,32,0.025722597779626,79,0.0256356219943734,32,0.0254653784565419,79,0.00812531799337247,32,0.00804968353405598,79,0.00809261971007348,32,0.00804268031915175,79,0.00746306401890259,32,0.00738316379598164,79,0.00742542757928061,32,0.00726827669628623,79,0.0261224302087248,32,0.0261283253675063,79,0.0259744110170072,32,0.0258759760700832
,78,0.33235376558281,33,0.28779294158891,78,0.344445490370584,33,0.301500579660281,78,0.321313426909253,33,0.272163394645207,78,0.335295451021311,33,0.28570377454081,78,0.352411309605023,33,0.295702687537777,78,0.365329595009581,33,0.307383415668215,78,0.402185400573155,33,0.36463913265601,78,0.416495858159617,33,0.37472212023079,78,0.0257877864353495,33,0.0257460063874983,78,0.0256537583574942,33,0.025486464747026,78,0.00810907242867541,33,0.0080576291412164,78,0.00809669778508687,33,0.00806480803680197,78,0.00748086832433094,33,0.00738349777620576,78,0.00742807341698841,33,0.00727989015883776,78,0.0261200655330259,33,0.0261364900001274,78,0.0259811663493619,33,0.0258860226406017
,77,0.331187237943835,34,0.288266215877398,77,0.343345159252202,34,0.302243345157472,77,0.31998271463369,34,0.27259803490981,77,0.334002299834629,34,0.286219233916708,77,0.351516718313944,34,0.296418622658924,77,0.364388406321799,34,0.308275789616321,77,0.401908481815428,34,0.365917056553409,77,0.416195122060294,34,0.37601885720675,77,0.0258191277435231,34,0.0257081288058679,77,0.0256544843101445,34,0.0255085419142543,77,0.00810455015075377,34,0.00805304881309111,77,0.00809663269947641,34,0.00804862634298354,77,0.00749044463940145,34,0.00739608946446664,77,0.00741236201697129,34,0.00727095541139826,77,0.0261311336362454,34,0.0261392250086576,77,0.02597595326951,34,0.0258815874047582
,76,0.329763853875634,35,0.288792851875207,76,0.342210092935149,35,0.302916392263579,76,0.318569432404296,35,0.273104537450848,76,0.33267060928712,35,0.286797925905364,76,0.350553207431072,35,0.297054956052675,76,0.363446974029145,35,0.309018001381365,76,0.40164289385871,35,0.36713574655584,76,0.415874642237273,35,0.377376495075633,76,0.0258238614730069,35,0.0257149292907525,76,0.0256386596776098,35,0.0254974051223595,76,0.00808416150332211,35,0.00804824936146069,76,0.00809875302832864,35,0.00803341716365087,76,0.00745500510400143,35,0.0073839525343066,76,0.00741583116896832,35,0.00726082612497803,76,0.0261239704453389,35,0.0261261409153523,76,0.025975947743912,35,0.0258902008884518
,75,0.328381711591784,36,0.289294352843029,75,0.341006755102683,36,0.303538877517265,75,0.317015065303522,36,0.273577765002392,75,0.33121217535961,36,0.287389251545783,75,0.349536029886322,36,0.297723627194509,75,0.362444404031262,36,0.30965188537911,75,0.401346938064547,36,0.368341554998666,75,0.415518714725826,36,0.378699895823025,75,0.0258336670127343,36,0.0256256684755846,75,0.0256032148837446,36,0.0255021009660284,75,0.00808744651589692,36,0.0080603110900052,75,0.00808490929167403,36,0.00803446238746263,75,0.00745926055593279,36,0.00736692715730258,75,0.00740797705641637,36,0.00730471025941517,75,0.0261367546700579,36,0.0261125722895757,75,0.0259440399731908,36,0.0258934377495109
,74,0.326850391089497,37,0.289863272024641,74,0.339716218968897,37,0.304240770029361,74,0.31539275586521,37,0.274095175284794,74,0.329648179876085,37,0.287964341582981,74,0.34843189293004,37,0.298390686773122,74,0.361376248893673,37,0.31022515459727,74,0.400991022712072,37,0.369502448430982,74,0.415371389893634,37,0.379982956505322,74,0.0258228399864023,37,0.0256287906366943,74,0.0256003090351029,37,0.0254554062076698,74,0.00808336241687397,37,0.00806751305872909,74,0.00807107937241933,37,0.00803628164777574,74,0.00746177281932915,37,0.0074037821248136,74,0.00741786853592238,37,0.00726619182795392,74,0.026140696827514,37,0.0261338585705895,74,0.0259254322208696,37,0.0258715879352992
,73,0.325346549977551,38,0.29045508828852,73,0.338508912199236,38,0.304902819942178,73,0.313707412829782,38,0.274675955781058,73,0.328073797226791,38,0.28858576592665,73,0.347250979161782,38,0.299063570677471,73,0.360230984178243,38,0.310842613367423,73,0.400669210688515,38,0.370719737822199,73,0.414959335684429,38,0.381248650106802,73,0.0258493613007136,38,0.0256239107041084,73,0.0256226626924309,38,0.0254384624838324,73,0.00807650035366211,38,0.00805973260717554,73,0.00808931527366837,38,0.00804312261640209,73,0.00746073945311032,38,0.00739341404841119,73,0.00741078860368315,38,0.00724875230666756,73,0.0261357372416079,38,0.0261269047010274,73,0.0259399460396483,38,0.0258696544160975
