CSV Report,2023-08-04_RNA_melting_VS.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,5 mM CaCl2_260.00nm_90.0-21.0C,,5 mM CaCl2_260.00nm_21.0-90.0C,,5 mM CaCl2_260.00nm_90.0-21.0C_R1,,5 mM CaCl2_260.00nm_21.0-90.0C_R1,,10 mM MgCl2_260.00nm_90.0-21.0C,,10 mM MgCl2_260.00nm_21.0-90.0C,,10 mM MgCl2_260.00nm_90.0-21.0C_R1,,10 mM MgCl2_260.00nm_21.0-90.0C_R1,,25 mM CaCl2_260.00nm_90.0-21.0C,,25 mM CaCl2_260.00nm_21.0-90.0C,,25 mM CaCl2_260.00nm_90.0-21.0C_R1,,25 mM CaCl2_260.00nm_21.0-90.0C_R1,,25 mM MgCl2_260.00nm_90.0-21.0C,,25 mM MgCl2_260.00nm_21.0-90.0C,,25 mM MgCl2_260.00nm_90.0-21.0C_R1,,25 mM MgCl2_260.00nm_21.0-90.0C_R1,,5 mM CaCl2_400.00nm_90.0-21.0C,,5 mM CaCl2_400.00nm_21.0-90.0C,,5 mM CaCl2_400.00nm_90.0-21.0C_R1,,5 mM CaCl2_400.00nm_21.0-90.0C_R1,,10 mM MgCl2_400.00nm_90.0-21.0C,,10 mM MgCl2_400.00nm_21.0-90.0C,,10 mM MgCl2_400.00nm_90.0-21.0C_R1,,10 mM MgCl2_400.00nm_21.0-90.0C_R1,,25 mM CaCl2_400.00nm_90.0-21.0C,,25 mM CaCl2_400.00nm_21.0-90.0C,,25 mM CaCl2_400.00nm_90.0-21.0C_R1,,25 mM CaCl2_400.00nm_21.0-90.0C_R1,,25 mM MgCl2_400.00nm_90.0-21.0C,,25 mM MgCl2_400.00nm_21.0-90.0C,,25 mM MgCl2_400.00nm_90.0-21.0C_R1,,25 mM MgCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),,2023-08-24 11:07:31 (+02:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.292256054021894,21,0.247414670583417,90,0.304855327539944,21,0.258927184558219,90,0.270954471583153,21,0.224871066890195,90,0.2806420969282,21,0.232844302053073,90,0.253642086415088,21,0.236264927856092,90,0.289356037388826,21,0.254108715774444,90,0.309669766768292,21,0.265795339946095,90,0.324484522067755,21,0.279824714227935,90,0.0242937879208425,21,0.0235031288542143,90,0.0241288164708028,21,0.0236003797036783,90,0.00465341774943195,21,0.00427253441200161,90,0.0047917342970864,21,0.00435457962694497,90,0.0420591503483266,21,0.0122583542711923,90,0.00628982565398624,21,0.00600047494273137,90,0.0246954125891293,21,0.0239737795576378,90,0.0246733106087397,21,0.0239434635020917
,89,0.292759728532607,22,0.247478854999619,89,0.305258440137858,22,0.258933124881961,89,0.271598206970895,22,0.22493557041622,89,0.281167465938329,22,0.232877984821036,89,0.257851437871556,22,0.236359425357916,89,0.290400961239522,22,0.254135174832989,89,0.310009410470751,22,0.265946394265299,89,0.325233902253072,22,0.279854911250401,89,0.0242801175603514,22,0.0235667621140827,89,0.0241397555968651,22,0.0235815036611259,89,0.00468895600397829,22,0.00428338652742734,89,0.00479153499873276,22,0.00435952125023208,89,0.036492377206768,22,0.0123114275575912,89,0.00624012771027123,22,0.00598641063516483,89,0.0247032515504883,22,0.0240374093267279,89,0.0246878977327763,22,0.0239551202533958
,88,0.292950101114482,23,0.24756559572594,88,0.30524765293716,23,0.259192377110973,88,0.271860289197707,23,0.225121604524366,88,0.281208750128726,23,0.233077752822579,88,0.260468923489719,23,0.236374707027303,88,0.291044497183219,23,0.254343894946372,88,0.310457107268321,23,0.266046596963596,88,0.325536565653663,23,0.280076117762509,88,0.0242739740259325,23,0.0235647649423402,88,0.0241156329887891,23,0.0235914970451108,88,0.00469146043436104,23,0.00432087803683264,88,0.004766682767395,23,0.00436783303054203,88,0.0321772401265845,23,0.0123057240957202,88,0.00615525618209994,23,0.00598215818167778,88,0.0246928418854136,23,0.0240289525902199,88,0.0246729343630623,23,0.0239614565363979
,87,0.293034553793249,24,0.247867665967295,87,0.305057165138658,24,0.259702126602039,87,0.271595641319435,24,0.225466554191272,87,0.280940982969103,24,0.233543560614554,87,0.262296034973951,24,0.236760422623055,87,0.29138807417686,24,0.254844713942921,87,0.310812950548301,24,0.266334289275907,87,0.325411265507671,24,0.280564297105619,87,0.0242474495126766,24,0.0235286727071455,87,0.0240674681730815,24,0.0235492252815241,87,0.0046815495173788,24,0.00434018432427268,87,0.0047567165327661,24,0.00440461575996451,87,0.0288576988476477,24,0.0123105601415013,87,0.00608868317275651,24,0.00594087819432488,87,0.024710371090943,24,0.0239815660436105,87,0.0246417983660819,24,0.0239309194100685
,86,0.292972454784653,25,0.248364599701273,86,0.304760069778766,25,0.260289975592709,86,0.271155214824923,25,0.225888684776241,86,0.28045951748273,25,0.233986544184821,86,0.264177267114011,25,0.237898404461997,86,0.2913275507986,25,0.255593675885848,86,0.310489005663571,25,0.266886933598874,86,0.32508098231917,25,0.281102927965826,86,0.0242117054293476,25,0.0235364431493575,86,0.0240543283940265,25,0.0235661301601919,86,0.00466625747799902,25,0.00434974379114465,86,0.00475460072083517,25,0.00441750862341529,86,0.0262069311942523,25,0.0124777711983512,86,0.0060372028841102,25,0.00594560623476869,86,0.0247133516647724,25,0.0239851030908819,86,0.0246377604029982,25,0.0239265189954936
,85,0.292921325889985,26,0.248761198742716,85,0.304414657738115,26,0.260827630736722,85,0.270725530013048,26,0.226294006957584,85,0.279857126844702,26,0.234428591607447,85,0.265467163997542,26,0.238524225670546,85,0.291224550570702,26,0.256307034595296,85,0.310158424414752,26,0.267203386237831,85,0.324610045864974,26,0.281536734364475,85,0.0242193752165,26,0.0235398066824882,85,0.0240673693799808,26,0.023587112793426,85,0.00466941588382981,26,0.00436495006112006,85,0.0047502841635969,26,0.00441140368731968,85,0.024263994583678,26,0.0125505365804393,85,0.00600341281812755,26,0.00597259609778789,85,0.0247087168862876,26,0.0239913637531473,85,0.024627703319889,26,0.0239399493356721
,84,0.292544451513169,27,0.249216489954759,84,0.304020096469008,27,0.261311462721457,84,0.270091195363076,27,0.226629654583308,84,0.279271616609386,27,0.234819778089831,84,0.26566544182422,27,0.238793604972928,84,0.291129966614946,27,0.256868239694012,84,0.309997014446271,27,0.267411821959703,84,0.324056147120021,27,0.281967085579667,84,0.0242349472092351,27,0.0235459455117618,84,0.0240591425668516,27,0.0235931156305413,84,0.00468216878260873,27,0.00435540945484341,84,0.00475255629227526,27,0.00441467176083671,84,0.0224664849680216,27,0.0125197228845296,84,0.00596672569083862,27,0.00596722068161647,84,0.0247056022425846,27,0.0239739788923265,84,0.0246328419399786,27,0.0239228755077989
,83,0.29207480944153,28,0.249578924964756,83,0.303570286555233,28,0.261769090708688,83,0.269499596238467,28,0.226926401487306,83,0.278693756138537,28,0.235231106913862,83,0.266153271282247,28,0.238856640571763,83,0.291023820455384,28,0.25732912107765,83,0.309362948238132,28,0.267764686414629,83,0.323558793675744,28,0.28249848246556,83,0.0242179766690324,28,0.0235501528209147,83,0.0240375313127562,28,0.0235820958771229,83,0.0046746574499514,28,0.00434694636527672,83,0.00474532242732131,28,0.00441159751327288,83,0.0212408201293307,28,0.0124402693933475,83,0.00594353103177302,28,0.00595512310579449,83,0.0247056595655349,28,0.0239772353723168,83,0.0246277137407677,28,0.0239131183653045
,82,0.291621375444562,29,0.24997719946886,82,0.303178671960747,29,0.262284791279136,82,0.268897768993319,29,0.227302253875483,82,0.278131805325373,29,0.235705419341136,82,0.266823573295958,29,0.239156736630677,82,0.290889198467528,29,0.257888276427713,82,0.308614110314156,29,0.268287734779153,82,0.3230550923605,29,0.283068688936604,82,0.0242139821493876,29,0.0235412890776738,82,0.0240206553738016,29,0.0235853013933029,82,0.00465633636680655,29,0.00436892163505328,82,0.00475712750744335,29,0.0044378019148493,82,0.0203508702771247,29,0.0124382271533804,82,0.00595985132813416,29,0.00596336839659033,82,0.0246937785575966,29,0.0239780029575555,82,0.0246161788660859,29,0.0239324355773462
,81,0.291192975502839,30,0.250515930051306,81,0.302732174309319,30,0.262895054562466,81,0.268251972196702,30,0.227729546635136,81,0.277479658665425,30,0.236196595475485,81,0.267217728055161,30,0.239851838322515,81,0.290731331249129,30,0.258596522828805,81,0.308009761559135,30,0.268663626867821,81,0.322479315204989,30,0.283596175909477,81,0.0241572712307396,30,0.0235759312391228,81,0.0240455989532064,30,0.0235827798950325,81,0.00464646843017133,30,0.00440183264046901,81,0.00475118747605017,30,0.00446274509913701,81,0.0196101695144976,30,0.012544345106914,81,0.00596213505294492,30,0.005941960763229,81,0.0246702167348212,30,0.0240037539597755,81,0.0246246418585698,30,0.0239453837988877
,80,0.290816126314983,31,0.250999152426404,80,0.302297706726269,31,0.263441068194726,80,0.267568739326676,31,0.228141469458495,80,0.276779597990431,31,0.236674680686711,80,0.267461531207783,31,0.240295930661299,80,0.290511062062303,31,0.259314005599971,80,0.307362223623744,31,0.269039904866954,80,0.321864732108639,31,0.284148049850069,80,0.0241740157750134,31,0.0236016561689201,80,0.0240597032023878,31,0.0235785427124946,80,0.00465294655001853,31,0.00441176550134978,80,0.00474298798921907,31,0.00443667883588255,80,0.019065264109059,31,0.0125696762601674,80,0.00596490699917325,31,0.00593193475262599,80,0.0246888887190337,31,0.0240243683178753,80,0.0246396798683515,31,0.0239417842434213
,79,0.290275125813134,32,0.251385893388231,79,0.301841305514438,32,0.26396394600291,79,0.266774801983988,32,0.228519086108045,79,0.275990747355952,32,0.237168749097818,79,0.267462936389671,32,0.240514555575337,79,0.290246873725925,32,0.259989678020579,79,0.306574405671379,32,0.269491560885032,79,0.321177647945712,32,0.284775936034337,79,0.0241827597253608,32,0.0235757443979716,79,0.0240486894676823,32,0.02357628246055,79,0.00464053601774664,32,0.00438746074641196,79,0.00473866305468808,32,0.00444439499266892,79,0.0186567471237239,32,0.0125339708341722,79,0.00595975542952945,32,0.00594364237841114,79,0.0246940616831139,32,0.0239934974409477,79,0.0246395811287338,32,0.0239304791558655
,78,0.289773004520561,33,0.251901541516213,78,0.301323826481172,33,0.264541366532578,78,0.265941844732762,33,0.228946128109,78,0.275140704098518,33,0.237667080324447,78,0.267314818558494,33,0.241187124217371,78,0.290014152830441,33,0.260653774215228,78,0.305783828153096,33,0.269923138937814,78,0.320437540024124,33,0.285355255944078,78,0.0241385972103221,33,0.0235666031674574,78,0.0240259489372319,33,0.0235812664546893,78,0.00462653208520309,33,0.00439194422872901,78,0.00474110392573913,33,0.00446294696856457,78,0.01832552298247,33,0.012628382651862,78,0.00596182943327904,33,0.0059435601859634,78,0.0246804558313287,33,0.0239857620050169,78,0.0246241628110899,33,0.0239375131186625
,77,0.289152999326746,34,0.2524001733516,77,0.300701135892029,34,0.265107357834028,77,0.265013450600365,34,0.229419359945411,77,0.274272756432606,34,0.238162217488054,77,0.267069828554543,34,0.24178075166484,77,0.289697269981988,34,0.261406489283191,77,0.304855840132366,34,0.270447732256456,77,0.319645407905722,34,0.285994954984902,77,0.0241535283767608,34,0.0235691986085726,77,0.0240562202961427,34,0.0236105126695524,77,0.00462481389934736,34,0.00442078571970008,77,0.00473903490399748,34,0.00446442004253526,77,0.0180785866146449,34,0.012708536070156,77,0.00598533756912585,34,0.00597185140050706,77,0.0246749393528671,34,0.0240133181524849,77,0.0246429776404139,34,0.0239728647150981
,76,0.288414084430219,35,0.25284248057814,76,0.300007844109925,35,0.265655351904426,76,0.263997081638623,35,0.229867477143953,76,0.273359145153371,35,0.23864999304594,76,0.266641117637197,35,0.242129791953777,76,0.289287442266928,35,0.262048618504893,76,0.30383904201345,35,0.270921694182986,76,0.318872832625739,35,0.286610786049935,76,0.0241436729320166,35,0.0235786015482947,76,0.0240351371726022,35,0.0235954348010585,76,0.00463712425934758,35,0.00442334826883045,76,0.00473731360780719,35,0.00445002633358752,76,0.0178627522369003,35,0.0127436757014353,76,0.00595173163885692,35,0.00595842682852164,76,0.0246618152114106,35,0.0240293072369723,76,0.0246227849683702,35,0.0239737980816005
,75,0.28775226417424,36,0.253402140826385,75,0.29931427902428,36,0.26625621221867,75,0.262974529082086,36,0.230318168772444,75,0.272281009607546,36,0.239127698780182,75,0.266361115904549,36,0.24259361428941,75,0.288852406968811,36,0.26273977204294,75,0.302961088189019,36,0.271355051641415,75,0.31812677283783,36,0.287235105706588,75,0.0241437794697606,36,0.023599154873963,75,0.0239972466487374,36,0.0236381647178583,75,0.00464570804102017,36,0.00442644071378305,75,0.00474616695110493,36,0.00444036673368136,75,0.0176917550786903,36,0.0127964726165514,75,0.00592902694767153,36,0.00598152139385586,75,0.0246619533827001,36,0.0240242558260769,75,0.0245989838991651,36,0.0240003148962372
,74,0.286971791150093,37,0.253951414448942,74,0.29853774814278,37,0.266884203605882,74,0.261893311807503,37,0.230809891291858,74,0.271168443694299,37,0.239556841944017,74,0.266251233731918,37,0.243073414288917,74,0.288385403912298,37,0.263468587576744,74,0.302012457701154,37,0.271889272012383,74,0.317370502570314,37,0.287885123634309,74,0.0241682048351562,37,0.0236150066974514,74,0.0239988730437557,37,0.023640786958692,74,0.00466076180785462,37,0.00442872587972792,74,0.0047404298310926,37,0.00444569244669187,74,0.0176277461385674,37,0.0128491436869866,74,0.00592288164770344,37,0.00597510285690495,74,0.0246782552831748,37,0.0240300088055561,74,0.024573979840547,37,0.0240096794940818
,73,0.286174896320471,38,0.254540173851087,73,0.297745631818542,38,0.267546716487893,73,0.260790876852442,38,0.231345981753126,73,0.269978595097058,38,0.240011649826405,73,0.265984836579035,38,0.243661886413895,73,0.287844864910428,38,0.26413867220223,73,0.301013343216247,38,0.272428374385844,73,0.316598677468823,38,0.288557182677856,73,0.0241718899431197,38,0.0236191686689243,73,0.0239731594400788,38,0.0236277579568061,73,0.00467436322492284,38,0.00443462827920504,73,0.00472297049051701,38,0.00447325501869654,73,0.0175589983685417,38,0.0129504105314183,73,0.00592269466553565,38,0.00596191403060782,73,0.024708498852836,38,0.0240472186139487,73,0.0245663286413672,38,0.0239897921684558
