CSV Report,2023-08-04_RNA_melting_VS.csv
,72,0.285194967426006,39,0.25512612660933,72,0.296932432454351,39,0.268240655580821,72,0.259702370956175,39,0.231870655998988,72,0.268869084588512,39,0.240395268007963,72,0.265447798742572,39,0.244088509120854,72,0.287362566780193,39,0.264831348247471,72,0.300063364142713,39,0.272970958977954,72,0.315784008897463,39,0.289234314790941,72,0.024169029377819,39,0.0235998064184887,72,0.0239842504450597,39,0.0236595054784657,72,0.0046462075135823,39,0.00445280618738143,72,0.00473213266925696,39,0.00448418184461384,72,0.0174448854688915,39,0.0129810822208615,72,0.00592875702505801,39,0.00598760617398551,72,0.0247028520401855,39,0.0240578040119321,72,0.0245786343094751,39,0.0240125137931231
,71,0.284241443708309,40,0.255718608975067,71,0.296014994713968,40,0.268876732511309,71,0.258583715076643,40,0.232403720165504,71,0.267792313760251,40,0.240733470790275,71,0.264812336958224,40,0.244623435061887,71,0.286874926166409,40,0.265485972113932,71,0.299034621037863,40,0.273529090934341,71,0.314985280755395,40,0.289913842873648,71,0.0241606405108498,40,0.0235884067645664,71,0.02397890234454,40,0.0236710766254167,71,0.00463471792501921,40,0.00446686219853004,71,0.00472318978908522,40,0.00448219187279748,71,0.0173387883644766,40,0.0130102757659305,71,0.00591246544309794,40,0.00599406131312597,71,0.0246718163742572,40,0.024045352586359,71,0.0245673764466836,40,0.0240259005057234
,70,0.283154849561714,41,0.256398490174822,70,0.295028214871815,41,0.26954154735708,70,0.257500403526087,41,0.232955798583768,70,0.266931164114277,41,0.241064597579742,70,0.264207555277776,41,0.245110928412686,70,0.286298156370066,41,0.266204933042319,70,0.298055658019716,41,0.274099677095754,70,0.314156396768503,41,0.290632765579229,70,0.024180198206141,41,0.0236068545697139,70,0.0239815764102625,41,0.0236430176382947,70,0.00465232550081846,41,0.00445633390047196,70,0.00470088390248832,41,0.00448671829655101,70,0.0171981034631504,41,0.0130559008940948,70,0.00592314274836211,41,0.00594268169240615,70,0.0246706718278733,41,0.0240459523654659,70,0.0245700881402681,41,0.0240353522901116
,69,0.282099492548476,42,0.257064692830768,69,0.29406858650971,42,0.27025937379315,69,0.256451774343187,42,0.233558515324968,69,0.266072088615811,42,0.241367997593992,69,0.26339805023094,42,0.245566810785439,69,0.2856604255564,42,0.266839460799972,69,0.297112227274315,42,0.274677716496719,69,0.313364230760992,42,0.291306824335409,69,0.0241670622102386,42,0.023600789335914,69,0.0239669525704706,42,0.0236516474050899,69,0.00463779406342308,42,0.00446240963993436,69,0.00469314124882191,42,0.00451391964139366,69,0.0169622581841823,42,0.013086476345815,69,0.00591731757725081,42,0.00594216832951462,69,0.0246685563588908,42,0.0240670824242157,69,0.0245592062237612,42,0.0240363147373179
,68,0.281007547427338,43,0.257727903157665,68,0.293065988754759,43,0.270959481006129,68,0.255448815412441,43,0.234158918920555,68,0.265070991509779,43,0.241616380159436,68,0.26272646306495,43,0.245983605426426,68,0.285085299543189,43,0.267470209564932,68,0.296265638496047,43,0.27528710234105,68,0.312570659277433,43,0.291973600304671,68,0.0241317189200964,43,0.0236180918678094,68,0.0239802294703575,43,0.0236515670215737,68,0.00465016749208818,43,0.00446600489809885,68,0.00468763394395041,43,0.00451615225672735,68,0.0167443814879602,43,0.0130927486581073,68,0.00594170418618827,43,0.005935184594519,68,0.0246657172400397,43,0.0240797827696304,68,0.0245766457523611,43,0.0240212666409546
,67,0.279883356213295,44,0.25846806876931,67,0.292079293417047,44,0.271684500455104,67,0.25450890011263,44,0.234794263394507,67,0.264150016453772,44,0.241881897230723,67,0.262232317849903,44,0.246420374611164,67,0.284467268836305,44,0.268137127515348,67,0.295451674613061,44,0.2759487151479,67,0.311813007528728,44,0.292672997336081,67,0.0241085899828905,44,0.0236497627275455,67,0.0240014284669531,44,0.0236522792784867,67,0.0046356447451475,44,0.00447171959430761,67,0.00467795701695976,44,0.00451465468485874,67,0.016537105663048,44,0.0130924599180193,67,0.0059506679164773,44,0.00591484498231204,67,0.0246837577648259,44,0.0241015247689031,67,0.0245799317211513,44,0.0240295512492291
,66,0.278924889524288,45,0.259213673889808,66,0.29113511661484,45,0.272447031184878,66,0.253601410446023,45,0.235493424895132,66,0.263319546062712,45,0.242200423430436,66,0.261494994426298,45,0.246767836836808,66,0.283842187010213,45,0.268823592803667,66,0.294727822931097,45,0.276619750193813,66,0.311125710792437,45,0.293367459560503,66,0.0241209862468853,45,0.0236360667461519,66,0.0239424218439272,45,0.0236577269879968,66,0.00461198030269573,45,0.0044797545453437,66,0.00468153626624872,45,0.00451477266798342,66,0.0162341613978999,45,0.0130664691074466,66,0.00589001433817274,45,0.00591855509535712,66,0.0246800230308043,45,0.0241027620004828,66,0.0245469100000486,45,0.0240224940060424
,65,0.277963379272603,46,0.259980336716594,65,0.290206550116724,46,0.273208702919562,65,0.252723590106926,46,0.236221025090946,65,0.262474273141225,46,0.242554986536421,65,0.260907766083629,46,0.247030649790895,65,0.283225905745627,46,0.269483222464613,65,0.294011324391723,46,0.277360938292677,65,0.310412008407274,46,0.29408142601275,65,0.024111147886771,46,0.0236362591518008,65,0.0238879707895437,46,0.0236809552061343,65,0.00462323692870627,46,0.00448640635182414,65,0.00466417768768426,46,0.00451563585026187,65,0.0160280660945885,46,0.0130085535716832,65,0.00585595047076459,46,0.00590933714188796,65,0.0246548598277496,46,0.0241034236059717,65,0.0245287267176554,46,0.0240325807721977
,64,0.276740267967662,47,0.260804420633597,64,0.289250809892169,47,0.273951624689289,64,0.251915874436447,47,0.236925668402296,64,0.261691955171261,47,0.242895841213951,64,0.260529782416762,47,0.247418251710939,64,0.282597526858508,47,0.270196878711579,64,0.2933092457319,47,0.278072870773219,64,0.309705405583891,47,0.29479373380975,64,0.0240971373978012,47,0.0236535581155147,64,0.0238838266468598,47,0.0236500064119694,64,0.00461233837871545,47,0.00448340930088593,64,0.00464974652422783,47,0.00450119468430847,64,0.0158202528033581,47,0.0129779009432037,64,0.00588287064352097,47,0.00589015023405963,64,0.0246479126629095,47,0.0241127174102476,64,0.0245388379442978,47,0.0240160113588743
,63,0.275894300434305,48,0.261628153887808,63,0.288386081173162,48,0.274735474666172,63,0.251129663757544,48,0.237671250561966,63,0.260957457890613,48,0.243224464715003,63,0.259950299322557,48,0.247933069336008,63,0.282005108575332,48,0.270930015609512,63,0.292573453125245,48,0.278766766040964,63,0.309021130786015,48,0.295524793543779,63,0.0240909663636509,48,0.0236608204311447,63,0.0238886818834977,48,0.0236623241740306,63,0.00460930707718132,48,0.00449138544289451,63,0.00466346606013403,48,0.00452165216470642,63,0.0154702256828459,48,0.0129325728318127,63,0.00587697271792187,48,0.00592003451483325,63,0.024650273976998,48,0.0241114604858274,63,0.0245276771712431,48,0.0240452147989119
,62,0.275013074478172,49,0.262423795123755,62,0.287566562436744,49,0.27556927127353,62,0.250353375400656,49,0.238474070294684,62,0.260161142966555,49,0.243528060124966,62,0.259427103350125,49,0.248318830513818,62,0.281385348748932,49,0.271664379698539,62,0.291835598445352,49,0.27953331214709,62,0.308335169859071,49,0.296307260542135,62,0.0240954814821059,49,0.0236616699400062,62,0.0238702778727772,49,0.0236975069406387,62,0.00461526407089005,49,0.00448943370561711,62,0.00467350672284227,49,0.00453306396383504,62,0.0152217433439609,49,0.0128399019900219,62,0.00585871376113758,49,0.00592268461268867,62,0.0246422318066102,49,0.0241172768355978,62,0.024516581347351,49,0.0240961061616568
,61,0.274050470712579,50,0.263297666221831,61,0.286749928315346,50,0.276372237105216,61,0.249597550453501,50,0.239247665733722,61,0.259373550314345,50,0.243824089236525,61,0.258904147364875,50,0.248676339465316,61,0.280773131372117,50,0.272311961731432,61,0.291141406336721,50,0.280354072202859,61,0.307642586684562,50,0.297090350212481,61,0.0240674010734364,50,0.0236930262019776,61,0.0238712904170931,50,0.023721433183836,61,0.00460723582729593,50,0.00447756497619691,61,0.00466595959206181,50,0.00453532653606801,61,0.0150153685670507,50,0.0128329238436367,61,0.00585488513649707,50,0.00591919393034873,61,0.0246375555738652,50,0.0241383633761812,61,0.0245241310171649,50,0.0241235398877455
,60,0.273233474378245,51,0.264186570876819,60,0.285872467387328,51,0.27720525794664,60,0.24885144073354,51,0.240119197791402,60,0.258565949864951,51,0.244274420738196,60,0.258309389967246,51,0.249108750315034,60,0.28011698708555,51,0.273040213387349,60,0.290398652964012,51,0.281174700329789,60,0.307037281604956,51,0.297850404591908,60,0.0240841125222084,51,0.0236790793464523,60,0.0238684935217805,51,0.0237136134905063,60,0.00460746453011541,51,0.00449248733482259,60,0.00466786650258222,51,0.00452177087564017,60,0.0148009189327912,51,0.0127807807941724,60,0.00586880763790911,51,0.00588944619066076,60,0.024614399039253,51,0.0241401976878086,60,0.0244870547161358,51,0.0241003998301914
,59,0.27237933488777,52,0.26508707626212,59,0.285012711163471,52,0.27807800108394,59,0.24813202018493,52,0.241117080444852,59,0.257795969386185,52,0.244984206020705,59,0.257873748970941,52,0.249371040760693,59,0.279533310987592,52,0.273728204411531,59,0.289508448849535,52,0.281965146547127,59,0.306200663113521,52,0.298736394528901,59,0.0240295840103664,52,0.0236670199402998,59,0.0238312725785684,52,0.0236832464439594,59,0.00459857010039763,52,0.00447532216761659,59,0.00462967055508468,52,0.00449491185354399,59,0.014605092409392,52,0.0126698016251878,59,0.00587691984469936,52,0.00585516653319764,59,0.0245231148079563,52,0.0241464266675805,59,0.0244029014397502,52,0.0240719699019127
,58,0.271461591509222,53,0.265945107834237,58,0.284193950517801,53,0.27891837997134,58,0.247377170339582,53,0.242160432026657,58,0.257015581321434,53,0.24587592970463,58,0.257397565158262,53,0.249699859304366,58,0.27892433498549,53,0.274384801625274,58,0.288636136690915,53,0.282776954204011,58,0.305327637722633,53,0.299592211662829,58,0.0239457590584615,53,0.0237031953309761,58,0.0238075861778915,53,0.0236793375445995,58,0.00459692705941496,53,0.00445978007004073,58,0.00463098455000671,53,0.00450074132086444,58,0.0144358148513853,53,0.012598146268068,58,0.00590152466002214,53,0.00584193311408417,58,0.0244431484020907,53,0.0241742168755774,58,0.0243747695230144,53,0.0240689087819743
,57,0.27059255567416,54,0.266762779252303,57,0.283367103172431,54,0.279707495205041,57,0.246576314060546,54,0.242986098917904,57,0.256228756849826,54,0.247058118706442,57,0.256673727751246,54,0.250209558486018,57,0.278292938860291,54,0.275006139363002,57,0.28778748460464,54,0.28364184520947,57,0.304494989325353,54,0.300360963118251,57,0.0239342352539153,54,0.0237396442197523,57,0.0237686741227002,54,0.0237113396887526,57,0.00458996327188662,54,0.00448572674401222,57,0.00465002817262558,54,0.00449106812037934,57,0.0142922655659925,54,0.0126597845843773,57,0.00588006722177608,54,0.00585545385869904,57,0.0244178384090313,54,0.0242025909441771,57,0.0243148902048272,54,0.0241085141168676
,56,0.269750181458126,55,0.267677183555992,56,0.282573058370192,55,0.280581746540985,56,0.245770730885676,55,0.243764355795508,56,0.25542286620429,55,0.24894167261824,56,0.256165847457256,55,0.250684045791939,56,0.277660564131487,55,0.275681122586501,56,0.286989700441,55,0.284488206722341,56,0.303726664844727,55,0.301164191137519,56,0.0239111299136806,55,0.023731532440283,56,0.0237239669064827,55,0.0237273261654159,56,0.00457921423647525,55,0.00448045014889854,56,0.00463752179266502,55,0.00447688160938276,56,0.014197175958503,55,0.0126084263251688,56,0.00586660003511794,55,0.00583793167758456,56,0.024389083421938,55,0.0241881347899628,56,0.0242540307486365,55,0.0241222270659209
,55,0.268935766953963,56,0.268579041758273,55,0.281865008687481,56,0.281446082475864,55,0.244948254860578,56,0.244640438230322,55,0.254602178089958,56,0.251168558523016,55,0.255707399411689,56,0.251269769075233,55,0.276973580577927,56,0.27636721825875,55,0.286202552158425,56,0.285332800436727,55,0.302887591038995,56,0.302025730619371,55,0.0238747110485987,56,0.0236883714531852,55,0.0237287358994414,56,0.0236940205258748,55,0.00456508594007481,56,0.00446421809174135,55,0.00462941371534685,56,0.00448405752605923,55,0.0140982211643684,56,0.012598175120708,55,0.00587428428676306,56,0.00580601457881701,55,0.024349534867104,56,0.0241760611056417,55,0.0242503923851712,56,0.0240886157845773
,54,0.268106498619798,57,0.269417561730721,54,0.281175702462063,57,0.28224067663871,54,0.244148515222116,57,0.245527191241157,54,0.253795935122516,57,0.252971990352263,54,0.255131838164187,57,0.251800152555386,54,0.276385426034446,57,0.277041932717509,54,0.285398157187434,57,0.28619679802929,54,0.302109590013721,57,0.302914959825479,54,0.0238571300438408,57,0.0236909374819548,54,0.0237319164810907,57,0.0236888509805325,54,0.00455466817590676,57,0.00446507886413421,54,0.00463228622789567,57,0.00449377840787727,54,0.0140105209782003,57,0.0126554974036714,54,0.00586657358623734,57,0.00579752449971654,54,0.0243176155352095,57,0.0241840429053608,54,0.0242232044392397,57,0.0240923549027434
,53,0.267360385037612,58,0.270359183538059,53,0.280397133718081,58,0.283018187200003,53,0.243403290241857,58,0.246476535611206,53,0.253012622515554,58,0.253705451095307,53,0.25449208248163,58,0.252373641828411,53,0.275791600878625,58,0.277701455430602,53,0.284589796345314,58,0.287126542942662,53,0.301357151911258,58,0.30381507444706,53,0.0238561774593934,58,0.0236869180238241,53,0.023732893714911,58,0.0236896774571319,53,0.00457103010762793,58,0.00446659994182358,53,0.00463771554115501,58,0.00448544018125231,53,0.0139020264962523,58,0.0127123827499047,53,0.00586528788295809,58,0.0057860566091675,53,0.0243157647936141,58,0.0241717257413029,53,0.0242164721225775,58,0.0241180545522166
,52,0.266629648441698,59,0.271243083011349,52,0.279587877963263,59,0.283862333272195,52,0.242575401444083,59,0.247413632212535,52,0.252224084687915,59,0.25426282179318,52,0.25388082051459,59,0.253018214659348,52,0.275137651151371,59,0.278446978719725,52,0.283854875216971,59,0.287970045535075,52,0.300574737867409,59,0.304668866946156,52,0.0238715260620421,59,0.0236699396329975,52,0.0237204696738022,59,0.0236859197244409,52,0.00458319616807418,59,0.00447564015542307,52,0.00463390991641246,59,0.00448059252880569,52,0.0138399366706383,59,0.0127839857173703,52,0.00587990016346657,59,0.00578882055255623,52,0.0243178422221412,59,0.0241649277297686,52,0.0242018110648668,59,0.0241463982022181
,51,0.265828530859977,60,0.272157137338678,51,0.278743706881651,60,0.284664349750473,51,0.241729890488759,60,0.248310741871663,51,0.251439580864547,60,0.254799856100664,51,0.25329325215461,60,0.253871764128713,51,0.274517972328682,60,0.279255670891166,51,0.283044957711058,60,0.288804519401905,51,0.299779452696005,60,0.305583892153221,51,0.0238812442091655,60,0.0236680251207506,51,0.0237481817318376,60,0.0236740524977179,51,0.0046177307889893,60,0.00447753209576565,51,0.00465065206074121,60,0.00450244905608161,51,0.0138170771211739,60,0.0129166097073779,51,0.00592234331821151,60,0.00579606660691751,51,0.0243081960946477,60,0.0241900628277787,51,0.0242190190901894,60,0.0241693020470684
,50,0.264990547518356,61,0.273112457380753,50,0.27791260093643,61,0.285529724191801,50,0.240916764722331,61,0.249226603710975,50,0.250670424853138,61,0.255238730120885,50,0.252686839695227,61,0.254668554331351,50,0.273879483484527,61,0.280029092438686,50,0.282187421033995,61,0.289743456106496,50,0.298995002406786,61,0.306471754340292,50,0.0238685680255608,61,0.0237092340996089,50,0.0237424059276679,61,0.0236595316952284,50,0.00463037571055899,61,0.00448634698738089,50,0.00465625957240246,61,0.00449799983048065,50,0.0137947782928719,61,0.0131138005860944,50,0.00591137275910899,61,0.00578693400737195,50,0.0242965181897634,61,0.024262404252137,50,0.0241907658711936,61,0.0241983495770595
,49,0.264167684274326,62,0.274104718672215,49,0.27707447878043,62,0.286412607102755,49,0.240144883623967,62,0.250126762173378,49,0.249817447800969,62,0.255686630160805,49,0.251981196319761,62,0.255364235301178,49,0.273158571111576,62,0.280755779302471,49,0.281418359729761,62,0.29067461138649,49,0.298167138632236,62,0.30736290107081,49,0.0238506386232006,62,0.0237678532053136,49,0.0237055592211948,62,0.0236773680047056,49,0.00460639918972772,62,0.0044925090727387,49,0.0046562267283263,62,0.00451462365687154,49,0.0136996600480703,62,0.0133255227579435,49,0.00591027937931136,62,0.00577300985301012,49,0.0242652240478486,62,0.0243523027304214,49,0.0241709209860314,62,0.0242731560196291
,48,0.263338056270026,63,0.275253391191463,48,0.276313478500168,63,0.287375894102638,48,0.239397931926171,63,0.251133053604801,48,0.249034810429098,63,0.256196243103817,48,0.251418134414211,63,0.25613167120684,48,0.272526107883007,63,0.281530386062067,48,0.280614458121918,63,0.291644331551826,48,0.29740490312876,63,0.308314646326855,48,0.0238373609843714,63,0.023801745473071,48,0.0237269783831706,63,0.0237101045315305,48,0.00463172176692093,63,0.00451504392994318,48,0.00466799927064642,63,0.00453870120028198,48,0.0136637763740146,63,0.0135100970093732,48,0.00595795682870883,63,0.00575561421963227,48,0.0242432058077421,63,0.0244486931985539,48,0.0241741111619231,63,0.0243599532491181
,47,0.262532873594629,64,0.276371808938284,47,0.275491414531173,64,0.288370224278728,47,0.238618852540515,64,0.252095848587138,47,0.248286556623493,64,0.256724101651059,47,0.250930388346425,64,0.256778599975801,47,0.27187163183744,64,0.282250704586425,47,0.279823823057669,64,0.292579535486881,47,0.296649680473713,64,0.309218037375705,47,0.0238223442979918,64,0.0238894896838386,47,0.0237246553523918,64,0.0237611659812919,47,0.00464320031074973,64,0.00453904241053141,47,0.00470651179068978,64,0.00455559761546788,47,0.0136824733446078,64,0.0137407309912051,47,0.00597640746165569,64,0.0057359200475068,47,0.0242314856409918,64,0.0245369299784016,47,0.0241639910584217,64,0.0244204522023181
