CSV Report,2023-08-16_RNA_melting_CaCl2_VS.csv
,72,0.300010317787683,39,0.270162997683444,72,0.314594281852964,39,0.287099199267331,72,0.278124366084193,39,0.244812581246431,72,0.282035639853357,39,0.25291876595659,72,0.310590866681814,39,0.272661009559158,72,0.31849197453788,39,0.281884380068328,72,0.345456719751564,39,0.305856778962657,72,0.356923606333343,39,0.317865450353362,72,0.0279634042981762,39,0.0278015345033494,72,0.0277807247846741,39,0.0279495764205295,72,0.00869058252380465,39,0.00800233364968418,72,0.00867436926144379,39,0.00865057215415059,72,0.00972712751514785,39,0.00939358960020635,72,0.0095237537673161,39,0.00956082333413702,72,0.0282600792625769,39,0.0279735336136904,72,0.0281511838944056,39,0.028312426119288
,71,0.299025373497904,40,0.270824381520699,71,0.313799233266187,40,0.287887909122755,71,0.276958065722659,40,0.24547108608735,71,0.281161974019264,40,0.253647294499211,71,0.309483609312264,40,0.273457092536645,71,0.317438963925534,40,0.282729345666696,71,0.344599451127972,40,0.306888686055168,71,0.356056475750886,40,0.318940489586846,71,0.0279590726935377,40,0.0278159593071662,71,0.0277940929273014,40,0.0279600480331466,71,0.00866131235356593,40,0.00800980193472439,71,0.00870149816099642,40,0.00864576296373415,71,0.00970503017542148,40,0.00941257769668247,71,0.00951640049012672,40,0.00956440987733244,71,0.0282268952741824,40,0.0280010719070909,71,0.0281758401478109,40,0.0283202622369331
,70,0.298039256941921,41,0.271540178745274,70,0.312963638073845,41,0.288603364537617,70,0.275878563140435,41,0.246185025065207,70,0.280259056421354,41,0.254318816635109,70,0.308234015843858,41,0.274341191826236,70,0.316317258512679,41,0.28364363180785,70,0.343670037587409,41,0.307932911729729,70,0.355138851747977,41,0.319959104999419,70,0.0279432859173391,41,0.027805296170794,70,0.0277887023844749,41,0.0279787066705718,70,0.00866677265002385,41,0.00803528542916882,70,0.00868492644049978,41,0.00863839935274974,70,0.00967790212231187,41,0.00940440862861903,70,0.00951135053590012,41,0.00960038876132021,70,0.0282251029858674,41,0.0279980348735592,70,0.0281830647900502,41,0.0283390451033368
,69,0.296984711889813,42,0.272242381017639,69,0.31205604229836,42,0.289324091883133,69,0.274769248092886,42,0.246927319775215,69,0.279286112447953,42,0.255060296045623,69,0.306990206530668,42,0.275246706453237,69,0.315105873047129,42,0.2845522256806,69,0.342719688987214,42,0.309007648251659,69,0.354045973155692,42,0.321002297142524,69,0.027953310916694,42,0.02777711609969,69,0.0277769377278095,42,0.0279451345734314,69,0.00867368069165825,42,0.00804614374821617,69,0.00868404390138084,42,0.00864579701112351,69,0.00968466691658741,42,0.00939264398323508,69,0.00952575789134153,42,0.00957145315817783,69,0.0282273560469777,42,0.0279615362358527,69,0.0281626495002119,42,0.0283354891683421
,68,0.295990257651909,43,0.273023892582057,68,0.311177612713849,43,0.290067374406953,68,0.273749647519741,43,0.247657258692868,68,0.278287994484298,43,0.25582446114858,68,0.305796994735841,43,0.276283261772204,68,0.313853526597548,43,0.285496578718425,68,0.341495338415978,43,0.310108024314262,68,0.35279198563915,43,0.322068531624173,68,0.0279155866578368,43,0.0277814637564358,68,0.0277661296551829,43,0.0279281291760525,68,0.00875516620306411,43,0.00804927361124568,68,0.00868395288651455,43,0.00864858062775585,68,0.00965543978045685,43,0.00941810473632229,68,0.00953414110154648,43,0.00957110172158048,68,0.0282021517649631,43,0.0279777531902567,68,0.02813862865676,43,0.028321562187149
,67,0.294935662966087,44,0.273791632838581,67,0.310238541218452,44,0.29085776452034,67,0.272518122414538,44,0.248434585881176,67,0.277300607139002,44,0.256561991938037,67,0.304549795724389,44,0.277262657377274,67,0.312674023701553,44,0.286494830142442,67,0.340344515321229,44,0.311183837498472,67,0.351465565355381,44,0.323155648749516,67,0.0278657756488031,44,0.027811582608295,67,0.0277519770831775,44,0.0279561082886674,67,0.00872199681226264,44,0.00808127981497165,67,0.00866426738405339,44,0.00863775932250113,67,0.00964997306835555,44,0.00944433544103815,67,0.00954738365566492,44,0.00958471223641396,67,0.0282211920495628,44,0.0280143410829777,67,0.0281571403931671,44,0.0283288887757881
,66,0.293913119997773,45,0.274604824323423,66,0.309361416583973,45,0.291598874500383,66,0.271185892760957,45,0.249257742981671,66,0.27632548085901,45,0.257336467330588,66,0.30325444653333,45,0.278279738232036,66,0.311509124525062,45,0.287519284507687,66,0.33904301952505,45,0.312235707058897,66,0.350078023222045,45,0.324234635817461,66,0.0278830793650858,45,0.0278056416685103,66,0.027798504202578,45,0.0279369201345642,66,0.0086626801648378,45,0.00807614668905093,66,0.00867634733334082,45,0.00862349323539419,66,0.00966012358641894,45,0.00941879094833589,66,0.00958494650471836,45,0.00957223004653496,66,0.0282244202569739,45,0.0280042702507388,66,0.0281751276679272,45,0.0283057369717566
,65,0.29287935412274,46,0.275411910398961,65,0.308486236486777,46,0.292418087431492,65,0.270018305681779,46,0.250082736880852,65,0.275407678242517,46,0.258155462366185,65,0.302032967597488,46,0.279308343242016,65,0.310271976080872,46,0.288621642804061,65,0.337740822735623,46,0.31330323880122,65,0.348710046107983,46,0.325255633028173,65,0.0279117534447419,46,0.0278082612976271,65,0.0277874742868057,46,0.027917527280731,65,0.00867203658736153,46,0.00806593446426692,65,0.00866182893532164,46,0.00861836266120396,65,0.00966612886839343,46,0.00939728198455119,65,0.00955276839212817,46,0.00956899207256656,65,0.0282063285848672,46,0.0280179844518215,65,0.0281497665644771,46,0.0282677218605748
,64,0.291845999369672,47,0.27617547325804,64,0.307635864080347,47,0.293224532947506,64,0.268897511117241,47,0.250924846810938,64,0.274501971469066,47,0.258954276803302,64,0.300738692653891,47,0.280378073867101,64,0.308981753870979,47,0.289664137840008,64,0.33629161173257,47,0.314323161749864,64,0.34722686953397,47,0.326240010314314,64,0.027881566894872,47,0.0277718523419374,64,0.0277517265938909,47,0.0279320926266458,64,0.00865324431184149,47,0.00805734377944654,64,0.00866225163043208,47,0.00861125152570469,64,0.00964013572133359,47,0.00939537605210955,64,0.00952405612787946,47,0.00958306081937219,64,0.0281959226690293,47,0.0280022506747469,64,0.0281426278730156,47,0.028268427139416
,63,0.290877390723411,48,0.276932130157532,63,0.306819439688406,48,0.294024334953799,63,0.267828175040681,48,0.251785936546325,63,0.273597294089874,48,0.259785811128461,63,0.299423689238633,48,0.281421656010138,63,0.307537981455558,48,0.290747394538197,63,0.33480369264452,48,0.315316925715964,63,0.345723428307118,48,0.32727357466784,63,0.0278665647888827,48,0.0277386975134418,63,0.0277638196363435,48,0.0279221944993526,63,0.00867464809278474,48,0.00807667294327196,63,0.00867453734890555,48,0.00862196523884269,63,0.00966927245694841,48,0.00939137119242879,63,0.00953846866286414,48,0.0095641139429708,63,0.028208207321951,48,0.028000752781635,63,0.0281633118270895,48,0.0282687867648368
,62,0.289961069467887,49,0.277843767805194,62,0.306341665282903,49,0.294882732130628,62,0.266849850585898,49,0.252689396327377,62,0.272760719143547,49,0.260593801199742,62,0.298052453797879,49,0.282583345291706,62,0.306185526645354,49,0.291864563941391,62,0.333302378175895,49,0.316337723152911,62,0.344581980439927,49,0.328266059874739,62,0.0278695188636984,49,0.0277663544002283,62,0.0277489664033356,49,0.027925253303941,62,0.00866758768243226,49,0.008099564050623,62,0.008697908444935,49,0.00860825432085126,62,0.0096636666360868,49,0.00944245819676956,62,0.00955004773805275,49,0.00954882421853144,62,0.0281980929299735,49,0.0280395428864683,62,0.028147156406132,49,0.0282518931764302
,61,0.289096748931136,50,0.278785795813489,61,0.305490672776394,50,0.295719800559999,61,0.265863190106753,50,0.25359022518866,61,0.27190722277213,50,0.261439493588392,61,0.296751170220101,50,0.283724872283439,61,0.304961942987861,50,0.292991250748811,61,0.331846728422874,50,0.317421876534799,61,0.343270623230076,50,0.329241740066501,61,0.027890086140588,50,0.0278153215002936,61,0.0277193729849989,50,0.0278946653436338,61,0.00866129813542866,50,0.00813295893450196,61,0.00867467569381223,50,0.00858580795658698,61,0.00966417093678268,50,0.0094680068601629,61,0.00955556208914425,50,0.00954963785046804,61,0.0282234641844764,50,0.0280682835107755,61,0.0281220911687792,50,0.0282384620500939
,60,0.288260717358751,51,0.279677881590215,60,0.304528689577985,51,0.296522344801413,60,0.264876996552977,51,0.254469866553658,60,0.271054866740725,51,0.262272437900736,60,0.295498888060227,51,0.284818254603387,60,0.303830628837443,51,0.29413425079076,60,0.330473881394735,51,0.318390495897282,60,0.341810743791839,51,0.330228215532994,60,0.0278859706189377,51,0.0278069950437563,60,0.0277285577078771,51,0.0278610098465128,60,0.00862045131758487,51,0.00812921200435678,60,0.00861196065075374,51,0.00859695642335055,60,0.00963588870148444,51,0.00948543646010189,60,0.0095870221752343,51,0.00956133341469335,60,0.0281927084268189,51,0.0280760354832536,60,0.0281208142317988,51,0.028218940653051
,59,0.287328967254683,52,0.280526921248496,59,0.303697878604925,52,0.297382036626744,59,0.263897599255334,52,0.255362091208396,59,0.270124155455796,52,0.263160171850721,59,0.294430441153713,52,0.285884041123495,59,0.30271110108889,52,0.29526878884111,59,0.329151927163126,52,0.319356569179,59,0.340336184026979,52,0.331180203664188,59,0.0278302116045152,52,0.0278235226021404,59,0.0276820569954004,52,0.0278078642255314,59,0.00852473347199544,52,0.00814330660834404,59,0.00852793219519505,52,0.00858633299859444,59,0.00965818089605043,52,0.00951033797500925,59,0.0095547115795792,52,0.00954370962488671,59,0.0281787146753223,52,0.0280872213043358,59,0.0280884761597131,52,0.0281868491946371
,58,0.286440817558994,53,0.28137479965552,58,0.302882336693294,53,0.298201862097519,58,0.26281748781393,53,0.256292299035414,58,0.269154719778884,53,0.264042375716488,58,0.293302194598356,53,0.286991476562485,58,0.301626928721666,53,0.2964363880572,58,0.327868775047316,53,0.32034802304189,58,0.339023933025,53,0.332190672066605,58,0.0277989517519413,53,0.027799732745882,58,0.0276671351494177,53,0.0278383624697408,58,0.0084248158275173,53,0.00816747071507232,58,0.00843070460769232,53,0.00859641075405201,58,0.00965288988982382,53,0.00950080702023239,58,0.00957115199796259,53,0.00958075592955104,58,0.028203808211841,53,0.0280854273487036,58,0.0281061028892836,53,0.0282136107383039
,57,0.285652686372142,54,0.282242238318729,57,0.302197489604771,54,0.299025403669593,57,0.261896106540983,54,0.257242881945502,57,0.268277935692791,54,0.264911742775198,57,0.292243885113681,54,0.28805878709652,57,0.300621940203288,54,0.297557580474352,57,0.326718676741509,54,0.321293616663069,57,0.337784691394158,54,0.333356507064431,57,0.0278105024924464,54,0.0277886696625058,57,0.0276453744203659,54,0.0278066543412251,57,0.00835874813391514,54,0.00820532242590945,57,0.00834606644514895,54,0.00856998307557153,57,0.00962915853756673,54,0.00950706566995152,57,0.00954210273982799,54,0.00956747750973976,57,0.028195618339878,54,0.0280916606621099,57,0.0281014122844003,54,0.0281698724702518
,56,0.284817354351782,55,0.283045473173263,56,0.301422847136977,55,0.299840552856335,56,0.260978390333739,55,0.258235524996775,56,0.267438882722865,55,0.265764806004527,56,0.291237826020947,55,0.289114555870916,56,0.299595943396918,55,0.298663665159278,56,0.325673132315317,55,0.322283658600656,56,0.336638991761474,55,0.334633691015456,56,0.0278218910159531,55,0.0277093275770716,56,0.0276339566593137,55,0.0277326581898879,56,0.00831698719300556,55,0.0082309690860836,56,0.0083173182702192,55,0.0085493061718203,56,0.00964475433648546,55,0.00947432331087769,56,0.00952487633543383,55,0.00950840858663667,56,0.0281738790003253,55,0.028066274769336,56,0.0281102731377305,55,0.0281311161188129
,55,0.284017907021665,56,0.283906764168592,55,0.300652931223731,56,0.300678424266746,55,0.260093337051292,56,0.259117949860972,55,0.266628980372338,56,0.266664550065839,55,0.290222830524575,56,0.290221912788005,55,0.298621373199167,56,0.300261336822985,55,0.324585537564384,56,0.323405453433611,55,0.33549874795556,56,0.335670058374951,55,0.0278269969060681,56,0.0277252260701684,55,0.0276845643836362,56,0.0277443990102243,55,0.00832157143320389,56,0.00821094118008736,55,0.00831120762243805,56,0.00855201175546321,55,0.00961767944707184,56,0.00951273143967982,55,0.00955924980941334,56,0.00950958104200947,55,0.0281426313869191,56,0.0281032291537723,55,0.0281226784475806,56,0.0281379093390339
,54,0.283213466979817,57,0.284735314387996,54,0.299867924209404,57,0.301465669913057,54,0.259174105496381,57,0.260028991496368,54,0.265854238977006,57,0.267499305298665,54,0.289263616652808,57,0.29131375760536,54,0.297662418762781,57,0.301934908297411,54,0.323330228907808,57,0.324507419449337,54,0.334418919428715,57,0.336702031644007,54,0.0278545118689647,57,0.0277113290295341,54,0.0277081526091606,57,0.0276897131648752,54,0.00827706950777975,57,0.00823391515196831,54,0.00830064440187102,57,0.00850392201081199,54,0.00961172745853505,57,0.00952284238538267,54,0.00956133445950375,57,0.00948783843554816,54,0.028149596902052,57,0.0281198645530022,54,0.0281084938848279,57,0.0281146390417794
,53,0.282352795699804,58,0.285558527737377,53,0.299059551800649,58,0.302299629666807,53,0.258251984855108,58,0.260930787459014,53,0.265014829967633,58,0.268381200876628,53,0.288259770046653,58,0.292391534056376,53,0.296608627185543,58,0.302787261699706,53,0.32236862930247,58,0.32561066161547,53,0.3333983513323,58,0.337839840801174,53,0.0278646442569883,58,0.027711473150228,53,0.0277162709100859,58,0.0276715413524634,53,0.00823477948875055,58,0.00825740864191762,53,0.00829474022548546,58,0.00850221387712366,53,0.00961506982650649,58,0.00956930078483221,53,0.00956036259182379,58,0.00948926522088724,53,0.0281544000000344,58,0.0281620904762175,53,0.0281465097855152,58,0.0281077347043393
,52,0.281590951579479,59,0.147411973333824,52,0.298285306643931,59,0.303169767251721,52,0.257393404744457,59,0.114795629564684,52,0.264180781568687,59,0.269322997479476,52,0.287344121692043,59,0.146420806617203,52,0.295635346512429,59,0.303986416174172,52,0.321284093906674,59,0.172129805480696,52,0.332387247424533,59,0.3391331253362,52,0.0278793284433014,59,-0.0639443367361949,52,0.0277182119137932,59,0.0276315319260428,52,0.00820868209170532,59,-0.0890820338283548,52,0.00830429316621767,59,0.0085181885729825,52,0.00962479881985984,59,-0.08775342731085,52,0.00956369758039736,59,0.00950368455364162,52,0.0281589581869145,59,-0.0746553452209656,52,0.0281384715478191,59,0.0281034811666753
,51,0.28077981416684,60,0.0327786330356605,51,0.297536450168237,60,0.304027887302166,51,0.25670995116883,60,0.0174591090260052,51,0.263384506353296,60,0.270247470441386,51,0.286380498847615,60,0.0491827446867114,51,0.294706726279167,60,0.30490342206336,51,0.320426172711826,60,0.0858254267061864,51,0.331428895854874,60,0.340456084535618,51,0.0278816513069223,60,-0.150517440415296,51,0.0277361351976684,60,0.0276733844566749,51,0.00826920868918867,60,-0.162860587033533,51,0.00831164038940552,60,0.00855675730152034,51,0.00962714584534452,60,-0.161579555206812,51,0.00959272603074741,60,0.00952993122658079,51,0.0281306499599683,60,-0.140629074832669,51,0.0281208145228084,60,0.0281109561854746
,50,0.279953220099075,61,0.289202066527174,50,0.296776572065318,61,0.304858129945525,50,0.255660994914013,61,0.264467157972545,50,0.262575908347513,61,0.271230277602175,50,0.285307106332374,61,0.296260492134425,50,0.293679268142661,61,0.305955514321548,50,0.319434766955044,61,0.330405352287519,50,0.330471335132847,61,0.341873033936205,50,0.0278903000265399,61,0.0295481700820001,50,0.0277447858226404,61,0.0276729775484726,50,0.00820952954987765,61,0.0103186041319101,50,0.00832606308721629,61,0.00862081911261338,50,0.009610543409405,61,0.0115094897329216,50,0.00958531043414296,61,0.00951675425304581,50,0.0281244834815152,61,0.0302423210585453,50,0.0281331190105689,61,0.0281104461925553
,49,0.279064620440122,62,0.292670767592888,49,0.295951441488223,62,0.305707161158258,49,0.254750699637358,62,0.268619904562376,49,0.261744807067462,62,0.272276137838734,49,0.284293084517656,62,0.30035360042612,49,0.292652787165005,62,0.307101530688234,49,0.318469342981624,62,0.334838954160799,49,0.329514898768483,62,0.343366407610163,49,0.0278648298129832,62,0.0316112325409587,49,0.0277562458816794,62,0.0276868893545772,49,0.00816428116437473,62,0.0125163469211508,49,0.0083329654496463,62,0.00872786614589205,49,0.00957890164211225,62,0.0135537142702378,49,0.00958735846524939,62,0.00951185673664944,49,0.0280907245326297,62,0.0321387520790551,49,0.0281625756681941,62,0.0281153117857374
,48,0.278215276507519,63,0.293081606611684,48,0.295186266765211,63,0.306553175772985,48,0.253850657525952,63,0.269289753104096,48,0.26099626611778,63,0.273347089669934,48,0.28326406072526,63,0.30096303253159,48,0.291683046578682,63,0.308292143142744,48,0.317535559422215,63,0.335665725896796,48,0.328583972727508,63,0.344892922792443,48,0.0278358898047206,63,0.0306611631222142,48,0.0277937185917396,63,0.0277217804293499,48,0.00816112587676783,63,0.0116118536789082,48,0.0083607116338969,63,0.00884024993113954,48,0.00956347796709818,63,0.0124634192350709,48,0.00959977110249479,63,0.00951101392483513,48,0.0280772575489486,63,0.0310275359220877,48,0.028175758484348,63,0.0281052224092205
,47,0.277421714147719,64,0.291881294533062,47,0.294435461426986,64,0.307558344730482,47,0.253014667975731,64,0.268268825184775,47,0.2602367848525,64,0.274318608126365,47,0.282278412707274,64,0.300047783920576,47,0.290678097890224,64,0.309571973573627,47,0.316555389472363,64,0.334799512198838,47,0.327596158285064,64,0.34650124132592,47,0.0278260268461999,64,0.0280259979109146,47,0.0278014813515904,64,0.0277909474499801,47,0.00815865403581009,64,0.00905004834837913,47,0.00835233374372253,64,0.0089066995658437,47,0.00953388627194808,64,0.00981037923693895,47,0.00959333731449294,64,0.00949328147582154,47,0.0280584504338016,64,0.0283720490995722,47,0.0281546288966697,64,0.0281054559956458
