CSV Report,2023-11-09_RNA_melting_H2O.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,1 mM EDTA1_260.00nm_90.0-21.0C,,1 mM EDTA1_260.00nm_21.0-90.0C,,1 mM EDTA1_260.00nm_90.0-21.0C_R1,,1 mM EDTA1_260.00nm_21.0-90.0C_R1,,1 mM EDTA2_260.00nm_90.0-21.0C,,1 mM EDTA2_260.00nm_21.0-90.0C,,1 mM EDTA2_260.00nm_90.0-21.0C_R1,,1 mM EDTA2_260.00nm_21.0-90.0C_R1,,0 mM EDTA1_260.00nm_90.0-21.0C,,0 mM EDTA1_260.00nm_21.0-90.0C,,0 mM EDTA1_260.00nm_90.0-21.0C_R1,,0 mM EDTA1_260.00nm_21.0-90.0C_R1,,0 mM EDTA2_260.00nm_90.0-21.0C,,0 mM EDTA2_260.00nm_21.0-90.0C,,0 mM EDTA2_260.00nm_90.0-21.0C_R1,,0 mM EDTA2_260.00nm_21.0-90.0C_R1,,1 mM EDTA1_400.00nm_90.0-21.0C,,1 mM EDTA1_400.00nm_21.0-90.0C,,1 mM EDTA1_400.00nm_90.0-21.0C_R1,,1 mM EDTA1_400.00nm_21.0-90.0C_R1,,1 mM EDTA2_400.00nm_90.0-21.0C,,1 mM EDTA2_400.00nm_21.0-90.0C,,1 mM EDTA2_400.00nm_90.0-21.0C_R1,,1 mM EDTA2_400.00nm_21.0-90.0C_R1,,0 mM EDTA1_400.00nm_90.0-21.0C,,0 mM EDTA1_400.00nm_21.0-90.0C,,0 mM EDTA1_400.00nm_90.0-21.0C_R1,,0 mM EDTA1_400.00nm_21.0-90.0C_R1,,0 mM EDTA2_400.00nm_90.0-21.0C,,0 mM EDTA2_400.00nm_21.0-90.0C,,0 mM EDTA2_400.00nm_90.0-21.0C_R1,,0 mM EDTA2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),,2023-11-09 10:14:23 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.351945094561105,21,0.325468340240696,90,0.361244133836028,21,0.324634437464129,90,0.30858063846497,21,0.280407938955382,90,0.319983595029122,21,0.28989927841508,90,0.314616122767546,21,0.289067072401528,90,0.309057103382145,21,0.269498868750774,90,0.337656568314602,21,0.309446411749433,90,0.344882962727872,21,0.306220444653222,90,0.0312591554184575,21,0.031178995961063,90,0.0313814150851439,21,0.031304697896564,90,0.00864375983048264,21,0.00849744267437853,90,0.00862287334461252,21,0.00854381516674375,90,0.00479039651407825,21,0.00450066651136784,90,0.00490236798234401,21,0.00455122658039361,90,0.0261410693604717,21,0.0259125791153296,90,0.0261071598847075,21,0.0258805710328313
,89,0.352606755191638,22,0.32570722975557,89,0.361872753584631,22,0.324808620421106,89,0.309360829895516,22,0.280610462631349,89,0.320192028095549,22,0.290071028202195,89,0.315877517409868,22,0.289138424666145,89,0.314969282204035,22,0.269667539356471,89,0.337798039663618,22,0.309560354974964,89,0.345677231606792,22,0.306402136761719,89,0.0312724063179602,22,0.0312067968777489,89,0.0313367370680406,22,0.0313161155155423,89,0.0086335363901506,22,0.00847558510874036,89,0.00859813451682225,22,0.00853121964127875,89,0.0048097837784928,22,0.00450784045781779,89,0.00489461668742645,22,0.00454729424480035,89,0.0261466712871499,22,0.0259199534758704,89,0.0260796795677705,22,0.0259039809220187
,88,0.353718372718661,23,0.32620313637559,88,0.362092701547613,23,0.325265994685867,88,0.309974171607431,23,0.28110316115427,88,0.320545911234427,23,0.29055470289826,88,0.317095356050966,23,0.289507609918296,88,0.31577117195493,23,0.270187109208107,88,0.338417752488021,23,0.310067542254351,88,0.345901440770942,23,0.30700912074054,88,0.0312493180168937,23,0.0312200448952175,88,0.0313741208052994,23,0.0313162096411684,88,0.00862629523550407,23,0.0084944735497948,88,0.00858004288658679,23,0.008531454066211,88,0.00480289517740458,23,0.00450396005404806,88,0.00492599983361557,23,0.00454953402170702,88,0.0261424674855519,23,0.0259298413704794,88,0.02609180196199,23,0.0259020400226748
,87,0.354533931273533,24,0.327077188220941,87,0.362031701824331,24,0.326093300538923,87,0.310164201851043,24,0.28203359900309,87,0.320720377113411,24,0.291413688934896,87,0.317259166423459,24,0.290174679401386,87,0.31640423742436,24,0.271136009948337,87,0.339180665887398,24,0.310945448796718,87,0.345853332909672,24,0.308123612794014,87,0.0312489491842488,24,0.0312527950770022,87,0.0313865364623378,24,0.0313117167349165,87,0.00861036586977901,24,0.00849919893157214,87,0.00854507608326992,24,0.00856455887811456,87,0.0048133334954118,24,0.00451956418219064,87,0.00492302782016878,24,0.00455696766795962,87,0.0261444944214906,24,0.0259383801408077,87,0.0260966696797865,24,0.0259102728369777
,86,0.354898617070089,25,0.327811074373223,86,0.362046379917675,25,0.326927985446365,86,0.310337931734847,25,0.282705362834411,86,0.320712962719933,25,0.292136066916566,86,0.317439229040625,25,0.290725161747399,86,0.31677939768806,25,0.272208722775165,86,0.339851827842907,25,0.311759338977691,86,0.346013943072205,25,0.309390619744444,86,0.0312451781963392,25,0.0312810337577596,86,0.031383758828975,25,0.0313327244462252,86,0.00860258542216352,25,0.00853048241548652,86,0.00854653831835239,25,0.00856098985834236,86,0.00483043405545527,25,0.00453486311104698,86,0.00490051019815849,25,0.00456136567219123,86,0.026187266151267,25,0.0259547331278147,86,0.0260677130014118,25,0.0259225250439427
,85,0.355423492553531,26,0.328517489916196,85,0.36197411294304,26,0.327581314878174,85,0.310295189212032,26,0.283348236363073,85,0.320721037431695,26,0.292819593339914,85,0.317846280855553,26,0.29147311932408,85,0.316784572175314,26,0.273344472673351,85,0.339872146718003,26,0.312708456967549,85,0.346190593254197,26,0.310704409098928,85,0.0312659450662896,26,0.0313100842237684,85,0.0313948002051872,26,0.031328692269469,85,0.008605688751223,26,0.00854069818667606,85,0.00858092989023293,26,0.00857129963936039,85,0.00487360209098493,26,0.00453350091654501,85,0.00489522284954137,26,0.00454059184419942,85,0.02620899573736,26,0.0259688839522405,85,0.026082869022106,26,0.0259149175275884
,84,0.355500682512939,27,0.329406919998293,84,0.357507919459554,27,0.328288314610002,84,0.310391886393813,27,0.284183082394903,84,0.320648804019134,27,0.293660780958607,84,0.318214881446614,27,0.292415523052804,84,0.316772700001799,27,0.274610028965326,84,0.339949610652189,27,0.31375984309561,84,0.346142801346502,27,0.312045033209837,84,0.0312766749646373,27,0.031333036113337,84,0.0313852317280444,27,0.0313484940947443,84,0.00859772004115749,27,0.00853583403230469,84,0.00857223660503419,27,0.00858374327688651,84,0.00489743719309096,27,0.00453715409902313,84,0.00489249340232555,27,0.00455098600988069,84,0.0261939558434061,27,0.025966648033932,84,0.0260778408116395,27,0.0259271318628741
,83,0.355727123445202,28,0.330396576616542,83,0.355132472049065,28,0.329211971408905,83,0.310328106365085,28,0.285171407656853,83,0.320578213006772,28,0.294639072393377,83,0.31832140486141,28,0.293463039684446,83,0.316910601708435,28,0.275945266908823,83,0.340425902874076,28,0.314768364281495,83,0.346005761544775,28,0.313405548626328,83,0.0312694127077175,28,0.0313630259465525,83,0.0313799685319616,28,0.0313690762905574,83,0.00859201376765148,28,0.00855652983199017,83,0.00856190708785149,28,0.00858834609331809,83,0.00488796295703474,28,0.00457693530723798,83,0.00486411676701657,28,0.00456756942456018,83,0.026203060443323,28,0.0259892750293465,83,0.0260806803394231,28,0.0259374380954885
,82,0.355905852133834,29,0.331395972271889,82,0.357305179960033,29,0.330281931603603,82,0.310006896741264,29,0.286166277030634,82,0.320571792831624,29,0.295671827082937,82,0.318227304738789,29,0.294479657441277,82,0.317088859958866,29,0.277260011709093,82,0.340672994774401,29,0.315789948000515,82,0.345987299055711,29,0.314757012975462,82,0.0312710370057383,29,0.0313753670312126,82,0.0314055065444738,29,0.0313783633897887,82,0.00859996229624286,29,0.0085779676403351,82,0.00856960901234387,29,0.00858272091545177,82,0.00488908074839704,29,0.00459066229567944,82,0.00485655734565431,29,0.00456850634707188,82,0.0262145796486532,29,0.026003054908977,82,0.0260767234446139,29,0.0259301433628841
,81,0.356002284467211,30,0.332403192833141,81,0.357559093805493,30,0.331268391675078,81,0.309990937593715,30,0.287109063907831,81,0.320566846936478,30,0.29665983065849,81,0.318295588069797,30,0.295420742027182,81,0.317167710358419,30,0.278545959735857,81,0.340802139059239,30,0.316811260649162,81,0.346091133977885,30,0.31603229429621,81,0.0312609987206673,30,0.0313776155989633,81,0.0314322355758672,30,0.0313840820081518,81,0.00859515571445693,30,0.00857648003913162,81,0.00857133807957655,30,0.00857108398041503,81,0.00494211772290372,30,0.00457809527299783,81,0.00487178806341403,30,0.00455507585254234,81,0.0262102399545903,30,0.0260041409384341,81,0.0260794789440783,30,0.0259364269415971
,80,0.356030799232998,31,0.333413291203147,80,0.356638246305947,31,0.332221581769047,80,0.310069621146745,31,0.288093765754047,80,0.320568503210768,31,0.297660820165713,80,0.318358032911988,31,0.296453377875891,80,0.31703331735591,31,0.279891369878431,80,0.340942664268131,31,0.317839111673197,80,0.346225074002848,31,0.317342591584348,80,0.0312955710822107,31,0.0313823734268798,80,0.0314194114728722,31,0.0313661234505302,80,0.00860026592320866,31,0.00856717400142828,80,0.00856083011280598,31,0.00857116105619879,80,0.00496263320858314,31,0.00458795304069874,80,0.00486261842926445,31,0.00453254949995788,80,0.0262030703816343,31,0.0260203565072746,80,0.0260649907096745,31,0.0259485844800614
,79,0.355847669154071,32,0.334434435730973,79,0.355621355143309,32,0.333183188272678,79,0.310022832989157,32,0.289148802747794,79,0.320596771926843,32,0.298765888098723,79,0.318410203421843,32,0.297542302172126,79,0.316626471782732,32,0.281306759325401,79,0.340928808041204,32,0.318849139461452,79,0.346302772252857,32,0.318585027487452,79,0.0312753099594926,32,0.0313765657556173,79,0.0313801905475906,32,0.0313805843976449,79,0.00860831845071999,32,0.00855721124570313,79,0.00855989235608413,32,0.00857627604390764,79,0.00485587781599274,32,0.00457246697035841,79,0.0048476274604665,32,0.00456183998296631,79,0.0261928241550671,32,0.0260098025766403,79,0.026066274313475,32,0.025967748731786
,78,0.355622802234082,33,0.335540750209349,78,0.355012417439272,33,0.33434028113339,78,0.309961609534159,33,0.290221928360592,78,0.320598767186995,33,0.29987730526646,78,0.318580023555856,33,0.298607242947028,78,0.316069679360692,33,0.282680048608738,78,0.340785094905205,33,0.319868737244977,78,0.346314086047476,33,0.319807435788353,78,0.0312757196398846,33,0.0313889856430365,78,0.0313879491568229,33,0.0313869025031104,78,0.00860377987448926,33,0.00855904486303006,78,0.00856737181250789,33,0.00857000316089419,78,0.00485422983046716,33,0.00455819486205343,78,0.00485071232405651,33,0.00457215491512061,78,0.0262113670239993,33,0.0259987040065207,78,0.0260770420861924,33,0.0259761013876303
,77,0.35523651753011,34,0.336592878486506,77,0.35467452707987,34,0.335444737480494,77,0.309888982218397,34,0.291254224894221,77,0.320516919757572,34,0.300962896453179,77,0.31876173883052,34,0.299676053683743,77,0.315621546851301,34,0.284036286754367,77,0.340671015354835,34,0.320885044690174,77,0.346296981348789,34,0.321004694751646,77,0.0313128727858768,34,0.0313796558156516,77,0.0314349133967792,34,0.0313958170189385,77,0.00861116721330446,34,0.00855974949287128,77,0.00858606560306369,34,0.00857914211606309,77,0.00489474037585736,34,0.00456207538857115,77,0.00485506272810598,34,0.00458184535351348,77,0.0262329320069115,34,0.0260108098187126,77,0.0260852316904673,34,0.025981362181294
,76,0.354884388521894,35,0.337630781490818,76,0.3545067956468,35,0.336443464709907,76,0.309765512229219,35,0.292245357849612,76,0.320364973186894,35,0.302019800986692,76,0.318780968081123,35,0.300791347127499,76,0.31553547390658,35,0.285358080983956,76,0.34063845933052,35,0.321965249843356,76,0.346247823717948,35,0.322135636304095,76,0.0313232016230352,35,0.0313448866897845,76,0.0314628142258508,35,0.0313905678458007,76,0.00860614537360323,35,0.00854302121967874,76,0.00859384315310268,35,0.00859022075756434,76,0.00487349287852733,35,0.00455404354198241,76,0.00486708703100168,35,0.00459078272896042,76,0.0262122501475792,35,0.0259991962656627,76,0.0260938230862597,35,0.0259878042804489
,75,0.354739487420764,36,0.338659171100875,75,0.354432467196751,36,0.337499663301283,75,0.309680345903891,36,0.293232646705412,75,0.320219137694506,36,0.303036570185715,75,0.318787669706232,36,0.301969134472166,75,0.315653069310429,36,0.286652698736409,75,0.34073990985404,36,0.323063699783537,75,0.346159095000953,36,0.323228651866184,75,0.0313023049390408,36,0.0313717809971259,75,0.0314362056430739,36,0.0313842766453877,75,0.00859878134378527,36,0.00853901445764879,75,0.00857589253572013,36,0.00858541581978855,75,0.00485907614386088,36,0.0045696595509226,75,0.00484840286552939,36,0.00459773976337188,75,0.0261970082313251,36,0.0259985726992403,75,0.0260612558286139,36,0.0259933122171567
,74,0.354701082166785,37,0.339663060513028,74,0.354331054268202,37,0.338416896993731,74,0.309605589170155,37,0.294145267031701,74,0.320080335951148,37,0.303986537734278,74,0.318798093822757,37,0.303106380382898,74,0.315773536225154,37,0.287862071830444,74,0.34083825491786,37,0.324145187488102,74,0.346048905082778,37,0.324288039011417,74,0.0313065202754622,37,0.0313834131847264,74,0.0313970630356118,37,0.0313775406485041,74,0.00861356603270253,37,0.00853536432473647,74,0.00858612832430156,37,0.0085781243551877,74,0.00485560095622381,37,0.00458011342622792,74,0.00481098322672863,37,0.00460314912604596,74,0.0262054471502795,37,0.0260179596506967,74,0.026032933206264,37,0.0260132829202558
,73,0.354638376741667,38,0.34051294453735,73,0.354212821702792,38,0.339276175803912,73,0.309510840222478,38,0.294988491723784,73,0.319889100923695,38,0.304895356646405,73,0.318800718694101,38,0.304190287042458,73,0.315800645708782,38,0.289029542286286,73,0.340845181822863,38,0.325231484907837,73,0.345928617797809,38,0.325335002913332,73,0.0313237948665342,38,0.0313676664012814,73,0.0314084625318372,38,0.031355297201296,73,0.00862836612759388,38,0.00856177332158937,73,0.00859946107274958,38,0.00856346307255017,73,0.0048400829131868,38,0.00457908002335623,73,0.00481138257270436,38,0.00456752530943321,73,0.0262039320711246,38,0.0260168153179523,73,0.0260565427823971,38,0.0259776519932144
