CSV Report,2023-11-09_RNA_melting_H2O.csv
,72,0.354521719539305,39,0.341339273947324,72,0.354083757449679,39,0.340150908625926,72,0.309410861191361,39,0.295808319837864,72,0.319639547562195,39,0.305737562833711,72,0.318769554222119,39,0.305270856636548,72,0.315715625808847,39,0.290204414114775,72,0.340775166360879,39,0.326308257925794,72,0.345783802196155,39,0.326393101737598,72,0.0313006808714308,39,0.0313484085574165,72,0.0314347435026617,39,0.0313255364465066,72,0.00861524872413797,39,0.00858101632521668,72,0.00860230697296254,39,0.00855957975768841,72,0.00482137394705512,39,0.00458277236964458,72,0.00481971295658448,39,0.00454649304462586,72,0.0262039824604222,39,0.0259929233202041,72,0.0260568546528752,39,0.0259556645653586
,71,0.354317382435771,40,0.342132517126479,71,0.353973796815181,40,0.341009661321555,71,0.309236506974513,40,0.296577882558949,71,0.319405630924758,40,0.306547801126184,71,0.318706350523882,40,0.30635746762645,71,0.315622021746559,40,0.291381188790675,71,0.340645863326154,40,0.327403012000918,71,0.345660691321887,40,0.327467203645075,71,0.031334237119762,40,0.0313398476319102,71,0.0314148012048497,40,0.0313354902380721,71,0.00859959609412906,40,0.00856128437125606,71,0.00859790285175117,40,0.00856046283023244,71,0.00482185820880769,40,0.004579067841516,71,0.00479118956781761,40,0.00457936732164655,71,0.0262022419653706,40,0.0259839387501875,71,0.0260296245113257,40,0.0259719092525994
,70,0.354206932222812,41,0.342858107656267,70,0.35382349200183,41,0.341775863697066,70,0.308952770166606,41,0.297270942550662,70,0.319253023667507,41,0.307313509299446,70,0.318658084911289,41,0.307346949183293,70,0.315466932994818,41,0.292493329990305,70,0.340516563118315,41,0.32847912668514,70,0.345558599077713,41,0.328529029006825,70,0.0313115488792587,41,0.0313405257565124,70,0.0313968118858323,41,0.0313254021193925,70,0.00860380073938223,41,0.00855236813906518,70,0.0085689358840062,41,0.00855307082704326,70,0.00482340805578409,41,0.00457747489517801,70,0.00478055716648972,41,0.00457048865873345,70,0.0261771452357985,41,0.0259957771379047,70,0.0260237998125599,41,0.0259438243742876
,69,0.354084744268329,42,0.343544341351649,69,0.353600049500733,42,0.342456988685856,69,0.308724681459276,42,0.297919633517867,69,0.319040329278985,42,0.308015085257789,69,0.318596312263672,42,0.308312725385991,69,0.315248499374424,42,0.293561942796073,69,0.340392611383474,42,0.329516536981824,69,0.345409985747123,42,0.329549600551294,69,0.0313138732346918,42,0.0313146349211995,69,0.0314123691955892,42,0.0313207980011731,69,0.00860942352374556,42,0.00854613240332989,69,0.0085621316321556,42,0.00857469681431829,69,0.00483777995921264,42,0.00456529364540786,69,0.00477457224446248,42,0.0045756748016567,69,0.026177242970925,42,0.0259876950272644,69,0.0260256286032512,42,0.0259657149772808
,68,0.353945778401607,43,0.344202200358785,68,0.353363954542284,43,0.343133467274833,68,0.308513250679919,43,0.298517268404517,68,0.318744753728855,43,0.308632644305282,68,0.318513577164967,43,0.309206222395052,68,0.314982139547321,43,0.294609991634335,68,0.34027047449769,43,0.330490484576877,68,0.345277410171791,43,0.33062335189242,68,0.0313275825001584,43,0.0312978075277027,68,0.0314345162737307,43,0.0313720515629525,68,0.00862423915593852,43,0.00854924831275919,68,0.0085743511710824,43,0.00858871915125095,68,0.00483404895731136,43,0.00456688047016398,68,0.00478200965754627,43,0.00463696988157905,68,0.0261798476249955,43,0.0259820280750248,68,0.0260307784364863,43,0.0260116034081132
,67,0.353810356781719,44,0.344812216337342,67,0.353127534321395,44,0.343781851795759,67,0.308325348488235,44,0.299088618184553,67,0.318446159757776,44,0.309255319800502,67,0.318417503879084,44,0.310055585729824,67,0.314657181775166,44,0.295717294413871,67,0.340143342489846,44,0.331437944266861,67,0.345129275324008,44,0.331688745562221,67,0.0313164930971121,44,0.0313248629004253,67,0.0314363666577485,44,0.0313757284485466,67,0.00861362432397858,44,0.00856518781461261,67,0.00858051856101689,44,0.00857669019767195,67,0.0048228061341188,44,0.00459767901199822,67,0.00479188846132859,44,0.00464262653295391,67,0.0261698150568415,44,0.0260005026411717,67,0.0260181611196619,44,0.0260068761616878
,66,0.353594972793556,45,0.345397719731304,66,0.352862450381221,45,0.344396990377584,66,0.308145278175521,45,0.299651956006541,66,0.31816764555264,45,0.309823528348463,66,0.318297604207048,45,0.310867099172385,66,0.314317231155753,45,0.296735431134893,66,0.340040754108639,45,0.332280276834629,66,0.344961560273266,45,0.332749444857726,66,0.0313129931152458,45,0.0313222467118876,66,0.0314056752816267,45,0.0313389701606056,66,0.00861663586153135,45,0.00857121482265956,66,0.00857341705414248,45,0.00856636741701875,66,0.00482229858105608,45,0.00461742839609993,66,0.00477456285261619,45,0.00462870312302042,66,0.026163255225366,45,0.0260006620342429,66,0.0259929943903715,45,0.0259955880730703
,65,0.353465303075969,46,0.345962367481403,65,0.352598555858782,46,0.344953058372839,65,0.307892040867451,46,0.300183687837533,65,0.31790320811774,46,0.310396758117379,65,0.318163167258756,46,0.311556631843578,65,0.31401350113161,46,0.297785933576559,65,0.339920800181752,46,0.333098379943304,65,0.344764762408923,46,0.333795296510647,65,0.031293411923949,46,0.0313134941386825,65,0.0313959158843372,46,0.0313016228825384,65,0.00862510931908871,46,0.00854348091770187,65,0.00857464245791158,46,0.00856986428848997,65,0.00481377142811903,46,0.00462985063677657,65,0.00474664836350665,46,0.0046130898300357,65,0.0261703336831445,46,0.0260024830240248,65,0.0259878756833071,46,0.0259722982943332
,64,0.353371093680986,47,0.346515646192641,64,0.352323915628137,47,0.345572108066921,64,0.307608263212941,47,0.300711101282865,64,0.317607610937163,47,0.310910011823145,64,0.318008552615437,47,0.312228118437085,64,0.313715522188851,47,0.298869287398936,64,0.339750758854424,47,0.333825930412248,64,0.344476951322675,47,0.334815096719283,64,0.031334957474395,47,0.0313289437834117,64,0.0313863116420193,47,0.031325918406906,64,0.00863481609062825,47,0.00854591067982032,64,0.00856824245269661,47,0.00859168869715517,64,0.00481096941965,47,0.00465179745138916,64,0.00471420544860573,47,0.00464072502365665,64,0.0261737139076922,47,0.0260129328912215,64,0.025984282207242,47,0.0260137379089272
,63,0.352954067421368,48,0.34711589075102,63,0.352045996914958,48,0.346100930230472,63,0.307209882560236,48,0.301240550658892,63,0.317281740240464,48,0.311421772011115,63,0.317848001728961,48,0.312883202726703,63,0.313395306907926,48,0.299915323197852,63,0.339515833019849,48,0.334554764115679,63,0.344161693229165,48,0.33581190177931,63,0.0313246349626466,48,0.0313354737875598,63,0.031415326358985,48,0.0313397703472027,63,0.00865481394143108,48,0.00855749047028658,63,0.00857665568888783,48,0.0085817766107286,63,0.00480456038680514,48,0.00467011439037049,63,0.00473282394480526,48,0.00466094058615436,63,0.026169825949757,48,0.0260157760760411,63,0.0259941670763604,48,0.0260229394870172
,62,0.352744261285882,49,0.347651615843156,62,0.351711198946613,49,0.346645449563656,62,0.306853332405083,49,0.301749126289621,62,0.316984873934065,49,0.31193762324522,62,0.317688236291337,49,0.31344202844273,62,0.312992386724162,49,0.300984239822787,62,0.339273033873632,49,0.335152745415289,62,0.343803318083796,49,0.336729627239535,62,0.031329093616493,49,0.0312911282568932,62,0.0314210622365013,49,0.0313033848077141,62,0.00864308669677863,49,0.00854726587966519,62,0.0085567310498035,49,0.00857456605680748,62,0.00483371049156343,49,0.00463919721089597,62,0.00473809586525031,49,0.00461958006718731,62,0.026180787143374,49,0.0260057875973418,62,0.0259982304441143,49,0.0259771172596865
,61,0.352579750146697,50,0.348167493267714,61,0.351346349138847,50,0.347242773137657,61,0.30665416774265,50,0.30224779383536,61,0.316666857442851,50,0.312437712075165,61,0.317534507179036,50,0.313931142421589,61,0.312499579955905,50,0.302119634716272,61,0.339103546419321,50,0.335729178727506,61,0.34343030723565,50,0.337640719624884,61,0.0313714426162262,50,0.0312729706081366,61,0.031422824308552,50,0.0312923013302761,61,0.00864076592091785,50,0.0085583418544118,61,0.00854706490489354,50,0.0085813090633357,61,0.00482921362003843,50,0.0046299739870083,61,0.00470241915228618,50,0.00461932674772207,61,0.0261798691439538,50,0.0260169544365642,61,0.0260011747625754,50,0.0259840333107894
,60,0.352277166109487,51,0.348749989962448,60,0.351040347134432,51,0.347827045689338,60,0.306316494656298,51,0.302774748626452,60,0.316332458284189,51,0.312963248573206,60,0.3172714592019,51,0.314474517110092,60,0.312109662424761,51,0.303245735985312,60,0.338961225177465,51,0.33627612404648,60,0.343108769094024,51,0.338494906069041,60,0.0313391217282634,51,0.0312997409255104,60,0.0314229323359322,51,0.0312829929169639,60,0.0086489889624748,51,0.00855119520044313,60,0.00857474487657997,51,0.0085629025480634,60,0.00479063384696103,51,0.00465379913847144,60,0.00469735693452889,51,0.00464129051991831,60,0.026162315993948,51,0.0260369265091025,60,0.0259952547121252,51,0.0259764480023146
,59,0.351891920252352,52,0.349316800575585,59,0.35070050073726,52,0.348405218254147,59,0.305952927399654,52,0.303342598320293,59,0.315997753930808,52,0.313495795119248,59,0.317030478385866,52,0.314959383150666,59,0.311665102815481,52,0.304360964169673,59,0.338779330816183,52,0.336778776587828,59,0.342787632766061,52,0.339285978853787,59,0.0313031286766574,52,0.0312424241136762,59,0.0313813103272905,52,0.0312818035574641,59,0.00866562609112883,52,0.00854762030641829,59,0.00858754427917645,52,0.0085682454854601,59,0.00479326708362931,52,0.00463214262247459,59,0.00470384486917892,52,0.00466320075227627,59,0.0261586135232883,52,0.0260184277616383,59,0.0259944664070538,52,0.0259899361053785
,58,0.351464830678378,53,0.349860980421158,58,0.35027244376881,53,0.349010515501132,58,0.305591786682343,53,0.303976713661027,58,0.315632964919075,53,0.314074960052854,58,0.316895078352846,53,0.315429165145243,58,0.311023080798293,53,0.305435931340027,58,0.338538487278035,53,0.337236530991927,58,0.342434411210189,53,0.340032845097011,58,0.0312418419337713,53,0.0312303190814662,58,0.0313581145751206,53,0.0312760346468924,58,0.00866580468604265,53,0.00854712102296118,58,0.00859423219200718,53,0.00858076599833473,58,0.00480856153398338,53,0.00462631889028674,58,0.004715812834965,53,0.00465003432155306,58,0.0261616255556521,53,0.0260143062735604,58,0.0260007074814462,53,0.0259972545175106
,57,0.350975538088599,54,0.350425423613106,57,0.349849047544182,54,0.349593940929651,57,0.305201489485157,54,0.304465119491889,57,0.315277811788478,54,0.314639272257783,57,0.31660751043846,54,0.315839529114505,57,0.310252362945935,54,0.306530111829995,57,0.338265625159213,54,0.337653460254068,57,0.342060473399559,54,0.340727643808405,57,0.0311943953124887,54,0.0312604997410985,57,0.0313235680919013,54,0.031288374387137,57,0.00866340473995317,54,0.00853806964105456,57,0.0085963222799253,54,0.00856850733111247,57,0.00480316927547641,54,0.0046461022723638,57,0.00472276148436826,54,0.00463399800634944,57,0.0261692429623553,54,0.0260249134425827,57,0.0260011649305059,54,0.0259839674509501
,56,0.35049788146967,55,0.350910199500022,56,0.349421101288118,55,0.350181673704189,56,0.304815401476739,55,0.30492313811873,56,0.31488511910873,55,0.315180538910225,56,0.316171510982982,55,0.316279063203269,56,0.309399285904805,55,0.30757564346045,56,0.337988114551762,55,0.338052420950461,56,0.341650350890874,55,0.341341568129321,56,0.0311759003170916,55,0.0312432690340441,56,0.0313216078178548,55,0.0312466919420526,56,0.00868022352351427,55,0.00854513878734797,56,0.00857363141142934,55,0.00855625193418838,56,0.00481010309993914,55,0.00465392083391555,56,0.00474467154409951,55,0.00460815487735185,56,0.0261844577189175,55,0.0260311156697545,56,0.0260286496838489,55,0.0259626478743252
,55,0.350092736969805,56,0.351468609055114,55,0.348975573278511,56,0.350713431315335,55,0.304449091592392,56,0.305476217314241,55,0.314494074848634,56,0.315725420007587,55,0.315796996598784,56,0.316700429351769,55,0.308565160598224,56,0.308504320631174,55,0.337685717889383,56,0.338417888725039,55,0.341212374387042,56,0.341940093693538,55,0.0311335870616446,56,0.0312191683084947,55,0.031282792795326,56,0.0312237056177054,55,0.00866087993676879,56,0.00855234450218939,55,0.00856812750959262,56,0.00855254100582276,55,0.00477949135297927,56,0.00464988804465357,55,0.004742402404018,56,0.00462023594063393,55,0.0261687154137379,56,0.0260283071601219,55,0.0260195031058409,56,0.0259717158133525
,54,0.349684783181382,57,0.352093043483841,54,0.348586602474597,57,0.35127825542348,54,0.304082934323389,57,0.306022278177757,54,0.314122185508804,57,0.316297966617437,54,0.315484613782194,57,0.31707343916223,54,0.307769931874526,57,0.309485858161263,54,0.337357472952803,57,0.338776677551504,54,0.340777247599731,57,0.342510677673365,54,0.0311046172948169,57,0.0312311095130729,54,0.0312531892383988,57,0.0312361069817989,54,0.00863004540282265,57,0.00856303944219721,54,0.00857065402392262,57,0.00857087869651974,54,0.00478022252266777,57,0.00467195942228384,54,0.00471724367627866,57,0.00466669110876443,54,0.0261535959867887,57,0.0260418721195138,54,0.0260048595959977,57,0.0260011238272821
,53,0.349188077158623,58,0.352430734912168,53,0.34818734231972,58,0.351817275178197,53,0.303686770639944,58,0.306556800090254,53,0.313718922237463,58,0.316899187275514,53,0.315203892746285,58,0.317379320484959,53,0.306914729031317,58,0.310397290104928,53,0.337036906542048,58,0.339081133536507,53,0.34026069521457,58,0.343043522221448,53,0.0311353169225557,58,0.0312441917365907,53,0.0312306052708842,58,0.0312357069044549,53,0.00863010854964962,58,0.00854721436835016,53,0.00856445062791353,58,0.00858566604084406,53,0.00482347302895927,58,0.00468179319450688,53,0.00470238189560905,58,0.0046843360159578,53,0.0261529803535921,58,0.0260417594216473,53,0.0259769559586944,58,0.0260090653567592
,52,0.348760842708976,59,0.352970263047126,52,0.347808137970507,59,0.352247299678448,52,0.303298645095214,59,0.307128346960872,52,0.31331468804221,59,0.317487401423091,52,0.314915099533199,59,0.317734835272411,52,0.306040212115668,59,0.311210519328084,52,0.33669903162776,59,0.339429270160475,52,0.339723605283799,59,0.343501369562104,52,0.0311463238738761,59,0.0312000591228586,52,0.0312346027550551,59,0.0312089417622381,52,0.00861856369613953,59,0.00856127894791517,52,0.00856627494198326,59,0.00856741590783661,52,0.00479321068006,59,0.0046778509962071,52,0.00470415282909362,59,0.00466733600223595,52,0.0261496471751451,59,0.0260359967036983,52,0.0259848112349621,59,0.025995724226601
,51,0.348356368798676,60,0.353508222534047,51,0.347441073631135,60,0.352693798988479,51,0.302875485307852,60,0.3076496332039,51,0.312896017102083,60,0.318061542684562,51,0.314594904833443,60,0.318076957246141,51,0.30514951295877,60,0.311917434040529,51,0.336317298037806,60,0.339745124371779,51,0.339135135067819,60,0.343939437509913,51,0.0311135738851115,60,0.031193082103394,51,0.0312936678232236,60,0.0312023429798547,51,0.00859397412303583,60,0.00855836402454262,51,0.00856331399886841,60,0.00855930021664105,51,0.00475435545842765,60,0.00469950468853211,51,0.00473437471178937,60,0.00467067769486047,51,0.0261329821920544,60,0.0260361277841547,51,0.0259929548918964,60,0.0259865642915421
,50,0.347952884960344,61,0.353917179529989,50,0.347056895388665,61,0.353164827614358,50,0.302479602264138,61,0.308134902695121,50,0.312467363662563,61,0.318613700959025,50,0.314267338571097,61,0.318346249771048,50,0.304213385269043,61,0.312586513035045,50,0.335924263732959,61,0.340027791769652,50,0.338526698651101,61,0.344363698489727,50,0.0311453177505965,61,0.0311846640621711,50,0.0313300448569613,61,0.0312128844185104,50,0.00858098761784244,61,0.00856246704084651,50,0.00857325217143161,61,0.0085480998670107,50,0.00475233054027793,61,0.00467388145585777,50,0.00475956874618723,61,0.0046701274332068,50,0.026120194256253,61,0.0260295734035218,50,0.0260186579543275,61,0.0259814419137582
,49,0.347503722484501,62,0.354376829223926,49,0.346629117754926,62,0.353665495072717,49,0.302082154554955,62,0.308616661596678,49,0.3120346819696,62,0.319133472919266,49,0.31389438770185,62,0.318599615318382,49,0.303223490290856,62,0.313179437899541,49,0.335532499342112,62,0.340318380189074,49,0.337832650209674,62,0.344768989459526,49,0.0311374599135039,62,0.0312354647315787,49,0.0313235766534549,62,0.0312745930118621,49,0.00858753764911097,62,0.00858955543621341,49,0.00857840423704678,62,0.00856547964740605,49,0.00475290170015725,62,0.00469650928085222,49,0.00475610488949247,62,0.00469375490689921,49,0.0261372961105485,62,0.0260496570154888,49,0.0260132393624904,62,0.0260157313084517
,48,0.347035341405469,63,0.354855441881084,48,0.346203460003018,63,0.354181698708382,48,0.301642612234736,63,0.309062938741175,48,0.311595868875351,63,0.319600804301805,48,0.313489631977264,63,0.31881638665366,48,0.302214617780514,63,0.313723762234564,48,0.335085395201986,63,0.340604881672699,48,0.337117227774657,63,0.345180528045848,48,0.0311513614259492,63,0.0313378467031531,48,0.0313047709147987,63,0.0313281424949047,48,0.00859223407347685,63,0.00859341177520145,48,0.00857808341149316,63,0.00859195532783663,48,0.00476055158289748,63,0.00473788585536264,48,0.00472976084642011,63,0.00470359337003361,48,0.0261243519284833,63,0.0260783229577966,48,0.0259899308822382,63,0.0259997803507706
,47,0.346583319673783,64,0.355351995949456,47,0.34578679707492,64,0.354626651444047,47,0.301214200497707,64,0.309522367731366,47,0.311136237267829,64,0.320039222170126,47,0.313064566414832,64,0.319063399099769,47,0.301214729859436,64,0.314165782122808,47,0.334618122344878,64,0.340884465289076,47,0.336343474067389,64,0.34555694101767,47,0.0311538256201328,64,0.0313821583132791,47,0.0313252187295375,64,0.0313732486690968,47,0.00858800133817083,64,0.00862011014782787,47,0.00860171916402645,64,0.00861993637430433,47,0.00473834183760704,64,0.00471609144132919,47,0.00473242691221947,64,0.00467184208363703,47,0.0260981088033907,64,0.0260684758968045,47,0.0260078123302367,64,0.0259931828585773
