CSV Report,2023-11-09_RNA_melting_H2O.csv
,46,0.346161554343653,65,0.355827761225724,46,0.34534331572584,65,0.354956942265117,46,0.300772666579518,65,0.309947171043889,46,0.310662374125001,65,0.320465618578717,46,0.312614398676382,65,0.319277535765681,46,0.3001739208026,65,0.314596977069909,46,0.334115659342504,65,0.341145869640216,46,0.335501567765369,65,0.345894260731632,46,0.0311519209845073,65,0.0313690451474905,46,0.0313190801617293,65,0.0313660258321849,46,0.00859325937082348,65,0.00864091116735504,46,0.0085845477047799,65,0.00862351046953999,46,0.00472645141090443,65,0.00472067706385237,46,0.00471140303775,65,0.00466679678777176,46,0.0260975990149934,65,0.0260703497845673,46,0.0260030913143056,65,0.0259807697260584
,45,0.345684594831057,66,0.356236479731965,45,0.344897150125514,66,0.35524779897619,45,0.30031501487506,66,0.310315985448596,45,0.31018008085464,66,0.320856795448402,45,0.312135042584702,66,0.319456772954411,45,0.299139416776424,66,0.314992698770756,45,0.333583739601911,66,0.341406401769977,45,0.334641222689757,66,0.346189335191222,45,0.0311338870942709,66,0.0313550064278379,45,0.0313260084834826,66,0.0313821166793549,45,0.00858648550907089,66,0.00863764685881585,45,0.0085777975442446,66,0.00863158785342829,45,0.00470430775588134,66,0.00472463744060713,45,0.00469424407747237,66,0.00470489988112662,45,0.026078520880129,66,0.0260677930536696,45,0.0259786144708165,66,0.0259916056612731
,44,0.345151090028583,67,0.35657447903134,44,0.344380219640146,67,0.355529453355996,44,0.299843914440984,67,0.310622162723925,44,0.309688240670904,67,0.321205791531838,44,0.311577300974237,67,0.319650174381201,44,0.298050820546263,67,0.315529941526517,44,0.332971197462488,67,0.341688219688579,44,0.33369681575218,67,0.346509294596173,44,0.0311121462169811,67,0.0313501336366558,44,0.031337437754237,67,0.0314065654899387,44,0.00857417707860605,67,0.00864934619067749,44,0.00857884389965213,67,0.00862771464930541,44,0.0046891839753868,67,0.00471919080242775,44,0.00470004224289248,67,0.0047435961194138,44,0.0260891637414628,67,0.0260573002350375,44,0.025972007149069,67,0.0260343054521641
,43,0.344639204600655,68,0.356952663085056,43,0.343853899824071,68,0.355795942241574,43,0.299377390405987,68,0.310983577895681,43,0.309167539807971,68,0.321541186324009,43,0.310986939486952,68,0.319829675955302,43,0.29700373122795,68,0.31602011025696,43,0.332314358604685,68,0.341952965445047,43,0.332748150776393,68,0.346839849649122,43,0.0311481364856336,68,0.0313633221451627,43,0.0313501193226474,68,0.0314059178905301,43,0.00858985196370243,68,0.00866160658054507,43,0.00859744963696734,68,0.00863804675755603,43,0.00469878289158546,68,0.00474728970788285,43,0.00469928467782621,68,0.00474749238999151,43,0.0260771576262924,68,0.0260592510163786,43,0.0259831323644504,68,0.0260289094178895
,42,0.344107339588791,69,0.357246212206042,42,0.343348606887312,69,0.35606424931355,42,0.298867916147905,69,0.31185525720819,42,0.308657308796864,69,0.321900417789237,42,0.310340865679764,69,0.319991742701334,42,0.296019048203855,69,0.31601797770607,42,0.331603462794947,69,0.342207125101765,42,0.331793207563491,69,0.347205354235957,42,0.031114821543065,69,0.0313766945928333,42,0.0313488331925472,69,0.0313805367731848,42,0.00859402471501912,69,0.00866168555486082,42,0.00861667753467084,69,0.00866347214675646,42,0.00469799133657976,69,0.00476841168329569,42,0.00469633707189646,69,0.00474915984075845,42,0.0260504344438019,69,0.0260548572203733,42,0.0259792288218741,69,0.0259956438271318
,41,0.343528939399215,70,0.357488236473004,41,0.342776843656675,70,0.356370895751936,41,0.298296648464819,70,0.312407277172295,41,0.308095996676085,70,0.322268687995707,41,0.309622373677133,70,0.320604930786502,41,0.294981755250599,70,0.316429540912097,41,0.33082298360741,70,0.342426616650258,41,0.330818966695324,70,0.347611292623987,41,0.0311091465452284,70,0.0313399308593821,41,0.0313568057356182,70,0.0313862729603373,41,0.00858769908589546,70,0.00865683367539621,41,0.00861096514000418,70,0.00864182167552291,41,0.00469505695600681,70,0.00475591371842265,41,0.0047025099058174,70,0.00476765268017025,41,0.02605712803644,70,0.0260504458298147,41,0.0259816020227334,70,0.0259936726753842
,40,0.34292173449958,71,0.357682088364395,40,0.342185170067338,71,0.356601554148971,40,0.2977035694944,71,0.312393771340973,40,0.307516236005008,71,0.322621197955722,40,0.308873859780709,71,0.320812304564592,40,0.293950142349702,71,0.316976705942323,40,0.330016094007985,71,0.342651132291989,40,0.329804177141555,71,0.347985539636327,40,0.0311285315518163,71,0.0313553577081423,40,0.0313893379217259,71,0.0313963885428124,40,0.00859319867665888,71,0.00863517750434968,40,0.00860378204524895,71,0.00864116100225554,40,0.00466469315827365,71,0.00476065046923509,40,0.00468989118442845,71,0.0047644962845341,40,0.0260449415728268,71,0.0260579062899221,40,0.0259927900060509,71,0.02602189921592
,39,0.342307241661385,72,0.357793749370828,39,0.341582411548031,72,0.355987387136435,39,0.297105690896247,72,0.312795306029188,39,0.306869038924628,72,0.322272023855264,39,0.308068398953078,72,0.320271300196896,39,0.292949316471664,72,0.316751468094294,39,0.329137674359108,72,0.342873119249422,39,0.328804379043239,72,0.347601886405513,39,0.0311018774106182,72,0.0313945233874978,39,0.0314238387375606,72,0.0313543152223778,39,0.00857743056571537,72,0.00862745602615099,39,0.00862625783965992,72,0.00860611705727968,39,0.00465733434508598,72,0.00477625050652979,39,0.00471916198199213,72,0.00471659675622926,39,0.0260332337070961,72,0.026076327036313,39,0.0260308756329048,72,0.0260113420919926
,38,0.341620540025839,73,0.357904795673708,38,0.340939632994233,73,0.354684833769179,38,0.296469960747314,73,0.313186470226401,38,0.306209566927193,73,0.321378404484576,38,0.307195328866631,73,0.320135226031747,38,0.291943875420747,73,0.315960640027494,38,0.328214202974469,73,0.343059560493581,38,0.327844391205781,73,0.346739777856457,38,0.0311176105122682,73,0.0313700445648823,38,0.0313963487951818,73,0.0313381327509509,38,0.00856537301934451,73,0.00865208159460297,38,0.0086225905855442,73,0.00860571887603472,38,0.00466121667153215,73,0.00476561162612512,38,0.00470747297547078,73,0.00470520461182536,38,0.0260321805423189,73,0.02607340470306,38,0.0260153683529551,73,0.0259934646871583
,37,0.340916156254759,74,0.358042093543983,37,0.340200019032343,74,0.354419295941653,37,0.295790929419311,74,0.31356208189892,37,0.305508743629014,74,0.321537799523262,37,0.30628708302899,74,0.320272112937866,37,0.290880306974387,74,0.316151591504478,37,0.327251739407266,74,0.34326837790596,37,0.326841668352783,74,0.346943808013939,37,0.0311264781054241,74,0.031357631726693,37,0.0313952007476731,74,0.0313620508883806,37,0.00857216646082043,74,0.00865176186073647,37,0.00861560210740638,74,0.00862332893280618,37,0.00464375086120368,74,0.00477784956483438,37,0.00469300443248263,74,0.00472569949535838,37,0.026013075445142,74,0.0260651037279904,37,0.0260046864700901,74,0.0260168022803314
,36,0.340126416018141,75,0.358306125667963,36,0.339412897923885,75,0.354391536365054,36,0.295028822827598,75,0.313923499831834,36,0.304767734336566,75,0.321870477408029,36,0.305301261385436,75,0.320613268697305,36,0.289789475921678,75,0.316391563936056,36,0.326236535867792,75,0.343531692545661,36,0.325855149843729,75,0.347224437243335,36,0.0311081529442535,75,0.0313728751922128,36,0.0313878998881748,75,0.0313352465736665,36,0.00857176120629778,75,0.0086372756390845,36,0.0086298185282559,75,0.00861603357560378,36,0.00461894347609352,75,0.00481254078953339,36,0.00469082220629319,75,0.00471485338997746,36,0.0259931917836934,75,0.0260832390166711,36,0.0260012756537565,75,0.0260023788179989
,35,0.339307603244731,76,0.358575192218969,35,0.338554514726522,76,0.354551594866112,35,0.294193183552647,76,0.314294427990126,35,0.303911338342744,76,0.322264920667109,35,0.304260856127698,76,0.320979843068218,35,0.288621745134471,76,0.316673145934432,35,0.325168404103372,76,0.343732493027492,35,0.324836123809839,76,0.347547828679715,35,0.0310848902655157,76,0.03136395925172,35,0.0313746344317098,76,0.0313355164013038,35,0.00856286962540269,76,0.00864578618958363,35,0.00861586389489337,76,0.00862249731453098,35,0.00462148305809074,76,0.00480191941990261,35,0.00463656099944912,76,0.0047287821606973,35,0.0260103955874096,76,0.0260806564476155,35,0.0259662644257022,76,0.0259949845661408
,34,0.338380804464353,77,0.358768117655558,34,0.33767021020134,77,0.354771022562652,34,0.293319599243603,77,0.314716644612737,34,0.303021935207823,77,0.32257005912728,34,0.30318862209332,77,0.32121109650411,34,0.287473703536807,77,0.316928281627594,34,0.324129816249647,77,0.343917722551025,34,0.323848780238681,77,0.347840569727209,34,0.0311109991102092,77,0.031346354036578,34,0.0313859027254495,77,0.0313660016456548,34,0.00855873599011288,77,0.0086527342969119,34,0.00862251650958449,77,0.0086227953195508,34,0.00465144893859705,77,0.00477100410610544,34,0.00463927752526459,77,0.00475304322207883,34,0.0260131639565195,77,0.0260720768277139,34,0.0259757098104783,77,0.0260087735916661
,33,0.337440560865964,78,0.358948343522982,33,0.336713646548977,78,0.354965079806804,33,0.292402461135161,78,0.315159239543339,33,0.302075873486794,78,0.322831950844232,33,0.302109950484784,78,0.321366309455561,33,0.28624062356882,78,0.317123863353305,33,0.32312823242132,78,0.344128101160654,33,0.322821664364491,78,0.348074770953287,33,0.0311019966384666,78,0.0313377189148177,33,0.031417832491769,78,0.0313629240262999,33,0.00855230770724029,78,0.00862886648907061,33,0.00863991462060701,78,0.00860319597196409,33,0.0046247865093065,78,0.00478718836567687,33,0.00466746200618995,78,0.00477043684612834,33,0.0260017712701008,78,0.0260801516826326,33,0.0259896413943125,78,0.026013269180764
,32,0.336452998218582,79,0.359156286990897,32,0.335734230172461,79,0.355179899718466,32,0.291495665505591,79,0.315536188622358,32,0.301089221457329,79,0.323102518907796,32,0.301110215987869,79,0.321548300829775,32,0.285013582113765,79,0.317352028064637,32,0.322105698481756,79,0.344095121683807,32,0.321798849731636,79,0.348375184167842,32,0.031092994195572,79,0.0313438464552896,32,0.0313869576391461,79,0.0313754302048071,32,0.00855722964718773,79,0.00863577290040354,32,0.00863256395967548,79,0.00862252750225367,32,0.00460673575929963,79,0.00479731052972336,32,0.00465817065639895,79,0.00480266196904796,32,0.0260005540567901,79,0.0260983060571958,32,0.025964282553044,79,0.0260189839754033
,31,0.335426657719986,80,0.35938858040546,31,0.334671167913973,80,0.355506587124732,31,0.29047072107376,80,0.315875875159189,31,0.30004083407942,80,0.323435578942806,31,0.300034285205927,80,0.321732733799037,31,0.283700288963551,80,0.317689650982916,31,0.321117272596601,80,0.343198824281828,31,0.320711861038459,80,0.348835904176364,31,0.031093708187624,80,0.0313333288722274,31,0.0314087806222027,80,0.0313935521320468,31,0.00855478206576374,80,0.00865608004536996,31,0.00862777561646152,80,0.00862202320232033,31,0.00458999392996307,80,0.00478504379102086,31,0.00463641058270135,80,0.00480457431330366,31,0.0259679424563921,80,0.026078277863574,31,0.0259584701623956,80,0.0260186002165197
,30,0.334391246937204,81,0.359598273202889,30,0.333662111424624,81,0.355723441675731,30,0.289437794717373,81,0.316326965364284,30,0.299000587004813,81,0.323734792125312,30,0.299038381161607,81,0.321983802909929,30,0.282410928905375,81,0.317932072428558,30,0.320130074990143,81,0.342241145702717,30,0.319636989760698,81,0.349256807957947,30,0.0310770798099233,81,0.0313461558035077,30,0.0313679143146365,81,0.0313887344500786,30,0.00855549337556517,81,0.00865847937418387,30,0.00861260671710482,81,0.00861521751628699,30,0.00459198896031196,81,0.00480183959203011,30,0.00460943183149363,81,0.00480243755891901,30,0.0259544948961194,81,0.0260685779140437,30,0.0259252350131348,81,0.026029016180965
,29,0.333301518888791,82,0.359842718685528,29,0.33261919492889,82,0.3559892392514,29,0.288367342057905,82,0.317007698820268,29,0.297914115999231,82,0.324034139309041,29,0.297976041223581,82,0.322143570303556,29,0.281048932736384,82,0.318176064671568,29,0.319140430682659,82,0.342537830718479,29,0.318441111058182,82,0.349682014749932,29,0.0310763145044327,82,0.0313982832591908,29,0.0313691945327387,82,0.0313737018117952,29,0.00853648414866962,82,0.00864927774404722,29,0.00860883864833343,82,0.00860456858998671,29,0.00458602601440801,82,0.00483871209047522,29,0.00460236190173738,82,0.00479193479735097,29,0.02594608168922,82,0.0261011148595876,29,0.0259457916036356,82,0.0260252406319941
,28,0.332209504430912,83,0.36009961525046,28,0.331488875063014,83,0.356371449140222,28,0.287321205929321,83,0.317833534697116,28,0.296874632214986,83,0.32434426082563,28,0.296962260124553,83,0.322205316994363,28,0.279671441818588,83,0.31871941749652,28,0.318181482643944,83,0.343290001107325,28,0.317318649732454,83,0.350053820266692,28,0.0310542122205608,83,0.0313989462359376,28,0.0313978490832398,83,0.031358709188516,28,0.0085257343550496,83,0.00862953020287546,28,0.00861136110644565,83,0.00860045523140311,28,0.00454090592162871,83,0.00483537018481625,28,0.00463595518491441,83,0.00478987486191854,28,0.0259469448624591,83,0.026088026198492,28,0.0259540421239927,83,0.0260364538519173
,27,0.331276703464312,84,0.360363787624805,27,0.330556023141564,84,0.356681470065124,27,0.286481394580671,84,0.318325113231685,27,0.29601868571311,84,0.324605461425841,27,0.296193439548933,84,0.322445623038584,27,0.278476627654581,84,0.319475561627173,27,0.317371666367876,84,0.343617881368172,27,0.31614754676947,84,0.350346240138448,27,0.0310352108540941,84,0.0313707368421856,27,0.0313527065022686,84,0.0313286927102716,27,0.00854219883148233,84,0.00861846076772876,27,0.00862503473623755,84,0.00859966899671588,27,0.00453462315191047,84,0.00482319090609779,27,0.00459520428440703,84,0.00478625779950517,27,0.0259347529306597,84,0.0260699483040723,27,0.0259344025056176,84,0.0260333317836493
,26,0.330334378419135,85,0.360590132823052,26,0.329681117153429,85,0.357072353400157,26,0.285525105337351,85,0.318595583047031,26,0.295044252881545,85,0.324969801974368,26,0.295236196905233,85,0.322693146044537,26,0.277144994358264,85,0.319262038515985,26,0.316382386811748,85,0.343751826326599,26,0.314859534371602,85,0.350733171105601,26,0.0310495722474172,85,0.0313679370772876,26,0.0313619017081033,85,0.0313836209563298,26,0.00855292199280907,85,0.00862028957598083,26,0.00862230951917214,85,0.00864308733841726,26,0.00456194104498027,85,0.00483099136178622,26,0.00458937324760314,85,0.00482548589640924,26,0.0259431330135941,85,0.0260709395694145,26,0.0259307631526581,85,0.0260709707253587
,25,0.32933282406145,86,0.360498166846516,25,0.328847525956058,86,0.357721895767534,25,0.28460821349451,86,0.318839794189814,25,0.294100754789121,86,0.325660355086306,25,0.294245695162695,86,0.322912768410268,25,0.275828459546029,86,0.316140220813364,25,0.31534443983379,86,0.343866946243076,25,0.313477785295426,86,0.351415233130549,25,0.0310829836216724,86,0.0313565948927648,25,0.0313756113607739,86,0.0315230245726628,25,0.00854606791580134,86,0.00862156465223358,25,0.00860578502972643,86,0.00879505364225768,25,0.00456934409202684,86,0.004839695848287,25,0.00459823577283555,86,0.00499308702930175,25,0.025955502597577,86,0.0260756047793391,25,0.0259312920504959,86,0.0262380925945543
,24,0.328371869410887,87,0.35985940746814,24,0.327843347018262,87,0.360454304574845,24,0.283628938423154,87,0.31905847548785,24,0.293087274923146,87,0.328335483623348,24,0.293201759164219,87,0.323066287951043,24,0.274307723936293,87,0.314272186912714,24,0.314237457107002,87,0.344030113241779,24,0.31190322780576,87,0.354752563122195,24,0.0310509303670913,87,0.0313613287098133,24,0.0313770270107481,87,0.0334424958030023,24,0.0085466560368414,87,0.00862383073580449,24,0.00857602477103001,87,0.0106321150492501,24,0.00453122893866284,87,0.00484383091162451,24,0.00459786525116778,87,0.00685221149586395,24,0.0259288718169095,87,0.0260817405248459,24,0.0259313888824826,87,0.0286366497961393
,23,0.327517491400098,88,0.359427602936762,23,0.326877876293303,88,0.366673105902803,23,0.282759816050527,88,0.319333605556585,23,0.292213220864034,88,0.334428836830993,23,0.29222683380138,88,0.32337959417445,23,0.272971999642878,88,0.321194041847118,23,0.313170312476125,88,0.344174863885337,23,0.310424542494946,88,0.360849874248278,23,0.0310517860644328,88,0.0313741121481396,23,0.0313646015569335,88,0.0385796686039433,23,0.00853119881229136,88,0.00863208648994229,23,0.00856418654631988,88,0.0157991242758752,23,0.00452341818401635,88,0.004859810777198,23,0.00458411984003031,88,0.0120175406937901,23,0.0259407918527699,88,0.0260924224774327,23,0.0259279961986808,88,0.033681546731446
,22,0.326815147140637,89,0.359658650830989,22,0.326088065542232,89,0.373554676961902,22,0.281989236365662,89,0.31959909390108,22,0.291434848918124,89,0.341405136622016,22,0.291308968734903,89,0.323687495214588,22,0.271785132177039,89,0.329761189077444,22,0.312092127792462,89,0.344256876198203,22,0.309065618465815,89,0.360284437837557,22,0.0310649587045452,89,0.031392696425176,22,0.0313785062601514,89,0.044754304420981,22,0.00851329898490804,89,0.00862710603791382,22,0.00859969292906554,89,0.0221099135030683,22,0.00453301831938656,89,0.00488850639557728,22,0.0046021011486271,89,0.0183496232509397,22,0.0259363509531425,89,0.0261146569771544,22,0.025927797180925,89,0.0402512973983642
,21.2999992370605,0.326300920978135,89.6999969482422,0.359900618582294,21.2999992370605,0.325527755635352,89.6999969482422,0.378689750640802,21.2999992370605,0.281472480810014,89.6999969482422,0.319694398226345,21.2999992370605,0.29087314141693,89.6999969482422,0.346719829574985,21.2999992370605,0.290645806617118,89.6999969482422,0.323767982552935,21.2999992370605,0.270943615844937,89.6999969482422,0.335091066304218,21.2999992370605,0.311330974131745,89.6999969482422,0.344303376711962,21.2999992370605,0.308059945223381,89.6999969482422,0.356174327590893,21.2999992370605,0.0310853652394718,89.6999969482422,0.0313988646894779,21.2999992370605,0.0313446935851103,89.6999969482422,0.0495186645760664,21.2999992370605,0.00850142818878225,89.6999969482422,0.00861207696786041,21.2999992370605,0.00857513147419542,89.6999969482422,0.0269481869023943,21.2999992370605,0.00453223009457748,89.6999969482422,0.00489199496593903,21.2999992370605,0.0045779403131723,89.6999969482422,0.0231976996174957,21.2999992370605,0.0259311267437144,89.6999969482422,0.0261200806181494,21.2999992370605,0.0258951707126775,89.6999969482422,0.0447876784829264
