CSV Report,2023-11-23_RNA_melting_CaCl2_KCl.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),.1
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),90.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,4
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,Yes,1.0,1.0,21.0,2.00
Stage 2,Yes,1.0,1.0,90.0,2.00
Stage 3,Yes,1.0,1.0,21.0,2.00
Stage 4,Yes,1.0,1.0,90.0,0.00

SAMPLES
Name,50 mM MgCl2_260.00nm_90.0-21.0C,,50 mM MgCl2_260.00nm_21.0-90.0C,,50 mM MgCl2_260.00nm_90.0-21.0C_R1,,50 mM MgCl2_260.00nm_21.0-90.0C_R1,,10 mM CaCl2_260.00nm_90.0-21.0C,,10 mM CaCl2_260.00nm_21.0-90.0C,,10 mM CaCl2_260.00nm_90.0-21.0C_R1,,10 mM CaCl2_260.00nm_21.0-90.0C_R1,,1 mM CaCl2_260.00nm_90.0-21.0C,,1 mM CaCl2_260.00nm_21.0-90.0C,,1 mM CaCl2_260.00nm_90.0-21.0C_R1,,1 mM CaCl2_260.00nm_21.0-90.0C_R1,,0.1 mM CaCl2_260.00nm_90.0-21.0C,,0.1 mM CaCl2_260.00nm_21.0-90.0C,,0.1 mM CaCl2_260.00nm_90.0-21.0C_R1,,0.1 mM CaCl2_260.00nm_21.0-90.0C_R1,,50 mM MgCl2_400.00nm_90.0-21.0C,,50 mM MgCl2_400.00nm_21.0-90.0C,,50 mM MgCl2_400.00nm_90.0-21.0C_R1,,50 mM MgCl2_400.00nm_21.0-90.0C_R1,,10 mM CaCl2_400.00nm_90.0-21.0C,,10 mM CaCl2_400.00nm_21.0-90.0C,,10 mM CaCl2_400.00nm_90.0-21.0C_R1,,10 mM CaCl2_400.00nm_21.0-90.0C_R1,,1 mM CaCl2_400.00nm_90.0-21.0C,,1 mM CaCl2_400.00nm_21.0-90.0C,,1 mM CaCl2_400.00nm_90.0-21.0C_R1,,1 mM CaCl2_400.00nm_21.0-90.0C_R1,,0.1 mM CaCl2_400.00nm_90.0-21.0C,,0.1 mM CaCl2_400.00nm_21.0-90.0C,,0.1 mM CaCl2_400.00nm_90.0-21.0C_R1,,0.1 mM CaCl2_400.00nm_21.0-90.0C_R1,
Collection Time,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),,2023-11-23 10:17:12 (+01:00),
Cell Number,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,,Cell 4,,Cell 4,,Cell 4,,Cell 4,,Cell 5,,Cell 5,,Cell 5,,Cell 5,,Cell 6,,Cell 6,,Cell 6,,Cell 6,,Cell 7,,Cell 7,,Cell 7,,Cell 7,
Module Serial Number,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,,MY2226ZC01,
Instrument Serial Number,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
Instrument Name,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,,MY2228ZA03,
,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs,Temperature (°C),Abs
,90,0.319078897351217,21,0.279968252847261,90,0.35126092596728,21,0.304005299335281,90,0.285328883164105,21,0.240253345584522,90,0.2993270853253,21,0.255913294271014,90,0.317013390528125,21,0.262364483527093,90,0.327869390977105,21,0.270570276024026,90,0.373090779047064,21,0.317778688371572,90,0.386825929423532,21,0.327295307459911,90,0.0253967861670445,21,0.0252045265074749,90,0.0254316995152645,21,0.0251467359009425,90,0.00972984799676354,21,0.00890823661977513,90,0.00878687077017839,21,0.0087099499751357,90,0.0068960944134001,21,0.00683549205375815,90,0.00694333063388205,21,0.00676808587184169,90,0.0375161518397104,21,0.0379081500733247,90,0.0376478664294032,21,0.037819596726976
,89,0.326869892566592,22,0.279958339935687,89,0.352319947718935,22,0.304066480917208,89,0.287491763655933,22,0.240248502756207,89,0.300165124128313,22,0.256019360777193,89,0.318868967376274,22,0.262326886791112,89,0.328051373302921,22,0.270564302041853,89,0.373898972614884,22,0.317820844930978,89,0.387002927619315,22,0.327483228012075,89,0.0255098313632249,22,0.0252471501509858,89,0.0254045657514068,22,0.0251632079569983,89,0.00983295780919006,22,0.00890597267639621,89,0.00875981751373166,22,0.00869659363394654,89,0.00698919218800763,22,0.00678617528590068,89,0.00695010871922442,22,0.00673647783556188,89,0.0375473213909121,22,0.0379139976130913,89,0.0376582913700728,22,0.0378260951671311
,88,0.328651117707925,23,0.2800833587979,88,0.352607436225523,23,0.304356418693709,88,0.28840429433639,23,0.240370200464735,88,0.300693351008133,23,0.256212735292252,88,0.319065655018143,23,0.262494595868798,88,0.32846566226619,23,0.270793145179585,88,0.374104233631941,23,0.318107339115653,88,0.38687103474366,23,0.32781661890213,88,0.0255085962036183,23,0.0252249001413908,88,0.0254062671077293,23,0.0251423500638135,88,0.00975934348819,23,0.00884134848689582,88,0.00871823972352082,23,0.00868160946600714,88,0.00695049875398525,23,0.00676141645382429,88,0.0069413911329923,23,0.00673254304104822,88,0.0375270777015537,23,0.0379251684707879,88,0.0376667551464842,23,0.0378351278193295
,87,0.32916203611833,24,0.280633628865455,87,0.352541554904904,24,0.305022264134026,87,0.288350506468105,24,0.240975671098681,87,0.300448871465088,24,0.256492494032935,87,0.319014535545194,24,0.262956899324159,87,0.328612029214648,24,0.27122899459327,87,0.374346119507526,24,0.318835414027883,87,0.38710713170361,24,0.328412881505754,87,0.0254805498106452,24,0.0252698039792682,87,0.0254027503890748,24,0.0251503522503482,87,0.00966361863447777,24,0.00889279034644821,87,0.00868399273746309,24,0.00865968796193149,87,0.00695406724857085,24,0.00678615541930527,87,0.00692423973323335,24,0.00673759442768064,87,0.0375353590848822,24,0.0379901948104632,87,0.0376618905285997,24,0.0378479401312422
,86,0.32942537901121,25,0.281389563059378,86,0.352347181350016,25,0.305743121610497,86,0.287597891277818,25,0.241641351429373,86,0.300167258864138,25,0.256564499208677,86,0.318965076268215,25,0.263528536232235,86,0.328341328711571,25,0.271834256031131,86,0.374083050908497,25,0.319487638168585,86,0.386713548337801,25,0.32902423652485,86,0.0254502923358541,25,0.0252376211123358,86,0.0254115111579414,25,0.0251330950267891,86,0.00961968377788876,25,0.0089011266196252,86,0.00866672968317811,25,0.00866083148527755,86,0.00694892856671404,25,0.00678080435284367,86,0.00692237900883918,25,0.00672942303874288,86,0.0375432118479346,25,0.0380172998332444,86,0.0376293400676789,25,0.0378810588196125
,85,0.329375362837081,26,0.282031026070661,85,0.352079569255977,26,0.306428429427366,85,0.287497786985887,26,0.242111771411015,85,0.299938995208195,26,0.257028191181986,85,0.318999957816242,26,0.264016859195948,85,0.328026997485783,26,0.27246691234673,85,0.373978811703627,26,0.319965700256247,85,0.38636019658727,26,0.329523184075384,85,0.0254636383447657,26,0.0252627169673555,85,0.025398792410596,26,0.0251175035130204,85,0.00952479639637882,26,0.00889282895108939,85,0.00863882185769643,26,0.00865865983801634,85,0.00696326247252824,26,0.00678567618513825,85,0.00691355708678431,26,0.00671528446990285,85,0.0374885706919313,26,0.0380344142565055,85,0.0376366410969518,26,0.0378855204333152
,84,0.329031331916823,27,0.282571792105062,84,0.351659270919156,27,0.307147110803581,84,0.287210766778072,27,0.242495173126183,84,0.299638338445583,27,0.25788138311446,84,0.318655469108751,27,0.264491646143597,84,0.327483713491859,27,0.273090627439755,84,0.374057070044436,27,0.320438215809516,84,0.385969743635275,27,0.330065180140921,84,0.0254589323059638,27,0.0252704131864133,84,0.0254061955337889,27,0.0251083508070792,84,0.00949381297732381,27,0.00891730359401132,84,0.00861200469945532,27,0.00865329053646986,84,0.00695449620304864,27,0.00678352867537499,84,0.00692737595753457,27,0.00671965250376572,84,0.0374996177906854,27,0.0380370791366166,84,0.0376527809777927,27,0.0378645539850243
,83,0.328502791202085,28,0.282883904679344,83,0.351203309231672,28,0.307818436094197,83,0.286451399230178,28,0.242902461944928,83,0.299369675429275,28,0.258667205124658,83,0.318131255585284,28,0.265021654544932,83,0.326894232559737,28,0.273640543124516,83,0.373494170810476,28,0.321127324893582,83,0.385540843228526,28,0.330767778726185,83,0.0254913128759722,28,0.0252496045296768,83,0.0254095151872453,28,0.0251155827887524,83,0.00946558016631528,28,0.00894426315507144,83,0.00859241045359248,28,0.00864512729085552,83,0.0070287313515515,28,0.00676529230054615,83,0.00692420949810016,28,0.00672256409766583,83,0.0375208620345042,28,0.0380391861596291,83,0.0376702126056929,28,0.0378756294271191
,82,0.327951290398722,29,0.283304948641226,82,0.3507641178219,29,0.308517877530374,82,0.285869316573793,29,0.243484744264946,82,0.29903238641316,29,0.259105788179315,82,0.317454136629887,29,0.265571591738151,82,0.326436138176695,29,0.274145398707979,82,0.372926947049682,29,0.321858865506392,82,0.385067045063536,29,0.331465122712957,82,0.0254233336509443,29,0.0252665767627116,82,0.0254041232000711,29,0.0251251233456186,82,0.0093857658975633,29,0.00894544162375965,82,0.00859802736224595,29,0.00862439981879646,82,0.00693858333170351,29,0.00676952144412607,82,0.00689623494456308,29,0.00669984058904986,82,0.0375120841758265,29,0.0380665625434883,82,0.0376375405132582,29,0.0378871550771997
,81,0.327343266089083,30,0.283998384618674,81,0.350267352612011,30,0.309262939169417,81,0.285308188802672,30,0.244087928710838,81,0.298831230278975,30,0.259543045784879,81,0.31703585226297,30,0.266185442854264,81,0.325993503923276,30,0.274754418384359,81,0.372413456371074,30,0.322452231653761,81,0.384565356403636,30,0.332069215373719,81,0.0254418201762632,30,0.0252949681625175,81,0.0253836639788783,30,0.0251444664394071,81,0.00939244762944159,30,0.00894224729037274,81,0.00860211914979774,30,0.0086247434191119,81,0.00690853794436475,30,0.00678171312129113,81,0.00687421562990403,30,0.00671968097848905,81,0.0375404115697904,30,0.0380952030817547,81,0.0376313909813107,30,0.0379079017785813
,80,0.326760780701473,31,0.284592506917846,80,0.349708855778539,31,0.310054192289413,80,0.284906973240776,31,0.244584489625509,80,0.298477011221915,31,0.260345422741575,80,0.316595363615165,31,0.266765432028615,80,0.325440572317076,31,0.275406600325023,80,0.372017151994086,31,0.323121651733808,80,0.384110364890403,31,0.33287227794762,80,0.0254416705215239,31,0.0252953086779081,80,0.0253298821055732,31,0.0251507763681366,80,0.00941267264347985,31,0.00896746322918675,80,0.00859250178434563,31,0.00864606400213805,80,0.0069142260232308,31,0.00678627515692263,80,0.00685803402625595,31,0.00673425291491993,80,0.0375387895606603,31,0.0380913166592847,80,0.0376236721051518,31,0.0379367004820272
,79,0.32605414713921,32,0.285051420189738,79,0.349122568418161,32,0.310821704082582,79,0.284930683308935,32,0.245133500615204,79,0.297926085456786,32,0.260935875419012,79,0.316119399018723,32,0.267272990264253,79,0.324862687472965,32,0.275997043033274,79,0.371611024967922,32,0.323871558750856,79,0.383647029922707,32,0.333679187688619,79,0.0254409066710641,32,0.0252744688908947,79,0.0253359064629145,32,0.025108879198828,79,0.00948561931402512,32,0.00898559431497116,79,0.00858686486677306,32,0.00863203490665364,79,0.00690923574222703,32,0.00677088578147451,79,0.00685928742779769,32,0.00669749771486713,79,0.0375463729912389,32,0.0380707300400843,79,0.0376496984187255,32,0.0379354331427302
,78,0.325233537010876,33,0.285667329244795,78,0.348533360338703,33,0.311658011742904,78,0.284115354531723,33,0.245778670718338,78,0.297394295452212,33,0.261452420119591,78,0.315551686298133,33,0.267912223099401,78,0.324189295820075,33,0.276592339872446,78,0.371160161372828,33,0.324588449898175,78,0.383107287902801,33,0.334314602320786,78,0.0254411365377111,33,0.0252575546459272,78,0.0253729712414487,33,0.0251498524746726,78,0.00944915243821729,33,0.00898786803655775,78,0.00858958972768199,33,0.00864657058286249,78,0.00690411646358579,33,0.00677580914573877,78,0.00687683003195074,33,0.0066853934821407,78,0.0375660432658914,33,0.0380801881529563,78,0.0376611366665611,33,0.0379389987956354
,77,0.324258514973082,34,0.286318162282702,77,0.347900434234203,34,0.312492810964632,77,0.283191608845589,34,0.246300446938094,77,0.296835406693612,34,0.262319127325763,77,0.314925521565543,34,0.268571261325437,77,0.32352055711407,34,0.277261108547903,77,0.370756422483384,34,0.32538776774714,77,0.382579142339238,34,0.335080891824643,77,0.0254640536660865,34,0.025226848106549,77,0.0253875686320239,34,0.0251606256066168,77,0.00939421930173402,34,0.00897857724236399,77,0.00859982588579229,34,0.00863791589436467,77,0.00696034391217684,34,0.00679153478098023,77,0.00689257403338418,34,0.0066985502805936,77,0.0375917040472566,34,0.0380724263805697,77,0.0376579854333431,34,0.037914166965768
,76,0.323324488008836,35,0.286961059510891,76,0.347170461348271,35,0.313269286296245,76,0.282334854706926,35,0.246933115583527,76,0.296158226729173,35,0.26314867657787,76,0.314195286694406,35,0.269249035328146,76,0.322769952737787,35,0.277955368505555,76,0.370264000737951,35,0.326191830113523,76,0.38206509891641,35,0.335920456772107,76,0.0254458071351989,35,0.0252162304173004,76,0.0253754644465265,35,0.0251014237799935,76,0.0093762068583721,35,0.00898780341157718,76,0.00857914359417045,35,0.00862250961500557,76,0.00693446146614324,35,0.00675134172711336,76,0.00687682443019285,35,0.00666614951744043,76,0.0376000456176992,35,0.0380381430653927,76,0.0376652397594631,35,0.037889139579295
,75,0.322294152316917,36,0.287691119599877,75,0.34643355318529,36,0.314182660172333,75,0.281520175924851,36,0.247594809671836,75,0.295527586106188,36,0.263999761227979,75,0.313432255901621,36,0.269969139066185,75,0.322006435205509,36,0.27870477334436,75,0.36967572766496,36,0.327010625376857,75,0.381415602632228,36,0.336843730761526,75,0.025443314446004,36,0.0252637159936497,75,0.0253837913721956,36,0.0251117926245355,75,0.00935826710634566,36,0.00901584710222127,75,0.00857021075028996,36,0.00864387603073124,75,0.00689785057702496,36,0.00674592735186884,75,0.00690691587161552,36,0.0066708323355883,75,0.0375911927094817,36,0.0380454271218425,75,0.0376511743715345,36,0.037911050880431
,74,0.321247997436682,37,0.288343362838628,74,0.345701850130118,37,0.315032480533989,74,0.280805070588239,37,0.248180477614905,74,0.294884799979762,37,0.264876125162997,74,0.312588478146076,37,0.27069700867199,74,0.321129028997438,37,0.27948036247551,74,0.369070034748926,37,0.327936067683336,74,0.380762366220894,37,0.337794886781786,74,0.025431214938561,37,0.0252664903995076,74,0.0253851581016275,37,0.0251203242649304,74,0.00938884276342332,37,0.0090012716919315,74,0.00860618116345268,37,0.00864968827598718,74,0.0068833809964537,37,0.00675092494026829,74,0.00686663256509164,37,0.00667627780203933,74,0.0375844944211133,37,0.0380511666913542,74,0.0376724711250904,37,0.0379127524942285
,73,0.320176794934654,38,0.289002088056654,73,0.344966699152145,38,0.315839730046917,73,0.28008163808247,38,0.248854569485971,73,0.294161561580617,38,0.265694863477558,73,0.311687601615781,38,0.271444131688274,73,0.320213811816621,38,0.280286245189161,73,0.368414382009435,38,0.328816848410816,73,0.380015306320044,38,0.338717324495668,73,0.0254408849394394,38,0.025210389824662,73,0.0253712886168911,38,0.02510867262464,73,0.00942283484898136,38,0.00901292322143835,73,0.00860345505397205,38,0.00865782517721213,73,0.00688520608321221,38,0.00672806959849167,73,0.00682878285102682,38,0.00668803000348663,73,0.0376040576037442,38,0.0380189613078964,73,0.0376695761129622,38,0.0379027282320637
