CSV Report,2023-11-23_RNA_melting_CaCl2_KCl.csv
,72,0.319098467429793,39,0.289722898348803,72,0.3441674329098,39,0.316718346187642,72,0.279257831866615,39,0.249503919494645,72,0.293313425099527,39,0.266497943688643,72,0.310651177683014,39,0.272307082019498,72,0.319180530526504,39,0.281089174565613,72,0.367671690649484,39,0.329795391640772,72,0.379201485580928,39,0.339719494536453,72,0.0254651385831741,39,0.0252131254781721,72,0.0253722271658463,39,0.0251124393558681,72,0.00944299161606084,39,0.00904284988512777,72,0.00858363777450091,39,0.0086411340850075,72,0.00689540972757598,39,0.00675904878702089,72,0.00682613250411898,39,0.00668066316837677,72,0.0376140248469699,39,0.0380102569663614,72,0.0377001252769585,39,0.0378943318482986
,71,0.318105312078499,40,0.290499689683914,71,0.343417246982412,40,0.317587397886144,71,0.278317331043484,40,0.250208098627837,71,0.292506785762623,40,0.267256916197564,71,0.30957444532605,40,0.27317264151017,71,0.318023732546676,40,0.28194728777751,71,0.366831475148043,40,0.330807296664868,71,0.378257434381259,40,0.3407526900072,71,0.0254678285432401,40,0.0252285144151038,71,0.025365830420917,40,0.0251240031008667,71,0.00944050558624843,40,0.00905898424323622,71,0.00859017217978248,40,0.00866069606942392,71,0.00689687870441542,40,0.00675368663450077,71,0.00681947986154423,40,0.00670659226127853,71,0.0376266279019442,40,0.0380017759331323,71,0.0376897538599799,40,0.0379086030944271
,70,0.317075599817123,41,0.291262065641426,70,0.342683236494746,41,0.318446249798513,70,0.277311861787141,41,0.250978161144121,70,0.291676381157347,41,0.267981881332269,70,0.308351181824829,41,0.274084734666296,70,0.316837079892447,41,0.282855099831976,70,0.36592301908358,41,0.331852846553792,70,0.377229692647806,41,0.341850391633708,70,0.0254778936341087,41,0.0252175195857135,70,0.0253563562569882,41,0.0251650458017257,70,0.00939798888941793,41,0.0090745578799204,70,0.00858766816091241,41,0.00866835465528118,70,0.00693087091804784,41,0.00674536190848238,70,0.00681492573583831,41,0.00674881636651324,70,0.0376518637192627,41,0.0379885130145544,70,0.0376685620454546,41,0.0379599813345515
,69,0.316189870067735,42,0.292041343018001,69,0.342031450963537,42,0.31940756797776,69,0.276377728862411,42,0.251693847412054,69,0.290833963490548,42,0.268779658386392,69,0.307083251546012,42,0.275019017272031,69,0.315606705069815,42,0.283843497904616,69,0.364937645311009,42,0.332960323624618,69,0.376154705267219,42,0.342988649299395,69,0.0254772033901996,42,0.0252428767734002,69,0.0253748051758253,42,0.025179980395536,69,0.00943217561628826,42,0.00908864877878112,69,0.00859231098918969,42,0.00867400527957246,69,0.0069832383617665,42,0.00679650647628907,69,0.00682756814283261,42,0.00673651933098639,69,0.0376601425226505,42,0.038025959483395,69,0.0376714928939212,42,0.0379435655098268
,68,0.315289260406695,43,0.292831639630809,68,0.34127244547812,43,0.320248228107777,68,0.275408793675523,43,0.252390240000901,68,0.289925578929558,43,0.26958668485276,68,0.305715063002753,43,0.275999698759755,68,0.314196112560189,43,0.284793691822023,68,0.363854192438492,43,0.334046252085857,68,0.374971685710905,43,0.344077372824279,68,0.0254181210949872,43,0.025221777510152,68,0.025353636973778,43,0.0251237016820691,68,0.0094820729647237,43,0.00909539230889003,68,0.00859556971513313,43,0.00871983678889385,68,0.00688992776989641,43,0.00675805383155887,68,0.00682151121124463,43,0.00668282286681409,68,0.0376910866536783,43,0.0380219957452549,68,0.0376882596158667,43,0.0378914950460708
,67,0.314434588048307,44,0.293670113322302,67,0.340551690173423,44,0.321095854520824,67,0.274633704194792,44,0.253110893566678,67,0.289115756101519,44,0.270366493778528,67,0.304415028427713,44,0.277009379498699,67,0.312863209601804,44,0.285751592547713,67,0.362660551895281,44,0.335111725511745,67,0.373728827624904,44,0.345207976707104,67,0.0254202432511661,44,0.0252361882644225,67,0.0253353944345392,44,0.0251342686769735,67,0.00951584930383948,44,0.00911786279143328,67,0.00859470823656691,44,0.00870871135280673,67,0.00687850460093157,44,0.00675667842745144,67,0.0068030667976846,44,0.00667676526261601,67,0.0377088352785389,44,0.0380072079438456,67,0.0376957433267384,44,0.0378924328004321
,66,0.313628531234759,45,0.294521345529676,66,0.33988109231723,45,0.321976387415853,66,0.273679111792862,45,0.253863083993725,66,0.288323059135563,45,0.271048542978537,66,0.302951248873642,45,0.278028221745801,66,0.311548345096367,45,0.286820987208756,66,0.36125096682581,45,0.336252659701336,66,0.372530581749945,45,0.346345056439394,66,0.025441138226292,45,0.0252668194880954,66,0.0253250832285237,45,0.0251494139152594,66,0.00950874068104211,45,0.0091000727317709,66,0.00858119830104194,45,0.00865780379013883,66,0.00688097439802043,45,0.00675191866953512,66,0.00684597008005778,45,0.00668955294362525,66,0.0376597444540981,45,0.038016908389162,66,0.0376806851006085,45,0.0379049342964861
,65,0.312793559429243,46,0.295417720052315,65,0.339156814569922,46,0.322874975734869,65,0.272661398403138,46,0.254653424393439,65,0.287526297107071,46,0.271833186341607,65,0.301571069623571,46,0.279124264551783,65,0.310145003710488,46,0.287906100515149,65,0.359953143223631,46,0.337318944631208,65,0.37118269817168,46,0.347541754115534,65,0.0254153410290743,46,0.0252702370602407,65,0.0253179780878736,46,0.0251245478333267,65,0.00948111249664095,46,0.00911478213717622,65,0.00857501616396791,46,0.0086741659225872,65,0.00687613437496005,46,0.00673695355689513,65,0.00682484624072683,46,0.00666301773228243,65,0.0376450600485189,46,0.0380048340084224,65,0.0376838615392759,46,0.0379069019201635
,64,0.311939920083609,47,0.296310988470518,64,0.338493914659901,47,0.323761909988787,64,0.271684992659254,47,0.255472633338074,64,0.287129797467199,47,0.272653354727513,64,0.300206068172479,47,0.280261673820396,64,0.308865651006885,47,0.289036781432757,64,0.358571289033417,47,0.338363151050958,64,0.369797595734707,47,0.348658714518885,64,0.0254139990158723,47,0.0252680471843922,64,0.0253261768385305,47,0.0251167148780164,64,0.00948297992744312,47,0.00916111631927396,64,0.00859320477428721,47,0.0086587485975471,64,0.00684808209463215,47,0.00675375737597548,64,0.00679754136426141,47,0.00664736342587,64,0.0376823456470593,47,0.0379756768401099,64,0.0376842961033315,47,0.0378675061291716
,63,0.31113332235464,48,0.297189559708328,63,0.337795958273447,48,0.324590106485505,63,0.27064754809677,48,0.256276273537904,63,0.286562921306366,48,0.273438343213652,63,0.298855792587951,48,0.281387129689277,63,0.30773800838821,48,0.290123505113091,63,0.357191626711939,48,0.339451468616617,63,0.368476318458051,48,0.349723532970258,63,0.0254332455605799,48,0.0252684168038221,63,0.0253144265551633,48,0.025152327417726,63,0.00946341983156219,48,0.00917849571285002,63,0.00860204515165144,48,0.00867200093595808,63,0.00689089523874237,48,0.00676918066663572,63,0.00679889565017902,48,0.00667270235529055,63,0.037722493318996,48,0.0379644015651683,63,0.0376770914438215,48,0.0378700267354323
,62,0.310340806294066,49,0.298064587305525,62,0.337045338768044,49,0.325474292700957,62,0.269775243163546,49,0.257030021148793,62,0.285922758083822,49,0.274224953918119,62,0.29759042566491,49,0.282468680960024,62,0.30647194375453,49,0.291238633526273,62,0.355854407816924,49,0.340460768402314,62,0.367100174552398,49,0.350856086177638,62,0.0253979434318843,49,0.0252517848365667,62,0.0252922750411252,49,0.0251613986703878,62,0.00948296204359457,49,0.00917753216130643,62,0.00859160579200832,49,0.00866828481315644,62,0.00687665027102187,49,0.00677191901759925,62,0.00680922372381632,49,0.00667339806742964,62,0.0377156507629772,49,0.0379617273279074,62,0.0376753560529086,49,0.0378785497148644
,61,0.309551476859392,50,0.298989164900122,61,0.336272783029857,50,0.326366730544942,61,0.268896567303054,50,0.257863094910236,61,0.285332509810012,50,0.274985486392479,61,0.29634535380091,50,0.283608376801792,61,0.30518636593622,50,0.292338385929116,61,0.35449729090314,50,0.341493741224073,61,0.365767112648603,50,0.352052619194701,61,0.0253761595787873,50,0.0252666292275576,61,0.0252644305929223,50,0.0251608434712522,61,0.0094940138536919,50,0.00918471018954139,61,0.00861721865996683,50,0.00864237091368993,61,0.00683869541946807,50,0.00680958818678355,61,0.00679624485778942,50,0.00668419401943805,61,0.0377171544614519,50,0.0379773244557837,61,0.0377011171032601,50,0.0378604864984166
,60,0.308777143435297,51,0.299983083356953,60,0.33553297883946,51,0.327210402574598,60,0.268079362568609,51,0.258680835841631,60,0.284701227037983,51,0.275797024602875,60,0.295188535997822,51,0.284713840566333,60,0.304012447298337,51,0.293492782357006,60,0.353187049656943,51,0.342544740639071,60,0.364396279833816,51,0.353360804455218,60,0.0253964607072013,51,0.0252440347085286,60,0.0252635936076112,51,0.0251487198261594,60,0.00950012829716841,51,0.00918128748309065,60,0.00861153897232032,51,0.00862151007324347,60,0.00683974112432842,51,0.00675280491291723,60,0.00674759066039721,51,0.00667607713837916,60,0.0377190187761897,51,0.0379322063255622,60,0.0376975615832542,51,0.0378446908747566
,59,0.307971112702756,52,0.300926565755707,59,0.3348246602854,52,0.328164376290898,59,0.26739096100753,52,0.259290489015254,59,0.284123250614477,52,0.276713651929606,59,0.294169651119308,52,0.285877011510612,59,0.30288243386583,52,0.29472180632208,59,0.351963069839626,52,0.343544100874857,59,0.363156865021503,52,0.354609682401626,59,0.0253669898352703,52,0.0252388668661826,59,0.0252624507993858,52,0.0251302444967803,59,0.00954048232046134,52,0.00913112539001403,59,0.00860350358833864,52,0.00864946254051789,59,0.00680820579708605,52,0.0067171367967404,59,0.00673710503372701,52,0.00667042691029524,59,0.0377099786903917,52,0.0378964064499287,59,0.0376934027551462,52,0.0378578193589198
,58,0.307170013132825,53,0.301997390716322,58,0.334037520485436,53,0.329062998734531,58,0.266605747163197,53,0.260083411209683,58,0.283516311267288,53,0.277494713677375,58,0.293026996416897,53,0.287165935119745,58,0.301797859633,53,0.295976050712143,58,0.350825563498831,53,0.344566883026182,58,0.361930673216534,53,0.355729890617347,58,0.0253885323145034,53,0.0252552770076085,58,0.0252744372791346,53,0.0251631112449572,58,0.00956009002615244,53,0.00913751476238236,58,0.0086093605754872,53,0.00865730269286341,58,0.00679027016011003,53,0.00674691866215835,58,0.00677655958854558,53,0.00667475671646412,58,0.0377789075313001,53,0.0378916434189888,58,0.0376924692465424,53,0.0378511682554818
,57,0.306362439540375,54,0.30325534007273,57,0.333298379311965,54,0.329926199766322,57,0.265697127927025,54,0.260946148251869,57,0.282812484059318,54,0.278156778483807,57,0.291999566609673,54,0.288292440116471,57,0.300869881588839,54,0.297233805552077,57,0.349688664829987,54,0.345621752663072,57,0.360772248231056,54,0.356767047816622,57,0.0254115010212805,54,0.0252592235894845,57,0.0252797780769685,54,0.0251088572398988,57,0.0094776066229333,54,0.00918458861351299,57,0.00859063178451279,54,0.00862190319925381,57,0.00685293398961525,54,0.00674716339036233,57,0.00679049252732664,54,0.00659965544910134,57,0.0377941951134192,54,0.0378838901195075,57,0.0377022810113195,54,0.037815927353928
,56,0.305527352578598,55,0.30425470466034,56,0.33261642974575,55,0.330808567061305,56,0.264988326711787,55,0.261663744438022,56,0.28206209006334,55,0.27889824377758,56,0.29102788741375,55,0.289387102320084,56,0.299910071040332,55,0.298214840600078,56,0.348545902609651,55,0.346708413365921,56,0.359672730820538,55,0.35778622170447,56,0.0253868159666945,55,0.0252550755277495,56,0.0252711553357528,55,0.0251534555384438,56,0.00950428768784927,55,0.00918648524187877,56,0.00856825328173187,55,0.00861890539119933,56,0.006874001784841,55,0.00672627114850267,56,0.00680323517347249,55,0.0066294530810816,56,0.0377477065792841,55,0.0378710804918884,56,0.0376916596211443,55,0.0378373738732051
,55,0.304632896634644,56,0.30513521340481,55,0.331838335908835,56,0.33167909128914,55,0.264070922644911,56,0.262439126504596,55,0.281336697772463,56,0.279616267003946,55,0.290005309982295,56,0.290537866223066,55,0.298890167182916,56,0.299451677377949,55,0.347510240492804,56,0.34782355682799,55,0.358576568389358,56,0.358899235205571,55,0.0253634814813243,56,0.0252761578686022,55,0.0252794035144191,56,0.0251607113835015,55,0.00943224810653701,56,0.0091456393883171,55,0.00859154018388393,56,0.00859939941866262,55,0.00681644671904198,56,0.00674087312571997,55,0.00676648418205192,56,0.0066469661202867,55,0.0377504710885677,56,0.0378654524363589,55,0.0376835600212874,56,0.0378597470088473
,54,0.30376465617408,57,0.306128671836391,54,0.331045757896696,57,0.332552383450769,54,0.263218822683247,57,0.263206592044017,54,0.280631241050421,57,0.280421853219012,54,0.28913100042886,57,0.291634441606019,54,0.29793131414365,57,0.300570016062478,54,0.346594942468766,57,0.348867477364043,54,0.357632420101062,57,0.360023286854898,54,0.025344919944549,57,0.0252944283786305,54,0.0252738169449873,57,0.0251302536818461,54,0.00945121158066662,57,0.00913481594858186,54,0.00860297886414277,57,0.00860368057091792,54,0.00688873502256983,57,0.00678396480898277,54,0.00676246185096779,57,0.00662852920168285,54,0.0377805465957828,57,0.0378600791728907,54,0.0377095381060597,57,0.0378508012359496
,53,0.302908268805886,58,0.307082270706224,53,0.330167308400524,58,0.333455901590185,53,0.262434066709437,58,0.26397639364665,53,0.279879275526802,58,0.281138444869813,53,0.288161317641022,58,0.292792227966198,53,0.296871380756326,58,0.301622369483574,53,0.345625598809753,58,0.350018508512866,53,0.356621619855498,58,0.361136510533367,53,0.0253687171101728,58,0.0252926708908098,53,0.0252599744257932,58,0.0251430049906001,53,0.00946954866300481,58,0.00915455572677032,53,0.0085742736999789,58,0.0085898585740405,53,0.00688809892181332,58,0.00678883381600443,53,0.00676360562742303,58,0.00662737157611682,53,0.0377672603622864,58,0.0378550162181097,53,0.0377135568120399,58,0.0378202253173735
,52,0.302077698839859,59,0.308077891023214,52,0.3294067086162,59,0.334282112692793,52,0.261562658161617,59,0.264830928804611,52,0.27914750624364,59,0.281878839456896,52,0.287136500920096,59,0.293906240141814,52,0.295891568224079,59,0.302761263657382,52,0.344708270659508,59,0.35118972112494,52,0.355565194646549,59,0.362336092139324,52,0.0253822804206871,59,0.0252835565215272,52,0.025260091855079,59,0.0251779547781749,52,0.0093655438179042,59,0.00916329781149837,52,0.00859288132876446,59,0.0085677486908332,52,0.0068529971633216,59,0.00677624399095389,52,0.00678215496379857,59,0.00665660960467569,52,0.037761806675253,59,0.0378492191116721,52,0.0377083528608701,59,0.0378253875127315
,51,0.3011831217695,60,0.309054348078316,51,0.32862009950601,60,0.335111942272251,51,0.260799828220797,60,0.265664927597378,51,0.278392080242781,60,0.282622974546699,51,0.286150093740592,60,0.294972971353409,51,0.294926859620249,60,0.303904453235796,51,0.343877637771804,60,0.35246511429634,51,0.35466462180988,60,0.363597880816332,51,0.0254019724134663,60,0.0252735015269366,51,0.0252665096790029,60,0.0251746149498088,51,0.00941365582492176,60,0.00916798947475062,51,0.00859370641279476,60,0.00857622585594873,51,0.00682843274807279,60,0.00675235748464204,51,0.00677086153078189,60,0.00666092802089916,51,0.037789830051942,60,0.0378324216499645,51,0.037746092174352,60,0.0378183890996525
,50,0.300287211545652,61,0.310047752615765,50,0.327833380602349,61,0.335990747891582,50,0.26003359709171,61,0.266523330489003,50,0.277577960044736,61,0.283428709490081,50,0.285123957322425,61,0.296156133700289,50,0.293957769762818,61,0.305196306002329,50,0.342919337573227,61,0.353783063507038,50,0.353701186949577,61,0.364913541311393,50,0.025378078803429,61,0.0252755796527597,50,0.0252509011477146,61,0.0251406480368754,50,0.00942349641774864,61,0.00915488152148854,50,0.00858974487694823,61,0.0085707738502217,50,0.00680402656398966,61,0.0067422688842735,50,0.00676609003211406,61,0.00665391495691689,50,0.0377909859858377,61,0.0377944335700552,50,0.037754367797413,61,0.0378015245043446
,49,0.299378577781396,62,0.311043764406819,49,0.327000853743042,62,0.336768296506547,49,0.259171885020496,62,0.267446936326989,49,0.276740525234569,62,0.284183811487281,49,0.284107025671465,62,0.29744273949664,49,0.292910686761519,62,0.306360831658912,49,0.341959521443117,62,0.355208956761934,49,0.352709569700227,62,0.366163423255023,49,0.0253629942705512,62,0.0252982311852416,49,0.0252475682985589,62,0.0251371098304108,49,0.00939168867455212,62,0.00917129746214541,49,0.00856071450569247,62,0.00859165681459787,49,0.0068170401439258,62,0.00676514736366932,49,0.00675821787193982,62,0.00664312895300468,49,0.0378042655847853,62,0.0378042452535166,49,0.0377383635755802,62,0.0377866056401389
,48,0.29854360816346,63,0.312041659602249,48,0.326173292723987,63,0.337515580487456,48,0.258338338021893,63,0.268345306766627,48,0.275927521555228,63,0.284881201121996,48,0.283105490135813,63,0.298791094214849,48,0.291816493735401,63,0.307445035731811,48,0.341047239574809,63,0.356678302222976,48,0.351674741739768,63,0.367497877528586,48,0.0253683984225307,63,0.0252673408079626,48,0.0252324376582441,63,0.0251227799162247,48,0.00935661544304368,63,0.00917888870107534,48,0.00856606215938343,63,0.00860998340335695,48,0.00685688844205196,63,0.00680952709320558,48,0.00673839768739262,63,0.00662222056975945,48,0.0378273928332573,63,0.0377967123427399,48,0.0377302732184755,63,0.037787379176417
,47,0.297661554112084,64,0.313003620141504,47,0.325329534486051,64,0.33843831087917,47,0.257458361603168,64,0.269310246352906,47,0.275131188746391,64,0.285687525526026,47,0.282070464228591,64,0.300135768191243,47,0.290755831794527,64,0.308782836705877,47,0.340104146289602,64,0.358176960262475,47,0.350678374395326,64,0.368962523926283,47,0.0253617104394211,64,0.0252600725682467,47,0.0252628389741626,64,0.0251525484726214,47,0.00930781187963698,64,0.00921907867923302,47,0.00859121460975856,64,0.0085913944067346,47,0.00685735065803758,64,0.00682506849087753,47,0.00676129441365868,64,0.0066499686473721,47,0.0378492952161221,64,0.0377892038881903,47,0.0377498227752982,64,0.0377971449156483
