CSV Report,2023-11-23_RNA_melting_CaCl2_KCl.csv
,46,0.29685727241249,65,0.314067262162853,46,0.324496591972438,65,0.339389361888015,46,0.256771238660771,65,0.270309831450831,46,0.274354729024148,65,0.286583221247747,46,0.281030920343388,65,0.301411652759884,46,0.289683187300404,65,0.310169579575262,46,0.339134523371078,65,0.359634610087959,46,0.349610152001094,65,0.370524438141153,46,0.0253612140241225,65,0.0252846459242269,46,0.0252250355166254,65,0.0251543696366598,46,0.00933187209681609,65,0.00924092367984969,46,0.00859174715681599,65,0.00858619582871112,46,0.00681409101668717,65,0.00679206486670618,46,0.00672940877654375,65,0.00665964251323085,46,0.0378641138940158,65,0.0377718919023235,46,0.0377631321970688,65,0.0377835038256391
,45,0.296001668034457,66,0.31506852106783,45,0.323708541260208,66,0.340215117978142,45,0.255955141210029,66,0.271474804188246,45,0.273544577228613,66,0.287534145409816,45,0.280056386803607,66,0.302949685224824,45,0.2887170985979,66,0.311682453316056,45,0.338155668813213,66,0.361136315014479,45,0.348535120128386,66,0.372081817992895,45,0.0253537639909607,66,0.0252899054032249,45,0.0252080828823655,66,0.0251349125965022,45,0.00932007003263455,66,0.00921718221568088,45,0.00859207564683828,66,0.00858818590807051,45,0.00687299174049918,66,0.00680271815492449,45,0.00674154044611037,66,0.0066628573847026,45,0.037858749512638,66,0.0377578378306666,45,0.0377445866100901,66,0.0377919436585537
,44,0.295219148857188,67,0.316172291691671,44,0.322897240680355,67,0.341111588644793,44,0.25510628566265,67,0.272897138832166,44,0.272666313612412,67,0.288545984532205,44,0.278977178490308,67,0.304590348551736,44,0.287635182376365,67,0.313216513417012,44,0.337097353423,67,0.362769928789619,44,0.347470163144274,67,0.373652352075557,44,0.0253454063538238,67,0.0253132762508804,44,0.0251986308519081,67,0.0251740928817444,44,0.00928056302702637,67,0.00922822790723903,44,0.00858320939220032,67,0.00858613680854935,44,0.00685757731831292,67,0.00680395755621994,44,0.00671830990061824,67,0.00668687014378836,44,0.0378444578939772,67,0.0378076754747858,44,0.0377476282779439,67,0.0377885996571109
,43,0.294439882075379,68,0.317323033619543,43,0.322115698011213,68,0.342044635016498,43,0.254332134291412,68,0.274099281779232,43,0.271932359178293,68,0.289622271363138,43,0.277889554384553,68,0.305998794039658,43,0.286641955788441,68,0.314735965935284,43,0.336122107850861,68,0.364349104155363,43,0.346381988166059,68,0.375233254109413,43,0.0253500748662969,68,0.0252927951385826,43,0.0252395274475546,68,0.0251815373161666,43,0.00925887929859287,68,0.0092713713975314,43,0.00861572424072056,68,0.00857949901259235,43,0.00679276924362691,68,0.00680681201821491,43,0.00673411344825273,68,0.00668340027531521,43,0.0378890098233631,68,0.0377870762079761,43,0.0377597258884755,68,0.0377610474202216
,42,0.29361902045301,69,0.318442267460787,42,0.32128142293775,69,0.343171516354903,42,0.253672783782005,69,0.275374353661015,42,0.271127363461799,69,0.290620744729035,42,0.276863387098727,69,0.307573441802461,42,0.285584148520638,69,0.316178541275806,42,0.335081699601551,69,0.365928408132657,42,0.345340500949302,69,0.376755418944707,42,0.0253364341158705,69,0.0252948508459189,42,0.0252578437819731,69,0.0251621767655433,42,0.00928614250895826,69,0.00932124869288204,42,0.00860948602645963,69,0.00857756259811628,42,0.00679763768361132,69,0.00682430698018985,42,0.00675675961949593,69,0.00666935668419995,42,0.0378955482752333,69,0.0377386565952708,42,0.0377900887026463,69,0.03777056510995
,41,0.292866636110464,70,0.319638165913066,41,0.320377300311192,70,0.344273325054232,41,0.253067287616454,70,0.276594302249646,41,0.270347947225965,70,0.292408034098966,41,0.275945706774453,70,0.309098121551502,41,0.284563523981898,70,0.317682440317251,41,0.333984441461905,70,0.367467159226539,41,0.344215555668925,70,0.378176310091961,41,0.0253215409652933,70,0.0253023950788887,41,0.0252500696443819,70,0.0251679609239107,41,0.00933127821530894,70,0.00930916561400271,41,0.00861726035591816,70,0.00857150480678001,41,0.00678841609765822,70,0.00683611672937954,41,0.00674150471459412,70,0.0066802081294553,41,0.0378671468805066,70,0.0377528261539335,41,0.0377898145011945,70,0.0377757551608257
,40,0.292144153556602,71,0.320812286587879,40,0.319571741637946,71,0.34518553729491,40,0.252168933078065,71,0.277736374866627,40,0.269541298207757,71,0.294372888077722,40,0.274995455179713,71,0.310605787319179,40,0.283639382991589,71,0.319138920126446,40,0.333046079675502,71,0.368850135842777,40,0.343136846583676,71,0.379550794737867,40,0.0253157341375569,71,0.0252982580270805,40,0.0252514205794864,71,0.025152108393527,40,0.00923619013940953,71,0.00928672182408438,40,0.00864218439009534,71,0.00853734840093423,40,0.00679274136250784,71,0.00682760398324192,40,0.00675449154419162,71,0.00666886871304352,40,0.0379410676311994,71,0.0377537038838665,40,0.0378164020589358,71,0.0377518024866615
,39,0.291401813392517,72,0.322056117093383,39,0.318720573065241,72,0.346213307079634,39,0.251334595226091,72,0.278978602002613,39,0.268767589254359,72,0.295267319723422,39,0.274089478939481,72,0.312042812040399,39,0.282796309199276,72,0.321281871665702,39,0.332004487337124,72,0.370087542113234,39,0.342080181161106,72,0.381023171477356,39,0.0253236632781152,72,0.0253071808444071,39,0.0252429693591998,72,0.0251986829869455,39,0.00919503316070044,72,0.00930808667150732,39,0.00860502839730425,72,0.00854283287751368,39,0.00680431562419936,72,0.00682045928907082,39,0.00673663818162113,72,0.00671327003358923,39,0.037965557346989,72,0.037752043830424,39,0.037824668633208,72,0.0377783256441132
,38,0.290656805363056,73,0.323362557071968,38,0.317862806482293,73,0.347287939337138,38,0.250639865575659,73,0.280243841293259,38,0.267993102583614,73,0.296246725707514,38,0.273222578081737,73,0.3133675882147,38,0.281905532668612,73,0.323054028714745,38,0.330880657109677,73,0.371374247554176,38,0.341090133214604,73,0.382438749979469,38,0.0253089810445847,73,0.0253284405211747,38,0.025222824054367,73,0.0252118839579709,38,0.00922194914001902,73,0.00931388663584897,38,0.00860822608165383,73,0.00855526678673256,38,0.00682309815703369,73,0.00684982602342968,38,0.0067404229927901,73,0.00671137320426182,38,0.0379119295405875,73,0.0377846403463378,38,0.0378276701576629,73,0.0377796950131668
,37,0.289934525503588,74,0.324756089217269,37,0.317075688252367,74,0.348457214247291,37,0.249909987870858,74,0.281399801082607,37,0.267230356310655,74,0.297542543995246,37,0.272408012941516,74,0.314614345189683,37,0.281087586527104,74,0.323406117474191,37,0.32986999600359,74,0.37248895071652,37,0.34001901045261,74,0.383717882722546,37,0.0253181827097169,74,0.025334540662302,37,0.0252560830593338,74,0.0251969329868985,37,0.00917492104010354,74,0.00928534782527168,37,0.00864520587672126,74,0.00853739825417296,37,0.00681978966862937,74,0.00688005907401729,37,0.00677087790148646,74,0.00669075480274324,37,0.0379108377700042,74,0.0377852962147376,37,0.0378336382758375,74,0.037762468352783
,36,0.289274599858873,75,0.326221727691673,36,0.31620840560159,75,0.349552086674906,36,0.249173119024497,75,0.282577627609574,36,0.26658828489749,75,0.299054122005194,36,0.271567238062841,75,0.315790938141572,36,0.28027276141174,75,0.324494011413117,36,0.328905579963677,75,0.373499300762891,36,0.338974348547781,75,0.384802990814099,36,0.0253268531724158,75,0.0253209044475264,36,0.0252465891350244,75,0.0252249563584842,36,0.00908405684348698,75,0.00928292019190389,36,0.00868245252112879,75,0.00851918210749609,36,0.00680657241899204,75,0.00689072536290435,36,0.00675228005677104,75,0.00670443808518262,36,0.0379119580737168,75,0.0377596168957851,36,0.0378361454280881,75,0.0377652461976253
,35,0.288565363037392,76,0.32777450691853,35,0.31535600279175,76,0.350659892997177,35,0.248607259211778,76,0.283723972434103,35,0.265844813630307,76,0.300013907410208,35,0.270774979741848,76,0.316836765402314,35,0.279466663096946,76,0.325538997889048,35,0.328005517009479,76,0.374502434258906,35,0.338002513908026,76,0.385703323369528,35,0.0253218103349292,76,0.0253372794889681,35,0.0252195272659444,76,0.0252228181222174,35,0.00908830843746811,76,0.00929141987923556,35,0.00868151419756452,76,0.00851222253062017,35,0.00678878301048244,76,0.00687251497534562,35,0.00672836180666472,76,0.00669664429226413,35,0.0379394749368358,76,0.0377553183589492,35,0.0378581927015565,76,0.037757679359834
,34,0.287874220813899,77,0.329418598093595,34,0.314468219532222,77,0.351942732502555,34,0.247974855894282,77,0.284789975376166,34,0.265077201141435,77,0.300953640818599,34,0.270002347900469,77,0.31779739748518,34,0.278671804967132,77,0.326578370943093,34,0.3271180620853,77,0.375424960028105,34,0.337095463415664,77,0.386670695603658,34,0.0253637654997934,77,0.0253343206737561,34,0.0251879343621963,77,0.0251969632360245,34,0.00909216344717995,77,0.00927718225451739,34,0.00865476771211562,77,0.00850795154473584,34,0.00683491976433665,77,0.00685650551680717,34,0.00671568183489791,77,0.00670393158720727,34,0.0379711898960846,77,0.0377432855085917,34,0.0378463379145679,77,0.0377659759088834
,33,0.287239808063682,78,0.331023717806209,33,0.313605562453055,78,0.353231013229328,33,0.247359941207014,78,0.286187105310245,33,0.264309133287147,78,0.301965588941376,33,0.26934726950375,78,0.318678008098115,33,0.277951858363769,78,0.327543496607684,33,0.326224932597572,78,0.37636824634874,33,0.336168154152047,78,0.387609197284323,33,0.0253661482954108,78,0.0253197165921921,33,0.0252264216537439,78,0.0252343046017696,33,0.00907137010910748,78,0.00926754661909242,33,0.00867204167056694,78,0.00847924285741453,33,0.00683347706324713,78,0.00687091658381794,33,0.00672561230785424,78,0.00675225118970383,33,0.037966135897091,78,0.0377666012064894,33,0.0378548959039608,78,0.0377615889125745
,32,0.286610636928491,79,0.332669801620662,32,0.312877820846403,79,0.354279280149276,32,0.2467404333888,79,0.287310844862905,32,0.263583890705251,79,0.302849461688265,32,0.268760391623148,79,0.319485056793098,32,0.277328284663119,79,0.328350193923198,32,0.325388835535053,79,0.377155455525516,32,0.335400508200253,79,0.388475691657242,32,0.0253431972961165,79,0.0253374046046636,32,0.0252421209790978,79,0.0252501374762236,32,0.00906167469347286,79,0.00923741890755163,32,0.00867096147899989,79,0.00847744373567237,32,0.00685272722460792,79,0.00686728162814436,32,0.00674465434626591,79,0.00674478480673686,32,0.0379441119514442,79,0.0377562454947783,32,0.0378900924764953,79,0.0377583766856465
,31,0.28601104419374,80,0.334237739246139,31,0.312024335748372,80,0.355499870362862,31,0.24614692716947,80,0.28818522177321,31,0.262883355385145,80,0.303716868782541,31,0.268139527565855,80,0.320335111259591,31,0.276609808722005,80,0.329128351606452,31,0.324628399226012,80,0.377949669988761,31,0.334561775686735,80,0.389293464062791,31,0.0253115043001662,80,0.0253493558335049,31,0.0252155678494462,80,0.0252556472362406,31,0.0090380312269601,80,0.00921741947520307,31,0.00867508684319959,80,0.00848437076937498,31,0.00681649119757953,80,0.00686425769264109,31,0.00671354696159857,80,0.00674236121099413,31,0.0379687349040065,80,0.0377076015639264,31,0.0378737937636665,80,0.037773215154533
,30,0.285370679704233,81,0.335718833779981,30,0.311238916495779,81,0.356654593608371,30,0.245527709081736,81,0.289244788409435,30,0.262174538744072,81,0.304543828998445,30,0.267398332432885,81,0.321111653771459,30,0.275959628366853,81,0.32992023202072,30,0.32392273114231,81,0.378844481406758,30,0.333744486323983,81,0.390154599441155,30,0.0252958405722417,81,0.0253455139559086,30,0.0252274545027223,81,0.0252642317977865,30,0.0090267166645748,81,0.0091917685311083,30,0.00867734389748644,81,0.00848931110689273,30,0.00678236282015457,81,0.00686986185213186,30,0.00673771157131395,81,0.00676173605933927,30,0.0379850644898437,81,0.0377132268419471,30,0.0378594744927913,81,0.0377883879388279
,29,0.284770468680553,82,0.337144780930627,29,0.310404124496276,82,0.357829955246585,29,0.244916434774525,82,0.290093350319616,29,0.261486037302142,82,0.305335285809781,29,0.266839106206695,82,0.321759251893424,29,0.27535020266469,82,0.330686193356081,29,0.323196717799063,82,0.379659804630619,29,0.33298148185329,82,0.391008092454331,29,0.0252895480385643,82,0.0253556943397029,29,0.025165001245896,82,0.0252796710788902,29,0.00899853383438598,82,0.00917921047838494,29,0.00867742719479719,82,0.00847540753920846,29,0.00679215787524402,82,0.00687368150906853,29,0.00669177625933225,82,0.00674386068530324,29,0.0379667031121342,82,0.0377246894125968,29,0.0378435027391989,82,0.0377657927167027
,28,0.28421844015799,83,0.338562341917752,28,0.309637763890781,83,0.358988620203793,28,0.244384067993994,83,0.290972357515958,28,0.260753395660425,83,0.30616627156311,28,0.266280545478616,83,0.322427836325831,28,0.274753044604292,83,0.331449002545309,28,0.322471728523301,83,0.380381112048161,28,0.332268656403411,83,0.391841841560746,28,0.0253239798168702,83,0.0253576051287191,28,0.0252368965484327,83,0.0252830618969294,28,0.00899732535666341,83,0.00917219322729027,28,0.00867600183046194,83,0.00849790064429507,28,0.00684000175037485,83,0.00685955757840727,28,0.00671453171653418,83,0.00675163984811942,28,0.0379741013459168,83,0.0377113134808082,28,0.0378478267894473,83,0.0377510550672844
,27,0.283678501015557,84,0.339928886356958,27,0.308930896117379,84,0.360165379452447,27,0.243911026342463,84,0.291879985770617,27,0.260112767866355,84,0.307035089143293,27,0.265774495442544,84,0.323162313917314,27,0.274242826817725,84,0.332231247818384,27,0.321850038843238,84,0.381123440470712,27,0.331699647804552,84,0.392636077957842,27,0.0253214216126783,84,0.0253705570744279,27,0.0251800720544323,84,0.0252481711495055,27,0.00899684501101129,84,0.00913141002874312,27,0.00867744931243274,84,0.00850139987207879,27,0.00682581800171255,84,0.00691294447556243,27,0.00668047404967581,84,0.00675945162996021,27,0.0379624829418617,84,0.0377138331660383,27,0.0378529556474502,84,0.0377494282790724
,26,0.283211628175827,85,0.341304317766293,26,0.3082567309427,85,0.361437758912646,26,0.243440666148121,85,0.292925424524138,26,0.259477540282806,85,0.307929664430674,26,0.265289470677277,85,0.323875757840467,26,0.273755504148932,85,0.33302224129134,26,0.321233959669837,85,0.381969241020979,26,0.331039127930652,85,0.393473985964646,26,0.0253001174728144,85,0.0253996103858217,26,0.0251972036394496,85,0.0252538943103917,26,0.00899953955083418,85,0.00910711150659689,26,0.00869175868391666,85,0.0084614243617592,26,0.00680725247585249,85,0.00694920124664812,26,0.0067198384545178,85,0.00675156932872926,26,0.0379394054214898,85,0.0377427778644064,26,0.0378466680494581,85,0.0377479173968593
,25,0.282689595330335,86,0.342702188300815,25,0.307580636981687,86,0.362778249334092,25,0.242961707419774,86,0.293878458618405,25,0.258878539352172,86,0.308854076023932,25,0.264785704534429,86,0.324528164929751,25,0.273186324299501,86,0.333807155640355,25,0.320593836627077,86,0.382699291993175,25,0.33037296774501,86,0.394327283547212,25,0.0252922643521971,86,0.0253799862944955,25,0.025198014516747,86,0.0252613254924878,25,0.00897212309163479,86,0.00906699413295298,25,0.0087109916858769,86,0.00844305512492013,25,0.00682034990360027,86,0.00691848363793705,25,0.00674958202894717,86,0.00678635191169126,25,0.0379288029032738,86,0.0377174770793532,25,0.0378831914215276,86,0.0377825568178181
,24,0.282080148781998,87,0.344061791534663,24,0.306810905449323,87,0.363939730714059,24,0.242450498126695,87,0.294655320019879,24,0.258200132459837,87,0.309779742514667,24,0.264125469249428,87,0.325093632495637,24,0.272606828302259,87,0.334519161512545,24,0.319909784112672,87,0.383405117240084,24,0.329675837902638,87,0.395099723277337,24,0.0252963949377669,87,0.0253473518470295,24,0.0251821906222315,87,0.0252958000294247,24,0.0089788539561261,87,0.00899610869368322,24,0.00870762285007518,87,0.00845173669012966,24,0.00679993121435672,87,0.00687033028617714,24,0.00671455650377241,87,0.00681499984224417,24,0.037926105066534,87,0.0376653313871637,24,0.0378504278052726,87,0.0377900979815537
,23,0.281555445370107,88,0.34550728798036,23,0.306006409398089,88,0.365135198468117,23,0.241834279251808,88,0.295648907476125,23,0.257500088450751,88,0.311149294640043,23,0.263665064640708,88,0.325720307376357,23,0.271995880602925,88,0.335239069952612,23,0.319354612164632,88,0.384165837362512,23,0.329088482442441,88,0.395900318972261,23,0.0252871364185342,88,0.0253652629311775,23,0.0252245229548787,88,0.0252854728139706,23,0.00897349942061389,88,0.00896585299200242,23,0.00870834165852302,88,0.00845339361311296,23,0.0067998783973568,88,0.00687209979647364,23,0.00678344064478205,88,0.00677154479451413,23,0.0379257904847072,88,0.0376643344758852,23,0.0378688255354826,88,0.0377555771724419
,22,0.28109407354926,89,0.346938993938956,22,0.305310366297856,89,0.366469782642308,22,0.241392779077318,89,0.296591849432219,22,0.256873167197552,89,0.312669646442538,22,0.263196719167539,89,0.32636522603443,22,0.271480425043035,89,0.335981663464334,22,0.318810898313888,89,0.384876974443614,22,0.32850801599524,89,0.396645963206464,22,0.0252916301125908,89,0.0253632569620788,22,0.0252198185769249,89,0.0252561394749085,22,0.00898601199005196,89,0.00893559072445402,22,0.00871923535102214,89,0.00845489693877394,22,0.00679919528525832,89,0.0068709208496478,22,0.00677370322203695,89,0.00676222962546737,22,0.0379076883995191,89,0.0376539771229148,22,0.0378611298422727,89,0.0377378804315855
,21.2999992370605,0.280751087063179,89.6999969482422,0.347908660054421,21.2999992370605,0.304855347836335,89.6999969482422,0.36741726815193,21.2999992370605,0.241080793428868,89.6999969482422,0.297238832422778,21.2999992370605,0.256439617889587,89.6999969482422,0.31325988335797,21.2999992370605,0.262866226211951,89.6999969482422,0.326806201980854,21.2999992370605,0.271133253059894,89.6999969482422,0.336563688855182,21.2999992370605,0.318492238399765,89.6999969482422,0.385358433297627,21.2999992370605,0.328118739910209,89.6999969482422,0.397134188830911,21.2999992370605,0.0252628337990701,89.6999969482422,0.0253424373227655,21.2999992370605,0.0251980478808576,89.6999969482422,0.0252609131906543,21.2999992370605,0.00898322033615092,89.6999969482422,0.00889874094819155,21.2999992370605,0.0087018847296998,89.6999969482422,0.00843600729965914,21.2999992370605,0.00677867722572988,89.6999969482422,0.00686842980579102,21.2999992370605,0.00674551812321773,89.6999969482422,0.00679864466856235,21.2999992370605,0.037920526253113,89.6999969482422,0.0376399901047326,21.2999992370605,0.037818395446754,89.6999969482422,0.0377387817600701
